time,enrolled,available,waitlisted,total
2023-10-02T16:07:34,0,0,0,0
2023-10-02T16:20:38,0,0,0,0
2023-10-02T16:33:53,0,0,0,0
2023-10-02T16:46:56,0,0,0,0
2023-10-02T17:00:10,0,0,0,0
2023-10-02T17:13:16,0,0,0,0
2023-10-02T17:26:30,0,0,0,0
2023-10-02T17:39:33,0,0,0,0
2023-10-02T17:52:36,0,0,0,0
2023-10-02T18:05:49,0,0,0,0
2023-10-02T18:18:52,0,0,0,0
2023-10-02T18:31:56,0,0,0,0
2023-10-02T18:45:09,0,0,0,0
2023-10-02T18:58:12,0,0,0,0
2023-10-02T19:11:15,0,0,0,0
2023-10-02T19:24:18,0,0,0,0
2023-10-02T19:37:32,0,0,0,0
2023-10-02T19:50:34,0,0,0,0
2023-10-02T20:03:37,0,0,0,0
2023-10-02T20:16:41,0,0,0,0
2023-10-02T20:29:54,0,0,0,0
2023-10-02T20:42:57,0,0,0,0
2023-10-02T20:56:00,0,0,0,0
2023-10-02T21:09:03,0,0,0,0
2023-10-02T21:22:06,0,0,0,0
2023-10-02T21:35:19,0,0,0,0
2023-10-02T21:48:22,0,0,0,0
2023-10-02T22:01:25,0,0,0,0
2023-10-02T22:14:27,0,0,0,0
2023-10-02T22:27:30,0,0,0,0
2023-10-02T22:40:44,0,0,0,0
2023-10-02T22:53:47,0,0,0,0
2023-10-02T23:06:50,0,0,0,0
2023-10-02T23:19:54,0,0,0,0
2023-10-02T23:33:09,0,0,0,0
2023-10-02T23:46:12,0,0,0,0
2023-10-02T23:59:15,0,0,0,0
2023-10-03T00:12:21,0,0,0,0
2023-10-03T00:25:29,0,0,0,0
2023-10-03T00:38:36,0,0,0,0
2023-10-03T00:51:44,0,0,0,0
2023-10-03T01:05:05,0,0,0,0
2023-10-03T01:18:13,0,0,0,0
2023-10-03T01:31:19,0,0,0,0
2023-10-03T01:44:43,0,0,0,0
2023-10-03T01:57:52,0,0,0,0
2023-10-03T02:10:59,0,0,0,0
2023-10-03T02:24:05,0,0,0,0
2023-10-03T02:37:10,0,0,0,0
2023-10-03T02:50:14,0,0,0,0
2023-10-03T03:03:17,0,0,0,0
2023-10-03T03:16:22,0,0,0,0
2023-10-03T03:29:29,0,0,0,0
2023-10-03T03:42:35,0,0,0,0
2023-10-03T03:55:41,0,0,0,0
2023-10-03T04:30:26,0,0,0,0
2023-10-03T04:45:09,0,0,0,0
2023-10-03T04:58:19,0,0,0,0
2023-10-03T05:11:27,0,0,0,0
2023-10-03T05:24:35,0,0,0,0
2023-10-03T05:37:43,0,0,0,0
2023-10-03T05:50:50,0,0,0,0
2023-10-03T06:03:57,0,0,0,0
2023-10-03T06:17:05,0,0,0,0
2023-10-03T06:30:11,0,0,0,0
2023-10-03T06:43:17,0,0,0,0
2023-10-03T06:56:23,0,0,0,0
2023-10-03T07:09:29,0,0,0,0
2023-10-03T07:22:37,0,0,0,0
2023-10-03T07:35:41,0,0,0,0
2023-10-03T07:48:45,0,0,0,0
2023-10-03T08:01:51,0,0,0,0
2023-10-03T08:15:20,0,0,0,0
2023-10-03T08:28:32,0,0,0,0
2023-10-03T08:41:41,0,0,0,0
2023-10-03T08:54:48,0,0,0,0
2023-10-03T09:07:56,0,0,0,0
2023-10-03T09:21:01,0,0,0,0
2023-10-03T09:34:18,0,0,0,0
2023-10-03T09:47:23,0,0,0,0
2023-10-03T10:00:37,0,0,0,0
2023-10-03T10:13:45,0,0,0,0
2023-10-03T10:26:54,0,0,0,0
2023-10-03T10:40:05,0,0,0,0
2023-10-03T10:53:24,0,0,0,0
2023-10-03T11:06:34,0,0,0,0
2023-10-03T11:19:39,0,0,0,0
2023-10-03T11:32:54,0,0,0,0
2023-10-03T11:45:59,0,0,0,0
2023-10-03T11:59:02,0,0,0,0
2023-10-03T12:12:16,0,0,0,0
2023-10-03T12:25:19,0,0,0,0
2023-10-03T12:38:22,0,0,0,0
2023-10-03T12:51:35,0,0,0,0
2023-10-03T13:04:38,0,0,0,0
2023-10-03T13:17:42,0,0,0,0
2023-10-03T13:30:56,0,0,0,0
2023-10-03T13:44:00,0,0,0,0
2023-10-03T13:57:03,0,0,0,0
2023-10-03T14:10:19,0,0,0,0
2023-10-03T14:23:24,0,0,0,0
2023-10-03T14:36:49,0,0,0,0
2023-10-03T14:49:54,0,0,0,0
2023-10-03T15:03:11,0,0,0,0
2023-10-03T15:16:26,0,0,0,0
2023-10-03T15:29:50,0,0,0,0
