time,enrolled,available,waitlisted,total
2023-05-25T01:22:14,0,175,0,175
2023-05-25T01:33:51,0,175,0,175
2023-05-25T01:45:35,0,175,0,175
2023-05-25T01:57:10,0,175,0,175
2023-05-25T02:08:46,0,175,0,175
2023-05-25T02:20:22,0,175,0,175
2023-05-25T02:31:57,0,175,0,175
2023-05-25T02:43:30,0,175,0,175
2023-05-25T02:55:03,0,175,0,175
2023-05-25T03:06:37,0,175,0,175
2023-05-25T03:18:16,0,175,0,175
2023-05-25T03:30:14,0,175,0,175
2023-05-25T03:41:51,0,175,0,175
2023-05-25T03:53:27,0,175,0,175
2023-05-25T04:05:02,0,175,0,175
2023-05-25T04:24:50,0,175,0,175
2023-05-25T04:36:26,0,175,0,175
2023-05-25T04:48:02,0,175,0,175
2023-05-25T04:59:38,0,175,0,175
2023-05-25T05:11:15,0,175,0,175
2023-05-25T05:22:51,0,175,0,175
2023-05-25T05:34:28,0,175,0,175
2023-05-25T05:46:04,0,175,0,175
2023-05-25T05:57:41,0,175,0,175
2023-05-25T06:09:17,0,175,0,175
2023-05-25T06:20:52,0,175,0,175
2023-05-25T06:32:27,0,175,0,175
2023-05-25T06:44:02,0,175,0,175
2023-05-25T06:55:37,0,175,0,175
2023-05-25T07:07:13,0,175,0,175
2023-05-25T07:18:47,0,175,0,175
2023-05-25T07:30:21,0,175,0,175
2023-05-25T07:41:58,0,175,0,175
2023-05-25T07:53:33,0,175,0,175
2023-05-25T08:05:08,0,175,0,175
2023-05-25T08:16:43,0,175,0,175
2023-05-25T08:28:27,0,175,0,175
2023-05-25T08:40:00,0,175,0,175
2023-05-25T08:51:32,0,175,0,175
2023-05-25T09:03:06,0,175,0,175
2023-05-25T09:14:39,0,175,0,175
2023-05-25T09:26:11,0,175,0,175
2023-05-25T09:37:44,0,175,0,175
2023-05-25T09:49:16,0,175,0,175
2023-05-25T10:00:50,0,175,0,175
2023-05-25T10:12:34,0,175,0,175
2023-05-25T10:24:07,0,175,0,175
2023-05-25T10:35:40,0,175,0,175
2023-05-25T10:47:13,0,175,0,175
2023-05-25T10:58:56,0,175,0,175
2023-05-25T11:10:28,0,175,0,175
2023-05-25T11:22:01,0,175,0,175
2023-05-25T11:33:33,0,175,0,175
2023-05-25T11:45:06,0,175,0,175
2023-05-25T11:56:51,0,175,0,175
2023-05-25T12:08:23,0,175,0,175
2023-05-25T12:19:56,0,175,0,175
2023-05-25T12:31:29,0,175,0,175
2023-05-25T12:43:02,0,175,0,175
2023-05-25T12:54:35,0,175,0,175
2023-05-25T13:06:18,0,175,0,175
2023-05-25T13:17:51,0,175,0,175
2023-05-25T13:29:24,0,175,0,175
2023-05-25T13:40:57,0,175,0,175
2023-05-25T13:52:30,0,175,0,175
2023-05-25T14:04:15,0,175,0,175
2023-05-25T14:15:48,0,175,0,175
2023-05-25T14:27:21,0,175,0,175
2023-05-25T14:38:54,0,175,0,175
2023-05-25T14:50:27,0,175,0,175
2023-05-25T15:02:12,0,175,0,175
2023-05-25T15:13:46,0,175,0,175
2023-05-25T15:25:21,0,175,0,175
2023-05-25T15:36:55,0,175,0,175
2023-05-25T15:48:30,0,175,0,175
2023-05-25T16:00:04,0,175,0,175
2023-05-25T16:11:50,0,175,0,175
2023-05-25T16:23:25,0,175,0,175
2023-05-25T16:35:00,0,175,0,175
2023-05-25T16:46:35,0,175,0,175
2023-05-25T16:58:11,0,175,0,175
2023-05-25T17:09:48,0,175,0,175
2023-05-25T17:21:35,0,175,0,175
2023-05-25T17:33:10,0,175,0,175
2023-05-25T17:44:46,0,175,0,175
2023-05-25T17:56:22,0,175,0,175
2023-05-25T18:07:58,0,175,0,175
2023-05-25T18:19:34,0,175,0,175
2023-05-25T18:31:09,0,175,0,175
2023-05-25T18:42:55,0,175,0,175
2023-05-25T18:54:31,0,175,0,175
2023-05-25T19:06:07,0,175,0,175
2023-05-25T19:17:43,0,175,0,175
2023-05-25T19:29:18,0,175,0,175
2023-05-25T19:40:54,0,175,0,175
2023-05-25T19:52:40,0,175,0,175
2023-05-25T20:04:16,0,175,0,175
2023-05-25T20:15:52,0,175,0,175
2023-05-25T20:27:28,0,175,0,175
2023-05-25T20:39:03,0,175,0,175
2023-05-25T20:50:39,0,175,0,175
2023-05-25T21:02:14,0,175,0,175
2023-05-25T21:13:51,0,175,0,175
2023-05-25T21:25:38,0,175,0,175
2023-05-25T21:37:13,0,175,0,175
2023-05-25T21:48:49,0,175,0,175
2023-05-25T22:00:24,0,175,0,175
2023-05-25T22:12:00,0,175,0,175
2023-05-25T22:23:35,0,175,0,175
2023-05-25T22:35:11,0,175,0,175
2023-05-25T22:46:57,0,175,0,175
2023-05-25T22:58:32,0,175,0,175
2023-05-25T23:10:11,0,175,0,175
2023-05-25T23:21:46,0,175,0,175
2023-05-25T23:33:22,0,175,0,175
2023-05-25T23:44:58,0,175,0,175
2023-05-25T23:56:35,0,175,0,175
2023-05-26T00:08:31,0,175,0,175
2023-05-26T00:20:11,0,175,0,175
2023-05-26T00:31:50,0,175,0,175
2023-05-26T00:43:29,0,175,0,175
2023-05-26T00:55:07,0,175,0,175
2023-05-26T01:06:47,0,175,0,175
2023-05-26T01:18:26,0,175,0,175
2023-05-26T01:30:03,0,175,0,175
2023-05-26T01:41:41,0,175,0,175
2023-05-26T01:53:30,0,175,0,175
2023-05-26T02:05:12,0,175,0,175
2023-05-26T02:16:50,0,175,0,175
2023-05-26T02:28:27,0,175,0,175
2023-05-26T02:40:06,0,175,0,175
2023-05-26T02:51:55,0,175,0,175
2023-05-26T03:03:35,0,175,0,175
2023-05-26T03:15:14,0,175,0,175
2023-05-26T03:26:55,0,175,0,175
2023-05-26T03:38:34,0,175,0,175
2023-05-26T03:50:12,0,175,0,175
2023-05-26T04:01:51,0,175,0,175
2023-05-26T04:13:39,0,175,0,175
2023-05-26T04:36:03,0,175,0,175
2023-05-26T04:47:43,0,175,0,175
2023-05-26T04:59:24,0,175,0,175
2023-05-26T05:11:06,0,175,0,175
2023-05-26T05:22:45,0,175,0,175
2023-05-26T05:34:23,0,175,0,175
2023-05-26T05:46:03,0,175,0,175
2023-05-26T05:57:41,0,175,0,175
2023-05-26T06:09:20,0,175,0,175
2023-05-26T06:20:59,0,175,0,175
2023-05-26T06:32:38,0,175,0,175
2023-05-26T06:44:17,0,175,0,175
2023-05-26T06:55:55,0,175,0,175
2023-05-26T07:07:33,0,175,0,175
2023-05-26T07:19:12,0,175,0,175
2023-05-26T07:30:58,0,175,0,175
2023-05-26T07:42:35,0,175,0,175
2023-05-26T07:54:13,0,175,0,175
2023-05-26T08:05:49,0,175,0,175
2023-05-26T08:17:25,0,175,0,175
2023-05-26T08:29:01,0,175,0,175
2023-05-26T08:40:37,0,175,0,175
2023-05-26T08:52:13,0,175,0,175
2023-05-26T09:03:49,0,175,0,175
2023-05-26T09:15:26,0,175,0,175
2023-05-26T09:27:02,0,175,0,175
2023-05-26T09:38:49,0,175,0,175
2023-05-26T09:50:25,0,175,0,175
2023-05-26T10:02:01,0,175,0,175
2023-05-26T10:13:38,0,175,0,175
2023-05-26T10:25:14,0,175,0,175
2023-05-26T10:36:51,0,175,0,175
2023-05-26T10:48:39,0,175,0,175
2023-05-26T11:00:15,0,175,0,175
2023-05-26T11:11:52,1,174,0,175
2023-05-26T11:23:28,1,174,0,175
2023-05-26T11:35:04,1,174,0,175
2023-05-26T11:46:50,1,174,0,175
2023-05-26T11:58:26,1,174,0,175
2023-05-26T12:10:03,1,174,0,175
2023-05-26T12:21:39,1,174,0,175
2023-05-26T12:33:15,1,174,0,175
2023-05-26T12:45:02,1,174,0,175
2023-05-26T12:56:38,2,173,0,175
2023-05-26T13:08:14,2,173,0,175
2023-05-26T13:19:50,2,173,0,175
2023-05-26T13:31:36,4,171,0,175
2023-05-26T13:43:12,4,171,0,175
2023-05-26T13:54:48,4,171,0,175
2023-05-26T14:06:24,4,171,0,175
2023-05-26T14:17:59,6,169,0,175
2023-05-26T14:29:47,6,169,0,175
2023-05-26T14:41:23,6,169,0,175
2023-05-26T14:52:59,6,169,0,175
2023-05-26T15:04:35,6,169,0,175
2023-05-26T15:16:13,6,169,0,175
2023-05-26T15:28:00,6,169,0,175
2023-05-26T15:39:35,6,169,0,175
2023-05-26T15:51:10,6,169,0,175
2023-05-26T16:02:47,7,168,0,175
2023-05-26T16:14:23,7,168,0,175
2023-05-26T16:25:58,7,168,0,175
2023-05-26T16:37:44,7,168,0,175
2023-05-26T16:49:20,7,168,0,175
2023-05-26T17:00:55,7,168,0,175
2023-05-26T17:12:32,7,168,0,175
2023-05-26T17:24:08,7,168,0,175
2023-05-26T17:35:44,7,168,0,175
2023-05-26T17:47:30,7,168,0,175
2023-05-26T17:59:05,7,168,0,175
2023-05-26T18:10:41,7,168,0,175
2023-05-26T18:22:17,7,168,0,175
2023-05-26T18:33:53,7,168,0,175
2023-05-26T18:45:28,7,168,0,175
2023-05-26T18:57:14,7,168,0,175
2023-05-26T19:08:50,7,168,0,175
2023-05-26T19:20:27,7,168,0,175
2023-05-26T19:32:03,7,168,0,175
2023-05-26T19:43:38,7,168,0,175
2023-05-26T19:55:14,7,168,0,175
2023-05-26T20:06:50,7,168,0,175
2023-05-26T20:18:35,7,168,0,175
2023-05-26T20:30:11,7,168,0,175
2023-05-26T20:41:46,7,168,0,175
2023-05-26T20:53:21,7,168,0,175
2023-05-26T21:04:57,7,168,0,175
2023-05-26T21:16:34,7,168,0,175
2023-05-26T21:28:10,7,168,0,175
2023-05-26T21:39:46,7,168,0,175
2023-05-26T21:51:33,7,168,0,175
