time,enrolled,available,waitlisted,total
2023-05-25T01:21:35,0,30,0,30
2023-05-25T01:33:11,0,30,0,30
2023-05-25T01:44:56,0,30,0,30
2023-05-25T01:56:31,0,30,0,30
2023-05-25T02:08:07,0,30,0,30
2023-05-25T02:19:43,0,30,0,30
2023-05-25T02:31:18,0,30,0,30
2023-05-25T02:42:51,0,30,0,30
2023-05-25T02:54:24,0,30,0,30
2023-05-25T03:05:57,0,30,0,30
2023-05-25T03:17:36,0,30,0,30
2023-05-25T03:29:35,0,30,0,30
2023-05-25T03:41:12,0,30,0,30
2023-05-25T03:52:47,0,30,0,30
2023-05-25T04:04:23,0,30,0,30
2023-05-25T04:24:10,0,30,0,30
2023-05-25T04:35:47,0,30,0,30
2023-05-25T04:47:23,0,30,0,30
2023-05-25T04:58:59,0,30,0,30
2023-05-25T05:10:36,0,30,0,30
2023-05-25T05:22:12,0,30,0,30
2023-05-25T05:33:49,0,30,0,30
2023-05-25T05:45:25,0,30,0,30
2023-05-25T05:57:01,0,30,0,30
2023-05-25T06:08:37,0,30,0,30
2023-05-25T06:20:13,0,30,0,30
2023-05-25T06:31:47,0,30,0,30
2023-05-25T06:43:22,0,30,0,30
2023-05-25T06:54:58,0,30,0,30
2023-05-25T07:06:33,0,30,0,30
2023-05-25T07:18:08,0,30,0,30
2023-05-25T07:29:42,0,30,0,30
2023-05-25T07:41:18,0,30,0,30
2023-05-25T07:52:54,0,30,0,30
2023-05-25T08:04:29,0,30,0,30
2023-05-25T08:16:03,0,30,0,30
2023-05-25T08:27:48,0,30,0,30
2023-05-25T08:39:21,0,30,0,30
2023-05-25T08:50:53,0,30,0,30
2023-05-25T09:02:27,0,30,0,30
2023-05-25T09:13:59,0,30,0,30
2023-05-25T09:25:32,0,30,0,30
2023-05-25T09:37:05,0,30,0,30
2023-05-25T09:48:37,0,30,0,30
2023-05-25T10:00:11,0,30,0,30
2023-05-25T10:11:55,0,30,0,30
2023-05-25T10:23:28,0,30,0,30
2023-05-25T10:35:01,0,30,0,30
2023-05-25T10:46:34,0,30,0,30
2023-05-25T10:58:16,0,30,0,30
2023-05-25T11:09:49,0,30,0,30
2023-05-25T11:21:22,0,30,0,30
2023-05-25T11:32:54,0,30,0,30
2023-05-25T11:44:27,0,30,0,30
2023-05-25T11:56:12,0,30,0,30
2023-05-25T12:07:44,0,30,0,30
2023-05-25T12:19:17,0,30,0,30
2023-05-25T12:30:50,0,30,0,30
2023-05-25T12:42:23,0,30,0,30
2023-05-25T12:53:56,0,30,0,30
2023-05-25T13:05:39,0,30,0,30
2023-05-25T13:17:11,0,30,0,30
2023-05-25T13:28:45,0,30,0,30
2023-05-25T13:40:18,0,30,0,30
2023-05-25T13:51:51,0,30,0,30
2023-05-25T14:03:35,0,30,0,30
2023-05-25T14:15:09,0,30,0,30
2023-05-25T14:26:42,0,30,0,30
2023-05-25T14:38:15,0,30,0,30
2023-05-25T14:49:48,0,30,0,30
2023-05-25T15:01:33,0,30,0,30
2023-05-25T15:13:07,0,30,0,30
2023-05-25T15:24:41,0,30,0,30
2023-05-25T15:36:16,0,30,0,30
2023-05-25T15:47:50,0,30,0,30
2023-05-25T15:59:25,0,30,0,30
2023-05-25T16:11:11,0,30,0,30
2023-05-25T16:22:46,0,30,0,30
2023-05-25T16:34:21,0,30,0,30
2023-05-25T16:45:56,0,30,0,30
2023-05-25T16:57:31,0,30,0,30
2023-05-25T17:09:08,0,30,0,30
2023-05-25T17:20:56,0,30,0,30
2023-05-25T17:32:31,0,30,0,30
2023-05-25T17:44:06,0,30,0,30
2023-05-25T17:55:42,0,30,0,30
2023-05-25T18:07:19,0,30,0,30
2023-05-25T18:18:55,0,30,0,30
2023-05-25T18:30:30,0,30,0,30
2023-05-25T18:42:16,0,30,0,30
2023-05-25T18:53:51,0,30,0,30
2023-05-25T19:05:28,0,30,0,30
2023-05-25T19:17:04,0,30,0,30
2023-05-25T19:28:39,0,30,0,30
2023-05-25T19:40:15,0,30,0,30
2023-05-25T19:52:01,0,30,0,30
2023-05-25T20:03:37,0,30,0,30
2023-05-25T20:15:13,0,30,0,30
2023-05-25T20:26:49,0,30,0,30
2023-05-25T20:38:24,0,30,0,30
2023-05-25T20:50:00,0,30,0,30
2023-05-25T21:01:35,0,30,0,30
2023-05-25T21:13:11,0,30,0,30
2023-05-25T21:24:58,0,30,0,30
2023-05-25T21:36:34,0,30,0,30
2023-05-25T21:48:10,0,30,0,30
2023-05-25T21:59:45,0,30,0,30
2023-05-25T22:11:21,0,30,0,30
2023-05-25T22:22:56,0,30,0,30
2023-05-25T22:34:32,0,30,0,30
2023-05-25T22:46:18,0,30,0,30
2023-05-25T22:57:53,0,30,0,30
2023-05-25T23:09:32,0,30,0,30
2023-05-25T23:21:07,0,30,0,30
2023-05-25T23:32:43,0,30,0,30
2023-05-25T23:44:19,0,30,0,30
2023-05-25T23:55:56,0,30,0,30
2023-05-26T00:07:52,0,30,0,30
2023-05-26T00:19:32,0,30,0,30
2023-05-26T00:31:10,0,30,0,30
2023-05-26T00:42:49,0,30,0,30
2023-05-26T00:54:28,0,30,0,30
2023-05-26T01:06:08,0,30,0,30
2023-05-26T01:17:46,0,30,0,30
2023-05-26T01:29:24,0,30,0,30
2023-05-26T01:41:02,0,30,0,30
2023-05-26T01:52:51,0,30,0,30
2023-05-26T02:04:32,0,30,0,30
2023-05-26T02:16:10,0,30,0,30
2023-05-26T02:27:47,0,30,0,30
2023-05-26T02:39:27,0,30,0,30
2023-05-26T02:51:16,0,30,0,30
2023-05-26T03:02:56,0,30,0,30
2023-05-26T03:14:35,0,30,0,30
2023-05-26T03:26:16,0,30,0,30
2023-05-26T03:37:54,0,30,0,30
2023-05-26T03:49:33,0,30,0,30
2023-05-26T04:01:11,0,30,0,30
2023-05-26T04:13:00,0,30,0,30
2023-05-26T04:35:23,0,30,0,30
2023-05-26T04:47:04,0,30,0,30
2023-05-26T04:58:44,0,30,0,30
2023-05-26T05:10:26,0,30,0,30
2023-05-26T05:22:06,0,30,0,30
2023-05-26T05:33:44,0,30,0,30
2023-05-26T05:45:23,0,30,0,30
2023-05-26T05:57:02,0,30,0,30
2023-05-26T06:08:40,0,30,0,30
2023-05-26T06:20:20,0,30,0,30
2023-05-26T06:31:59,0,30,0,30
2023-05-26T06:43:38,0,30,0,30
2023-05-26T06:55:15,0,30,0,30
2023-05-26T07:06:54,0,30,0,30
2023-05-26T07:18:32,0,30,0,30
2023-05-26T07:30:19,0,30,0,30
2023-05-26T07:41:56,0,30,0,30
2023-05-26T07:53:34,0,30,0,30
2023-05-26T08:05:09,0,30,0,30
2023-05-26T08:16:46,0,30,0,30
2023-05-26T08:28:22,0,30,0,30
2023-05-26T08:39:58,0,30,0,30
2023-05-26T08:51:34,0,30,0,30
2023-05-26T09:03:10,0,30,0,30
2023-05-26T09:14:47,0,30,0,30
2023-05-26T09:26:23,0,30,0,30
2023-05-26T09:38:10,0,30,0,30
2023-05-26T09:49:46,0,30,0,30
2023-05-26T10:01:22,0,30,0,30
2023-05-26T10:12:59,0,30,0,30
2023-05-26T10:24:35,0,30,0,30
2023-05-26T10:36:11,0,30,0,30
2023-05-26T10:47:59,0,30,0,30
2023-05-26T10:59:35,0,30,0,30
2023-05-26T11:11:12,0,30,0,30
2023-05-26T11:22:49,0,30,0,30
2023-05-26T11:34:25,0,30,0,30
2023-05-26T11:46:11,0,30,0,30
2023-05-26T11:57:47,0,30,0,30
