time,enrolled,available,waitlisted,total
2023-05-25T01:19:43,0,30,0,30
2023-05-25T01:31:19,0,30,0,30
2023-05-25T01:43:03,0,30,0,30
2023-05-25T01:54:38,0,30,0,30
2023-05-25T02:06:14,0,30,0,30
2023-05-25T02:17:50,0,30,0,30
2023-05-25T02:29:25,0,30,0,30
2023-05-25T02:40:59,0,30,0,30
2023-05-25T02:52:32,0,30,0,30
2023-05-25T03:04:05,0,30,0,30
2023-05-25T03:15:43,0,30,0,30
2023-05-25T03:27:42,0,30,0,30
2023-05-25T03:39:19,0,30,0,30
2023-05-25T03:50:55,0,30,0,30
2023-05-25T04:02:30,0,30,0,30
2023-05-25T04:22:05,0,30,0,30
2023-05-25T04:33:54,0,30,0,30
2023-05-25T04:45:31,0,30,0,30
2023-05-25T04:57:06,0,30,0,30
2023-05-25T05:08:43,0,30,0,30
2023-05-25T05:20:20,0,30,0,30
2023-05-25T05:31:56,0,30,0,30
2023-05-25T05:43:32,0,30,0,30
2023-05-25T05:55:08,0,30,0,30
2023-05-25T06:06:45,0,30,0,30
2023-05-25T06:18:20,0,30,0,30
2023-05-25T06:29:55,0,30,0,30
2023-05-25T06:41:30,0,30,0,30
2023-05-25T06:53:05,0,30,0,30
2023-05-25T07:04:41,0,30,0,30
2023-05-25T07:16:16,0,30,0,30
2023-05-25T07:27:50,0,30,0,30
2023-05-25T07:39:26,0,30,0,30
2023-05-25T07:51:02,0,30,0,30
2023-05-25T08:02:37,0,30,0,30
2023-05-25T08:14:11,0,30,0,30
2023-05-25T08:25:55,0,30,0,30
2023-05-25T08:37:29,0,30,0,30
2023-05-25T08:49:01,0,30,0,30
2023-05-25T09:00:34,0,30,0,30
2023-05-25T09:12:07,0,30,0,30
2023-05-25T09:23:40,0,30,0,30
2023-05-25T09:35:13,0,30,0,30
2023-05-25T09:46:45,0,30,0,30
2023-05-25T09:58:19,0,30,0,30
2023-05-25T10:10:03,0,30,0,30
2023-05-25T10:21:36,0,30,0,30
2023-05-25T10:33:09,0,30,0,30
2023-05-25T10:44:41,0,30,0,30
2023-05-25T10:56:24,0,30,0,30
2023-05-25T11:07:57,0,30,0,30
2023-05-25T11:19:30,0,30,0,30
2023-05-25T11:31:02,0,30,0,30
2023-05-25T11:42:35,0,30,0,30
2023-05-25T11:54:09,0,30,0,30
2023-05-25T12:05:52,0,30,0,30
2023-05-25T12:17:25,0,30,0,30
2023-05-25T12:28:58,0,30,0,30
2023-05-25T12:40:31,0,30,0,30
2023-05-25T12:52:04,0,30,0,30
2023-05-25T13:03:47,0,30,0,30
2023-05-25T13:15:19,0,30,0,30
2023-05-25T13:26:52,0,30,0,30
2023-05-25T13:38:25,0,30,0,30
2023-05-25T13:49:59,0,30,0,30
