time,enrolled,available,waitlisted,total
2023-10-06T11:50:28,0,10,0,10
2023-10-06T12:03:33,0,10,0,10
2023-10-06T12:16:37,0,10,0,10
2023-10-06T12:30:01,0,10,0,10
2023-10-06T12:43:05,0,10,0,10
2023-10-06T12:56:11,0,10,0,10
2023-10-06T13:09:16,0,10,0,10
2023-10-06T13:22:31,0,10,0,10
2023-10-06T13:35:35,0,10,0,10
2023-10-06T13:48:39,0,10,0,10
2023-10-06T14:01:45,0,10,0,10
2023-10-06T14:14:51,0,10,0,10
2023-10-06T14:28:23,0,10,0,10
2023-10-06T14:41:27,0,10,0,10
2023-10-06T14:54:31,0,10,0,10
2023-10-06T15:07:35,0,10,0,10
2023-10-06T15:20:39,0,10,0,10
2023-10-06T15:33:53,0,10,0,10
2023-10-06T15:46:57,0,10,0,10
2023-10-06T16:00:02,0,10,0,10
2023-10-06T16:13:07,0,10,0,10
2023-10-06T16:26:12,0,10,0,10
2023-10-06T16:39:39,0,10,0,10
2023-10-06T16:52:43,0,10,0,10
2023-10-06T17:05:47,0,10,0,10
2023-10-06T17:18:54,0,10,0,10
2023-10-06T17:31:58,0,10,0,10
2023-10-06T17:45:03,0,10,0,10
2023-10-06T17:58:07,0,10,0,10
2023-10-06T18:11:32,0,10,0,10
2023-10-06T18:24:37,0,10,0,10
2023-10-06T18:37:42,0,10,0,10
2023-10-06T18:50:46,0,10,0,10
2023-10-06T19:03:52,0,10,0,10
2023-10-06T19:16:57,0,10,0,10
2023-10-06T19:30:02,0,10,0,10
2023-10-06T19:43:07,0,10,0,10
2023-10-06T19:56:23,0,10,0,10
2023-10-06T20:09:27,0,10,0,10
2023-10-06T20:22:32,0,10,0,10
2023-10-06T20:35:37,0,10,0,10
2023-10-06T20:48:42,0,10,0,10
2023-10-06T21:01:48,0,10,0,10
2023-10-06T21:14:52,0,10,0,10
2023-10-06T21:27:57,0,10,0,10
2023-10-06T21:41:03,0,10,0,10
2023-10-06T21:54:27,0,10,0,10
2023-10-06T22:07:31,0,10,0,10
2023-10-06T22:20:36,0,10,0,10
2023-10-06T22:33:41,0,10,0,10
2023-10-06T22:46:46,0,10,0,10
2023-10-06T22:59:52,0,10,0,10
2023-10-06T23:12:58,0,10,0,10
2023-10-06T23:26:08,0,10,0,10
2023-10-06T23:39:14,0,10,0,10
2023-10-06T23:52:21,0,10,0,10
2023-10-07T00:05:41,0,10,0,10
2023-10-07T00:18:56,0,10,0,10
2023-10-07T00:32:05,0,10,0,10
2023-10-07T00:45:13,0,10,0,10
2023-10-07T00:58:37,0,10,0,10
2023-10-07T01:11:46,0,10,0,10
2023-10-07T01:24:56,0,10,0,10
2023-10-07T01:38:07,0,10,0,10
2023-10-07T01:51:17,0,10,0,10
2023-10-07T02:04:30,0,10,0,10
2023-10-07T02:17:40,0,10,0,10
2023-10-07T02:30:50,0,10,0,10
2023-10-07T02:44:00,0,10,0,10
2023-10-07T02:57:21,0,10,0,10
2023-10-07T03:11:21,0,10,0,10
2023-10-07T03:24:30,0,10,0,10
2023-10-07T03:37:43,0,10,0,10
2023-10-07T03:50:53,0,10,0,10
2023-10-07T04:04:04,0,10,0,10
2023-10-07T04:27:03,0,10,0,10
2023-10-07T04:40:16,0,10,0,10
2023-10-07T04:53:26,0,10,0,10
2023-10-07T05:06:35,0,10,0,10
2023-10-07T05:21:07,0,10,0,10
2023-10-07T05:34:38,0,10,0,10
2023-10-07T05:47:49,0,10,0,10
2023-10-07T06:00:59,0,10,0,10
2023-10-07T06:14:10,0,10,0,10
2023-10-07T06:27:19,0,10,0,10
2023-10-07T06:40:29,0,10,0,10
2023-10-07T06:53:39,0,10,0,10
2023-10-07T07:06:48,0,10,0,10
2023-10-07T07:20:05,0,10,0,10
2023-10-07T07:33:12,0,10,0,10
2023-10-07T07:46:18,0,10,0,10
2023-10-07T07:59:26,0,10,0,10
2023-10-07T08:12:34,0,10,0,10
2023-10-07T08:25:44,0,10,0,10
2023-10-07T08:38:51,0,10,0,10
2023-10-07T08:51:58,0,10,0,10
2023-10-07T09:05:05,0,10,0,10
2023-10-07T09:18:12,0,10,0,10
2023-10-07T09:31:20,0,10,0,10
2023-10-07T09:44:27,0,10,0,10
2023-10-07T09:57:33,0,10,0,10
2023-10-07T10:10:38,0,10,0,10
2023-10-07T10:23:45,0,10,0,10
2023-10-07T10:37:02,0,10,0,10
2023-10-07T10:50:07,0,10,0,10
2023-10-07T11:03:11,0,10,0,10
2023-10-07T11:16:15,0,10,0,10
2023-10-07T11:29:19,0,10,0,10
2023-10-07T11:42:23,0,10,0,10
2023-10-07T11:55:28,0,10,0,10
2023-10-07T12:08:32,0,10,0,10
2023-10-07T12:21:37,0,10,0,10
2023-10-07T12:34:42,0,10,0,10
2023-10-07T12:47:46,0,10,0,10
2023-10-07T13:00:51,0,10,0,10
2023-10-07T13:14:08,0,10,0,10
2023-10-07T13:27:13,0,10,0,10
2023-10-07T13:40:18,0,10,0,10
2023-10-07T13:53:22,0,10,0,10
2023-10-07T14:06:26,0,10,0,10
2023-10-07T14:19:31,0,10,0,10
2023-10-07T14:32:35,0,10,0,10
2023-10-07T14:45:40,0,10,0,10
2023-10-07T14:58:45,0,10,0,10
2023-10-07T15:11:49,0,10,0,10
2023-10-07T15:24:53,0,10,0,10
2023-10-07T15:37:58,0,10,0,10
2023-10-07T15:51:12,0,10,0,10
2023-10-07T16:04:17,0,10,0,10
2023-10-07T16:17:21,0,10,0,10
2023-10-07T16:30:26,0,10,0,10
2023-10-07T16:43:31,0,10,0,10
2023-10-07T16:56:35,0,10,0,10
2023-10-07T17:09:41,0,10,0,10
2023-10-07T17:22:47,0,10,0,10
2023-10-07T17:35:51,0,10,0,10
2023-10-07T17:48:57,0,10,0,10
2023-10-07T18:02:02,0,10,0,10
2023-10-07T18:15:17,0,10,0,10
2023-10-07T18:28:21,0,10,0,10
2023-10-07T18:41:27,0,10,0,10
2023-10-07T18:54:37,0,10,0,10
2023-10-07T19:07:42,0,10,0,10
2023-10-07T19:20:46,0,10,0,10
2023-10-07T19:33:51,0,10,0,10
2023-10-07T19:46:56,0,10,0,10
2023-10-07T20:00:00,0,10,0,10
2023-10-07T20:13:04,0,10,0,10
2023-10-07T20:26:10,0,10,0,10
2023-10-07T20:39:15,0,10,0,10
2023-10-07T20:52:20,0,10,0,10
2023-10-07T21:05:32,0,10,0,10
2023-10-07T21:18:37,0,10,0,10
2023-10-07T21:31:43,0,10,0,10
2023-10-07T21:44:48,0,10,0,10
2023-10-07T21:57:53,0,10,0,10
2023-10-07T22:10:58,0,10,0,10
2023-10-07T22:24:03,0,10,0,10
2023-10-07T22:37:11,0,10,0,10
2023-10-07T22:50:17,0,10,0,10
2023-10-07T23:03:23,0,10,0,10
2023-10-07T23:16:28,0,10,0,10
2023-10-07T23:29:34,0,10,0,10
2023-10-07T23:42:39,0,10,0,10
2023-10-07T23:55:43,0,10,0,10
2023-10-08T00:08:49,0,10,0,10
2023-10-08T00:22:14,0,10,0,10
2023-10-08T00:35:21,0,10,0,10
2023-10-08T00:48:27,0,10,0,10
2023-10-08T01:01:33,0,10,0,10
2023-10-08T01:14:38,0,10,0,10
2023-10-08T01:27:43,0,10,0,10
2023-10-08T01:40:48,0,10,0,10
2023-10-08T01:53:52,0,10,0,10
2023-10-08T02:06:59,0,10,0,10
2023-10-08T02:20:04,0,10,0,10
2023-10-08T02:33:08,0,10,0,10
2023-10-08T02:46:13,0,10,0,10
2023-10-08T02:59:21,0,10,0,10
2023-10-08T03:12:37,0,10,0,10
2023-10-08T03:25:49,0,10,0,10
2023-10-08T03:39:00,0,10,0,10
2023-10-08T03:52:10,0,10,0,10
2023-10-08T04:05:24,0,10,0,10
2023-10-08T04:24:09,0,10,0,10
2023-10-08T04:38:50,0,10,0,10
2023-10-08T04:52:03,0,10,0,10
2023-10-08T05:05:17,0,10,0,10
2023-10-08T05:18:28,0,10,0,10
2023-10-08T05:31:37,0,10,0,10
2023-10-08T05:44:47,0,10,0,10
2023-10-08T05:57:57,0,10,0,10
2023-10-08T06:11:06,0,10,0,10
2023-10-08T06:24:17,0,10,0,10
2023-10-08T06:37:26,0,10,0,10
2023-10-08T06:50:35,0,10,0,10
2023-10-08T07:03:41,0,10,0,10
2023-10-08T07:16:49,0,10,0,10
2023-10-08T07:29:57,0,10,0,10
2023-10-08T07:43:05,0,10,0,10
2023-10-08T07:56:12,0,10,0,10
2023-10-08T08:09:20,0,10,0,10
2023-10-08T08:22:36,0,10,0,10
2023-10-08T08:35:44,0,10,0,10
2023-10-08T08:48:53,0,10,0,10
2023-10-08T09:02:01,0,10,0,10
2023-10-08T09:15:09,0,10,0,10
2023-10-08T09:28:17,0,10,0,10
2023-10-08T09:41:25,0,10,0,10
2023-10-08T09:54:33,0,10,0,10
2023-10-08T10:07:42,0,10,0,10
2023-10-08T10:20:48,0,10,0,10
2023-10-08T10:33:55,0,10,0,10
2023-10-08T10:47:01,0,10,0,10
2023-10-08T11:00:07,0,10,0,10
2023-10-08T11:13:20,0,10,0,10
2023-10-08T11:26:26,0,10,0,10
2023-10-08T11:39:31,0,10,0,10
2023-10-08T11:52:36,0,10,0,10
2023-10-08T12:05:43,0,10,0,10
2023-10-08T12:18:50,0,10,0,10
2023-10-08T12:31:58,0,10,0,10
2023-10-08T12:45:03,0,10,0,10
2023-10-08T12:58:09,0,10,0,10
2023-10-08T13:11:14,0,10,0,10
2023-10-08T13:24:30,0,10,0,10
2023-10-08T13:37:35,0,10,0,10
2023-10-08T13:50:40,0,10,0,10
2023-10-08T14:03:45,0,10,0,10
2023-10-08T14:16:51,0,10,0,10
2023-10-08T14:29:55,0,10,0,10
2023-10-08T14:43:02,0,10,0,10
2023-10-08T14:56:08,0,10,0,10
2023-10-08T15:09:24,0,10,0,10
2023-10-08T15:22:29,0,10,0,10
2023-10-08T15:35:33,0,10,0,10
2023-10-08T15:48:37,0,10,0,10
2023-10-08T16:01:41,0,10,0,10
2023-10-08T16:14:47,0,10,0,10
2023-10-08T16:27:53,0,10,0,10
2023-10-08T16:40:59,0,10,0,10
2023-10-08T16:54:13,0,10,0,10
2023-10-08T17:07:18,0,10,0,10
2023-10-08T17:20:23,0,10,0,10
2023-10-08T17:33:28,0,10,0,10
2023-10-08T17:46:32,0,10,0,10
2023-10-08T17:59:37,0,10,0,10
2023-10-08T18:12:42,0,10,0,10
2023-10-08T18:25:47,0,10,0,10
2023-10-08T18:39:01,0,10,0,10
2023-10-08T18:52:06,0,10,0,10
2023-10-08T19:05:12,0,10,0,10
2023-10-08T19:18:20,0,10,0,10
2023-10-08T19:31:26,0,10,0,10
2023-10-08T19:44:31,0,10,0,10
2023-10-08T19:57:36,0,10,0,10
2023-10-08T20:10:41,0,10,0,10
2023-10-08T20:23:46,0,10,0,10
2023-10-08T20:37:01,0,10,0,10
2023-10-08T20:50:06,0,10,0,10
2023-10-08T21:03:10,0,10,0,10
2023-10-08T21:16:14,0,10,0,10
2023-10-08T21:29:19,0,10,0,10
2023-10-08T21:42:26,0,10,0,10
2023-10-08T21:55:33,0,10,0,10
2023-10-08T22:08:38,0,10,0,10
2023-10-08T22:21:53,0,10,0,10
2023-10-08T22:35:03,0,10,0,10
2023-10-08T22:48:07,0,10,0,10
2023-10-08T23:01:11,0,10,0,10
2023-10-08T23:14:18,0,10,0,10
2023-10-08T23:27:25,0,10,0,10
2023-10-08T23:40:31,0,10,0,10
