time,enrolled,available,waitlisted,total
2023-05-25T01:19:58,0,10,0,10
2023-05-25T01:31:34,0,10,0,10
2023-05-25T01:43:18,0,10,0,10
2023-05-25T01:54:53,0,10,0,10
2023-05-25T02:06:29,0,10,0,10
2023-05-25T02:18:05,0,10,0,10
2023-05-25T02:29:40,0,10,0,10
2023-05-25T02:41:14,0,10,0,10
2023-05-25T02:52:47,0,10,0,10
2023-05-25T03:04:20,0,10,0,10
2023-05-25T03:15:58,0,10,0,10
2023-05-25T03:27:57,0,10,0,10
2023-05-25T03:39:34,0,10,0,10
2023-05-25T03:51:10,0,10,0,10
2023-05-25T04:02:45,0,10,0,10
2023-05-25T04:22:31,0,10,0,10
2023-05-25T04:34:09,0,10,0,10
2023-05-25T04:45:46,0,10,0,10
2023-05-25T04:57:21,0,10,0,10
2023-05-25T05:08:58,0,10,0,10
2023-05-25T05:20:34,0,10,0,10
2023-05-25T05:32:11,0,10,0,10
2023-05-25T05:43:47,0,10,0,10
2023-05-25T05:55:23,0,10,0,10
2023-05-25T06:07:00,0,10,0,10
2023-05-25T06:18:35,0,10,0,10
2023-05-25T06:30:10,0,10,0,10
2023-05-25T06:41:45,0,10,0,10
2023-05-25T06:53:20,0,10,0,10
2023-05-25T07:04:56,0,10,0,10
2023-05-25T07:16:31,0,10,0,10
2023-05-25T07:28:05,0,10,0,10
2023-05-25T07:39:41,0,10,0,10
2023-05-25T07:51:17,0,10,0,10
2023-05-25T08:02:52,0,10,0,10
2023-05-25T08:14:26,0,10,0,10
2023-05-25T08:26:10,0,10,0,10
2023-05-25T08:37:44,0,10,0,10
2023-05-25T08:49:16,0,10,0,10
2023-05-25T09:00:49,0,10,0,10
2023-05-25T09:12:22,0,10,0,10
2023-05-25T09:23:55,0,10,0,10
2023-05-25T09:35:28,0,10,0,10
2023-05-25T09:47:00,0,10,0,10
2023-05-25T09:58:34,0,10,0,10
2023-05-25T10:10:18,0,10,0,10
2023-05-25T10:21:51,0,10,0,10
2023-05-25T10:33:24,0,10,0,10
2023-05-25T10:44:56,0,10,0,10
2023-05-25T10:56:39,0,10,0,10
2023-05-25T11:08:12,0,10,0,10
2023-05-25T11:19:45,0,10,0,10
2023-05-25T11:31:17,0,10,0,10
2023-05-25T11:42:50,0,10,0,10
2023-05-25T11:54:24,0,10,0,10
2023-05-25T12:06:07,0,10,0,10
2023-05-25T12:17:40,0,10,0,10
2023-05-25T12:29:13,0,10,0,10
2023-05-25T12:40:46,0,10,0,10
2023-05-25T12:52:19,0,10,0,10
2023-05-25T13:04:02,0,10,0,10
2023-05-25T13:15:34,0,10,0,10
2023-05-25T13:27:07,0,10,0,10
2023-05-25T13:38:40,0,10,0,10
2023-05-25T13:50:14,0,10,0,10
2023-05-25T14:01:57,0,10,0,10
2023-05-25T14:13:32,0,10,0,10
2023-05-25T14:25:05,0,10,0,10
2023-05-25T14:36:38,0,10,0,10
2023-05-25T14:48:10,0,10,0,10
2023-05-25T14:59:54,0,10,0,10
2023-05-25T15:11:28,0,10,0,10
2023-05-25T15:23:03,0,10,0,10
2023-05-25T15:34:37,0,10,0,10
2023-05-25T15:46:12,0,10,0,10
2023-05-25T15:57:47,0,10,0,10
2023-05-25T16:09:32,0,10,0,10
2023-05-25T16:21:07,0,10,0,10
2023-05-25T16:32:42,0,10,0,10
2023-05-25T16:44:17,0,10,0,10
2023-05-25T16:55:52,0,10,0,10
2023-05-25T17:07:29,0,10,0,10
2023-05-25T17:19:16,0,10,0,10
2023-05-25T17:30:52,0,10,0,10
2023-05-25T17:42:27,0,10,0,10
2023-05-25T17:54:03,0,10,0,10
2023-05-25T18:05:40,0,10,0,10
2023-05-25T18:17:16,0,10,0,10
2023-05-25T18:28:51,0,10,0,10
2023-05-25T18:40:36,0,10,0,10
2023-05-25T18:52:12,0,10,0,10
2023-05-25T19:03:48,0,10,0,10
2023-05-25T19:15:25,0,10,0,10
2023-05-25T19:27:00,0,10,0,10
2023-05-25T19:38:36,0,10,0,10
2023-05-25T19:50:12,0,10,0,10
2023-05-25T20:01:57,0,10,0,10
2023-05-25T20:13:33,0,10,0,10
2023-05-25T20:25:09,0,10,0,10
2023-05-25T20:36:45,0,10,0,10
2023-05-25T20:48:20,0,10,0,10
2023-05-25T20:59:56,0,10,0,10
2023-05-25T21:11:32,0,10,0,10
2023-05-25T21:23:19,0,10,0,10
2023-05-25T21:34:55,0,10,0,10
2023-05-25T21:46:31,0,10,0,10
2023-05-25T21:58:06,0,10,0,10
2023-05-25T22:09:41,0,10,0,10
2023-05-25T22:21:17,0,10,0,10
2023-05-25T22:32:52,0,10,0,10
2023-05-25T22:44:39,0,10,0,10
2023-05-25T22:56:14,0,10,0,10
2023-05-25T23:07:52,0,10,0,10
2023-05-25T23:19:28,0,10,0,10
2023-05-25T23:31:04,0,10,0,10
2023-05-25T23:42:40,0,10,0,10
2023-05-25T23:54:17,0,10,0,10
2023-05-26T00:06:11,0,10,0,10
2023-05-26T00:17:52,0,10,0,10
2023-05-26T00:29:31,0,10,0,10
2023-05-26T00:41:10,0,10,0,10
2023-05-26T00:52:48,0,10,0,10
2023-05-26T01:04:28,0,10,0,10
2023-05-26T01:16:07,0,10,0,10
2023-05-26T01:27:45,0,10,0,10
2023-05-26T01:39:23,0,10,0,10
2023-05-26T01:51:11,0,10,0,10
2023-05-26T02:02:53,0,10,0,10
2023-05-26T02:14:31,0,10,0,10
2023-05-26T02:26:08,0,10,0,10
2023-05-26T02:37:47,0,10,0,10
2023-05-26T02:49:36,0,10,0,10
2023-05-26T03:01:16,0,10,0,10
2023-05-26T03:12:55,0,10,0,10
2023-05-26T03:24:37,0,10,0,10
2023-05-26T03:36:15,0,10,0,10
2023-05-26T03:47:53,0,10,0,10
2023-05-26T03:59:32,0,10,0,10
2023-05-26T04:11:20,0,10,0,10
2023-05-26T04:33:20,0,10,0,10
2023-05-26T04:45:24,0,10,0,10
2023-05-26T04:57:04,0,10,0,10
2023-05-26T05:08:47,0,10,0,10
2023-05-26T05:20:26,0,10,0,10
2023-05-26T05:32:04,0,10,0,10
2023-05-26T05:43:44,0,10,0,10
2023-05-26T05:55:22,0,10,0,10
2023-05-26T06:07:00,0,10,0,10
2023-05-26T06:18:40,0,10,0,10
2023-05-26T06:30:19,0,10,0,10
2023-05-26T06:41:58,0,10,0,10
2023-05-26T06:53:36,0,10,0,10
2023-05-26T07:05:14,0,10,0,10
2023-05-26T07:16:53,0,10,0,10
2023-05-26T07:28:31,0,10,0,10
2023-05-26T07:40:17,0,10,0,10
2023-05-26T07:51:54,0,10,0,10
2023-05-26T08:03:30,0,10,0,10
2023-05-26T08:15:06,0,10,0,10
2023-05-26T08:26:43,0,10,0,10
2023-05-26T08:38:18,0,10,0,10
2023-05-26T08:49:55,0,10,0,10
2023-05-26T09:01:31,0,10,0,10
2023-05-26T09:13:07,0,10,0,10
2023-05-26T09:24:44,0,10,0,10
2023-05-26T09:36:31,0,10,0,10
2023-05-26T09:48:07,0,10,0,10
2023-05-26T09:59:43,0,10,0,10
2023-05-26T10:11:19,0,10,0,10
2023-05-26T10:22:56,0,10,0,10
2023-05-26T10:34:32,0,10,0,10
2023-05-26T10:46:20,0,10,0,10
2023-05-26T10:57:56,0,10,0,10
2023-05-26T11:09:32,0,10,0,10
2023-05-26T11:21:09,0,10,0,10
2023-05-26T11:32:46,0,10,0,10
2023-05-26T11:44:32,0,10,0,10
2023-05-26T11:56:08,0,10,0,10
2023-05-26T12:07:44,0,10,0,10
2023-05-26T12:19:20,0,10,0,10
2023-05-26T12:30:56,0,10,0,10
2023-05-26T12:42:44,0,10,0,10
2023-05-26T12:54:19,0,10,0,10
2023-05-26T13:05:56,0,10,0,10
2023-05-26T13:17:31,0,10,0,10
2023-05-26T13:29:17,0,10,0,10
2023-05-26T13:40:54,0,10,0,10
2023-05-26T13:52:29,0,10,0,10
2023-05-26T14:04:05,0,10,0,10
2023-05-26T14:15:41,0,10,0,10
2023-05-26T14:27:28,0,10,0,10
2023-05-26T14:39:04,0,10,0,10
2023-05-26T14:50:40,0,10,0,10
2023-05-26T15:02:16,0,10,0,10
2023-05-26T15:13:55,0,10,0,10
2023-05-26T15:25:41,0,10,0,10
2023-05-26T15:37:17,0,10,0,10
2023-05-26T15:48:52,0,10,0,10
2023-05-26T16:00:29,0,10,0,10
2023-05-26T16:12:04,0,10,0,10
2023-05-26T16:23:40,0,10,0,10
2023-05-26T16:35:26,0,10,0,10
2023-05-26T16:47:01,0,10,0,10
2023-05-26T16:58:37,0,10,0,10
2023-05-26T17:10:13,0,10,0,10
2023-05-26T17:21:50,0,10,0,10
2023-05-26T17:33:26,0,10,0,10
2023-05-26T17:45:11,0,10,0,10
2023-05-26T17:56:47,0,10,0,10
