time,enrolled,available,waitlisted,total
2023-05-25T01:22:31,0,9999,0,9999
2023-05-25T01:34:07,0,9999,0,9999
2023-05-25T01:45:51,0,9999,0,9999
2023-05-25T01:57:27,0,9999,0,9999
2023-05-25T02:09:03,0,9999,0,9999
2023-05-25T02:20:39,0,9999,0,9999
2023-05-25T02:32:13,0,9999,0,9999
2023-05-25T02:43:47,0,9999,0,9999
2023-05-25T02:55:20,0,9999,0,9999
2023-05-25T03:06:54,0,9999,0,9999
2023-05-25T03:18:33,0,9999,0,9999
2023-05-25T03:30:30,0,9999,0,9999
2023-05-25T03:42:08,0,9999,0,9999
2023-05-25T03:53:43,0,9999,0,9999
2023-05-25T04:05:18,0,9999,0,9999
2023-05-25T04:25:06,0,9999,0,9999
2023-05-25T04:36:43,0,9999,0,9999
2023-05-25T04:48:19,0,9999,0,9999
2023-05-25T04:59:55,0,9999,0,9999
2023-05-25T05:11:32,0,9999,0,9999
2023-05-25T05:23:08,0,9999,0,9999
2023-05-25T05:34:45,0,9999,0,9999
2023-05-25T05:46:21,0,9999,0,9999
2023-05-25T05:57:57,0,9999,0,9999
2023-05-25T06:09:33,0,9999,0,9999
2023-05-25T06:21:08,0,9999,0,9999
2023-05-25T06:32:43,0,9999,0,9999
2023-05-25T06:44:18,0,9999,0,9999
2023-05-25T06:55:53,0,9999,0,9999
2023-05-25T07:07:29,0,9999,0,9999
2023-05-25T07:19:04,0,9999,0,9999
2023-05-25T07:30:38,0,9999,0,9999
2023-05-25T07:42:14,0,9999,0,9999
2023-05-25T07:53:50,0,9999,0,9999
2023-05-25T08:05:25,0,9999,0,9999
2023-05-25T08:17:00,0,9999,0,9999
2023-05-25T08:28:44,0,9999,0,9999
2023-05-25T08:40:17,0,9999,0,9999
2023-05-25T08:51:49,0,9999,0,9999
2023-05-25T09:03:23,0,9999,0,9999
2023-05-25T09:14:55,0,9999,0,9999
2023-05-25T09:26:28,0,9999,0,9999
2023-05-25T09:38:01,0,9999,0,9999
2023-05-25T09:49:33,0,9999,0,9999
2023-05-25T10:01:07,0,9999,0,9999
2023-05-25T10:12:51,0,9999,0,9999
2023-05-25T10:24:24,0,9999,0,9999
2023-05-25T10:35:57,0,9999,0,9999
2023-05-25T10:47:30,0,9999,0,9999
2023-05-25T10:59:12,0,9999,0,9999
2023-05-25T11:10:45,0,9999,0,9999
2023-05-25T11:22:17,0,9999,0,9999
2023-05-25T11:33:50,0,9999,0,9999
2023-05-25T11:45:23,0,9999,0,9999
2023-05-25T11:57:07,0,9999,0,9999
2023-05-25T12:08:40,0,9999,0,9999
2023-05-25T12:20:13,0,9999,0,9999
2023-05-25T12:31:46,0,9999,0,9999
2023-05-25T12:43:19,0,9999,0,9999
2023-05-25T12:54:52,0,9999,0,9999
2023-05-25T13:06:35,0,9999,0,9999
2023-05-25T13:18:07,0,9999,0,9999
2023-05-25T13:29:41,0,9999,0,9999
2023-05-25T13:41:14,0,9999,0,9999
2023-05-25T13:52:47,0,9999,0,9999
2023-05-25T14:04:31,0,9999,0,9999
2023-05-25T14:16:05,0,9999,0,9999
2023-05-25T14:27:38,0,9999,0,9999
2023-05-25T14:39:11,0,9999,0,9999
2023-05-25T14:50:44,0,9999,0,9999
2023-05-25T15:02:29,0,9999,0,9999
2023-05-25T15:14:03,0,9999,0,9999
2023-05-25T15:25:37,0,9999,0,9999
2023-05-25T15:37:12,0,9999,0,9999
2023-05-25T15:48:46,0,9999,0,9999
2023-05-25T16:00:21,0,9999,0,9999
2023-05-25T16:12:06,0,9999,0,9999
2023-05-25T16:23:41,0,9999,0,9999
2023-05-25T16:35:16,0,9999,0,9999
2023-05-25T16:46:52,0,9999,0,9999
2023-05-25T16:58:28,0,9999,0,9999
2023-05-25T17:10:04,0,9999,0,9999
2023-05-25T17:21:51,0,9999,0,9999
2023-05-25T17:33:27,0,9999,0,9999
2023-05-25T17:45:02,0,9999,0,9999
2023-05-25T17:56:38,0,9999,0,9999
2023-05-25T18:08:15,0,9999,0,9999
2023-05-25T18:19:51,0,9999,0,9999
2023-05-25T18:31:26,0,9999,0,9999
2023-05-25T18:43:11,0,9999,0,9999
2023-05-25T18:54:47,0,9999,0,9999
2023-05-25T19:06:24,0,9999,0,9999
2023-05-25T19:18:00,0,9999,0,9999
2023-05-25T19:29:35,0,9999,0,9999
2023-05-25T19:41:11,0,9999,0,9999
2023-05-25T19:52:57,0,9999,0,9999
2023-05-25T20:04:32,0,9999,0,9999
2023-05-25T20:16:08,0,9999,0,9999
2023-05-25T20:27:45,0,9999,0,9999
2023-05-25T20:39:20,0,9999,0,9999
2023-05-25T20:50:56,0,9999,0,9999
2023-05-25T21:02:31,0,9999,0,9999
2023-05-25T21:14:07,0,9999,0,9999
2023-05-25T21:25:54,0,9999,0,9999
2023-05-25T21:37:30,0,9999,0,9999
2023-05-25T21:49:06,0,9999,0,9999
2023-05-25T22:00:41,0,9999,0,9999
2023-05-25T22:12:16,0,9999,0,9999
2023-05-25T22:23:52,0,9999,0,9999
2023-05-25T22:35:27,0,9999,0,9999
2023-05-25T22:47:14,0,9999,0,9999
2023-05-25T22:58:49,0,9999,0,9999
2023-05-25T23:10:27,0,9999,0,9999
2023-05-25T23:22:03,0,9999,0,9999
2023-05-25T23:33:39,0,9999,0,9999
2023-05-25T23:45:15,0,9999,0,9999
2023-05-25T23:56:51,0,9999,0,9999
2023-05-26T00:08:48,0,9999,0,9999
2023-05-26T00:20:28,0,9999,0,9999
2023-05-26T00:32:06,0,9999,0,9999
2023-05-26T00:43:45,0,9999,0,9999
2023-05-26T00:55:24,0,9999,0,9999
2023-05-26T01:07:04,0,9999,0,9999
2023-05-26T01:18:42,0,9999,0,9999
2023-05-26T01:30:20,0,9999,0,9999
2023-05-26T01:41:58,0,9999,0,9999
2023-05-26T01:53:46,0,9999,0,9999
2023-05-26T02:05:29,0,9999,0,9999
2023-05-26T02:17:06,0,9999,0,9999
2023-05-26T02:28:43,0,9999,0,9999
2023-05-26T02:40:23,0,9999,0,9999
2023-05-26T02:52:12,0,9999,0,9999
2023-05-26T03:03:52,0,9999,0,9999
2023-05-26T03:15:31,0,9999,0,9999
2023-05-26T03:27:12,0,9999,0,9999
2023-05-26T03:38:50,0,9999,0,9999
2023-05-26T03:50:29,0,9999,0,9999
2023-05-26T04:02:07,0,9999,0,9999
2023-05-26T04:13:56,0,9999,0,9999
2023-05-26T04:36:19,0,9999,0,9999
2023-05-26T04:48:00,0,9999,0,9999
2023-05-26T04:59:40,0,9999,0,9999
2023-05-26T05:11:23,0,9999,0,9999
2023-05-26T05:23:02,0,9999,0,9999
2023-05-26T05:34:40,0,9999,0,9999
2023-05-26T05:46:19,0,9999,0,9999
2023-05-26T05:57:58,0,9999,0,9999
2023-05-26T06:09:37,0,9999,0,9999
2023-05-26T06:21:16,0,9999,0,9999
2023-05-26T06:32:55,0,9999,0,9999
2023-05-26T06:44:34,0,9999,0,9999
2023-05-26T06:56:11,0,9999,0,9999
2023-05-26T07:07:50,0,9999,0,9999
2023-05-26T07:19:29,0,9999,0,9999
2023-05-26T07:31:15,0,9999,0,9999
2023-05-26T07:42:52,0,9999,0,9999
2023-05-26T07:54:29,0,9999,0,9999
2023-05-26T08:06:05,0,9999,0,9999
2023-05-26T08:17:41,0,9999,0,9999
2023-05-26T08:29:18,0,9999,0,9999
2023-05-26T08:40:54,0,9999,0,9999
2023-05-26T08:52:30,0,9999,0,9999
2023-05-26T09:04:06,0,9999,0,9999
2023-05-26T09:15:43,0,9999,0,9999
2023-05-26T09:27:19,0,9999,0,9999
2023-05-26T09:39:06,0,9999,0,9999
2023-05-26T09:50:42,0,9999,0,9999
2023-05-26T10:02:18,0,9999,0,9999
2023-05-26T10:13:55,0,9999,0,9999
2023-05-26T10:25:31,0,9999,0,9999
2023-05-26T10:37:19,0,9999,0,9999
2023-05-26T10:48:55,0,9999,0,9999
2023-05-26T11:00:31,0,9999,0,9999
2023-05-26T11:12:08,0,9999,0,9999
2023-05-26T11:23:44,0,9999,0,9999
2023-05-26T11:35:21,0,9999,0,9999
2023-05-26T11:47:07,0,9999,0,9999
2023-05-26T11:58:43,0,9999,0,9999
2023-05-26T12:10:19,0,9999,0,9999
2023-05-26T12:21:55,0,9999,0,9999
2023-05-26T12:33:31,0,9999,0,9999
2023-05-26T12:45:19,0,9999,0,9999
2023-05-26T12:56:54,0,9999,0,9999
2023-05-26T13:08:31,0,9999,0,9999
2023-05-26T13:20:06,0,9999,0,9999
2023-05-26T13:31:52,0,9999,0,9999
2023-05-26T13:43:29,0,9999,0,9999
2023-05-26T13:55:04,0,9999,0,9999
2023-05-26T14:06:40,0,9999,0,9999
2023-05-26T14:18:16,0,9999,0,9999
2023-05-26T14:30:03,0,9999,0,9999
2023-05-26T14:41:39,0,9999,0,9999
2023-05-26T14:53:16,0,9999,0,9999
2023-05-26T15:04:52,0,9999,0,9999
2023-05-26T15:16:30,0,9999,0,9999
2023-05-26T15:28:16,0,9999,0,9999
2023-05-26T15:39:52,0,9999,0,9999
2023-05-26T15:51:28,0,9999,0,9999
2023-05-26T16:03:04,0,9999,0,9999
2023-05-26T16:14:39,0,9999,0,9999
2023-05-26T16:26:15,0,9999,0,9999
2023-05-26T16:38:01,0,9999,0,9999
2023-05-26T16:49:36,0,9999,0,9999
2023-05-26T17:01:12,0,9999,0,9999
2023-05-26T17:12:49,0,9999,0,9999
2023-05-26T17:24:25,0,9999,0,9999
2023-05-26T17:36:00,0,9999,0,9999
2023-05-26T17:47:46,0,9999,0,9999
2023-05-26T17:59:22,0,9999,0,9999
2023-05-26T18:10:58,0,9999,0,9999
2023-05-26T18:22:33,0,9999,0,9999
2023-05-26T18:34:09,0,9999,0,9999
2023-05-26T18:45:44,0,9999,0,9999
2023-05-26T18:57:31,0,9999,0,9999
2023-05-26T19:09:06,0,9999,0,9999
2023-05-26T19:20:43,0,9999,0,9999
2023-05-26T19:32:19,0,9999,0,9999
2023-05-26T19:43:55,0,9999,0,9999
2023-05-26T19:55:30,0,9999,0,9999
2023-05-26T20:07:06,0,9999,0,9999
2023-05-26T20:18:51,0,9999,0,9999
2023-05-26T20:30:27,0,9999,0,9999
2023-05-26T20:42:03,0,9999,0,9999
2023-05-26T20:53:38,0,9999,0,9999
2023-05-26T21:05:14,0,9999,0,9999
2023-05-26T21:16:50,0,9999,0,9999
2023-05-26T21:28:27,0,9999,0,9999
2023-05-26T21:40:02,0,9999,0,9999
2023-05-26T21:51:49,0,9999,0,9999
2023-05-26T22:03:25,0,9999,0,9999
2023-05-26T22:15:01,0,9999,0,9999
2023-05-26T22:26:37,0,9999,0,9999
2023-05-26T22:38:13,0,9999,0,9999
2023-05-26T22:49:49,0,9999,0,9999
2023-05-26T23:01:26,0,9999,0,9999
2023-05-26T23:13:14,0,9999,0,9999
2023-05-26T23:24:50,0,9999,0,9999
2023-05-26T23:36:26,0,9999,0,9999
2023-05-26T23:48:03,0,9999,0,9999
2023-05-26T23:59:39,0,9999,0,9999
2023-05-27T00:11:17,0,9999,0,9999
2023-05-27T00:22:58,0,9999,0,9999
2023-05-27T00:34:36,0,9999,0,9999
2023-05-27T00:46:15,0,9999,0,9999
2023-05-27T00:57:55,0,9999,0,9999
2023-05-27T01:09:33,0,9999,0,9999
2023-05-27T01:21:22,0,9999,0,9999
2023-05-27T01:33:01,0,9999,0,9999
2023-05-27T01:44:40,0,9999,0,9999
2023-05-27T01:56:19,0,9999,0,9999
2023-05-27T02:07:57,0,9999,0,9999
2023-05-27T02:19:35,0,9999,0,9999
2023-05-27T02:31:12,0,9999,0,9999
2023-05-27T02:42:49,0,9999,0,9999
2023-05-27T02:54:25,0,9999,0,9999
2023-05-27T03:06:01,0,9999,0,9999
2023-05-27T03:17:40,0,9999,0,9999
2023-05-27T03:29:17,0,9999,0,9999
2023-05-27T03:40:54,0,9999,0,9999
2023-05-27T03:52:32,0,9999,0,9999
2023-05-27T04:04:11,0,9999,0,9999
2023-05-27T04:16:04,0,9999,0,9999
2023-05-27T04:38:40,0,9999,0,9999
2023-05-27T04:50:37,0,9999,0,9999
2023-05-27T05:02:16,0,9999,0,9999
2023-05-27T05:13:55,0,9999,0,9999
2023-05-27T05:25:34,0,9999,0,9999
2023-05-27T05:37:14,0,9999,0,9999
2023-05-27T05:48:53,0,9999,0,9999
2023-05-27T06:00:31,0,9999,0,9999
2023-05-27T06:12:09,0,9999,0,9999
2023-05-27T06:23:50,0,9999,0,9999
2023-05-27T06:35:29,0,9999,0,9999
2023-05-27T06:47:08,0,9999,0,9999
2023-05-27T06:58:46,0,9999,0,9999
2023-05-27T07:10:24,0,9999,0,9999
2023-05-27T07:22:02,0,9999,0,9999
2023-05-27T07:33:40,0,9999,0,9999
2023-05-27T07:45:17,0,9999,0,9999
2023-05-27T07:57:08,0,9999,0,9999
2023-05-27T08:08:45,0,9999,0,9999
2023-05-27T08:20:23,0,9999,0,9999
2023-05-27T08:32:01,0,9999,0,9999
2023-05-27T08:43:40,0,9999,0,9999
2023-05-27T08:55:18,0,9999,0,9999
2023-05-27T09:06:55,0,9999,0,9999
2023-05-27T09:18:33,0,9999,0,9999
2023-05-27T09:30:12,0,9999,0,9999
2023-05-27T09:41:50,0,9999,0,9999
2023-05-27T09:53:28,0,9999,0,9999
2023-05-27T10:05:05,0,9999,0,9999
2023-05-27T10:16:59,0,9999,0,9999
2023-05-27T10:28:37,0,9999,0,9999
2023-05-27T10:40:14,0,9999,0,9999
2023-05-27T10:51:51,0,9999,0,9999
2023-05-27T11:03:27,0,9999,0,9999
2023-05-27T11:15:02,0,9999,0,9999
2023-05-27T11:26:38,0,9999,0,9999
2023-05-27T11:38:12,0,9999,0,9999
2023-05-27T11:49:47,0,9999,0,9999
2023-05-27T12:01:22,0,9999,0,9999
2023-05-27T12:13:07,0,9999,0,9999
2023-05-27T12:24:42,0,9999,0,9999
2023-05-27T12:36:18,0,9999,0,9999
2023-05-27T12:47:53,0,9999,0,9999
2023-05-27T12:59:29,0,9999,0,9999
2023-05-27T13:11:04,0,9999,0,9999
2023-05-27T13:22:39,0,9999,0,9999
2023-05-27T13:34:34,0,9999,0,9999
2023-05-27T13:46:09,0,9999,0,9999
2023-05-27T13:57:44,0,9999,0,9999
2023-05-27T14:09:20,0,9999,0,9999
2023-05-27T14:20:55,0,9999,0,9999
2023-05-27T14:32:31,0,9999,0,9999
2023-05-27T14:44:06,0,9999,0,9999
2023-05-27T14:55:41,0,9999,0,9999
2023-05-27T15:07:27,0,9999,0,9999
2023-05-27T15:19:02,0,9999,0,9999
2023-05-27T15:30:37,0,9999,0,9999
2023-05-27T15:42:12,0,9999,0,9999
2023-05-27T15:53:47,0,9999,0,9999
2023-05-27T16:05:22,0,9999,0,9999
2023-05-27T16:16:57,0,9999,0,9999
2023-05-27T16:28:42,0,9999,0,9999
2023-05-27T16:40:17,0,9999,0,9999
2023-05-27T16:51:53,0,9999,0,9999
2023-05-27T17:03:28,0,9999,0,9999
2023-05-27T17:15:07,0,9999,0,9999
2023-05-27T17:26:42,0,9999,0,9999
2023-05-27T17:38:18,0,9999,0,9999
2023-05-27T17:50:03,0,9999,0,9999
2023-05-27T18:01:38,0,9999,0,9999
2023-05-27T18:13:14,0,9999,0,9999
2023-05-27T18:24:49,0,9999,0,9999
2023-05-27T18:36:24,0,9999,0,9999
2023-05-27T18:47:59,0,9999,0,9999
2023-05-27T18:59:34,0,9999,0,9999
2023-05-27T19:11:31,0,9999,0,9999
2023-05-27T19:23:06,0,9999,0,9999
2023-05-27T19:34:42,0,9999,0,9999
2023-05-27T19:46:18,0,9999,0,9999
2023-05-27T19:57:53,0,9999,0,9999
2023-05-27T20:09:28,0,9999,0,9999
2023-05-27T20:21:04,0,9999,0,9999
2023-05-27T20:32:39,0,9999,0,9999
2023-05-27T20:44:14,0,9999,0,9999
2023-05-27T20:55:58,0,9999,0,9999
2023-05-27T21:07:33,0,9999,0,9999
2023-05-27T21:19:09,0,9999,0,9999
2023-05-27T21:30:44,0,9999,0,9999
2023-05-27T21:42:20,0,9999,0,9999
2023-05-27T21:53:55,0,9999,0,9999
2023-05-27T22:05:31,0,9999,0,9999
2023-05-27T22:17:15,0,9999,0,9999
2023-05-27T22:28:51,0,9999,0,9999
2023-05-27T22:40:26,0,9999,0,9999
2023-05-27T22:52:02,0,9999,0,9999
2023-05-27T23:03:40,0,9999,0,9999
2023-05-27T23:15:17,0,9999,0,9999
2023-05-27T23:26:53,0,9999,0,9999
2023-05-27T23:38:45,0,9999,0,9999
2023-05-27T23:50:20,0,9999,0,9999
2023-05-28T00:01:57,0,9999,0,9999
2023-05-28T00:13:34,0,9999,0,9999
2023-05-28T00:25:14,0,9999,0,9999
2023-05-28T00:36:52,0,9999,0,9999
2023-05-28T00:48:29,0,9999,0,9999
2023-05-28T01:00:05,0,9999,0,9999
2023-05-28T01:11:42,0,9999,0,9999
2023-05-28T01:23:19,0,9999,0,9999
2023-05-28T01:35:03,0,9999,0,9999
2023-05-28T01:46:39,0,9999,0,9999
2023-05-28T01:58:15,0,9999,0,9999
2023-05-28T02:09:50,0,9999,0,9999
2023-05-28T02:21:26,0,9999,0,9999
2023-05-28T02:33:04,0,9999,0,9999
2023-05-28T02:44:44,0,9999,0,9999
2023-05-28T02:56:25,0,9999,0,9999
2023-05-28T03:08:06,0,9999,0,9999
2023-05-28T03:19:46,0,9999,0,9999
2023-05-28T03:31:25,0,9999,0,9999
2023-05-28T03:43:43,0,9999,0,9999
2023-05-28T03:56:12,0,9999,0,9999
2023-05-28T04:07:50,0,9999,0,9999
2023-05-28T04:33:31,0,9999,0,9999
2023-05-28T04:46:43,0,9999,0,9999
2023-05-28T04:58:24,0,9999,0,9999
2023-05-28T05:10:03,0,9999,0,9999
2023-05-28T05:21:41,0,9999,0,9999
