time,enrolled,available,waitlisted,total
2023-07-26T13:39:23,0,0,0,0
2023-07-26T13:51:52,0,0,0,0
2023-07-26T14:04:31,0,0,0,0
2023-07-26T14:17:00,0,0,0,0
2023-07-26T14:29:28,0,0,0,0
2023-07-26T14:41:57,0,0,0,0
2023-07-26T14:54:25,0,0,0,0
2023-07-26T15:06:55,0,0,0,0
2023-07-26T15:19:24,0,0,0,0
2023-07-26T15:31:53,0,0,0,0
2023-07-26T15:44:34,0,0,0,0
2023-07-26T15:57:02,0,0,0,0
2023-07-26T16:09:31,0,0,0,0
2023-07-26T16:22:00,0,0,0,0
2023-07-26T16:34:29,0,0,0,0
2023-07-26T16:46:58,0,0,0,0
2023-07-26T16:59:26,0,0,0,0
2023-07-26T17:11:56,0,0,0,0
2023-07-26T17:24:25,0,0,0,0
2023-07-26T17:36:54,0,0,0,0
2023-07-26T17:49:23,0,0,0,0
2023-07-26T18:02:02,0,0,0,0
2023-07-26T18:14:31,0,0,0,0
2023-07-26T18:27:00,0,0,0,0
2023-07-26T18:39:29,0,0,0,0
2023-07-26T18:51:58,0,0,0,0
2023-07-26T19:04:27,0,0,0,0
2023-07-26T19:16:56,0,0,0,0
2023-07-26T19:29:24,0,0,0,0
2023-07-26T19:41:54,0,0,0,0
2023-07-26T19:54:23,0,0,0,0
2023-07-26T20:06:52,0,0,0,0
2023-07-26T20:19:32,0,0,0,0
2023-07-26T20:32:01,0,0,0,0
2023-07-26T20:44:29,0,0,0,0
2023-07-26T20:56:58,0,0,0,0
2023-07-26T21:09:28,0,0,0,0
2023-07-26T21:21:56,0,0,0,0
2023-07-26T21:34:25,0,0,0,0
2023-07-26T21:46:54,0,0,0,0
2023-07-26T21:59:23,0,0,0,0
2023-07-26T22:11:52,0,0,0,0
2023-07-26T22:24:21,0,0,0,0
2023-07-26T22:36:50,0,0,0,0
2023-07-26T22:49:18,0,0,0,0
2023-07-26T23:01:47,0,0,0,0
2023-07-26T23:14:27,0,0,0,0
2023-07-26T23:26:57,0,0,0,0
2023-07-26T23:39:26,0,0,0,0
2023-07-26T23:51:56,0,0,0,0
2023-07-27T00:04:25,0,0,0,0
2023-07-27T00:16:57,0,0,0,0
2023-07-27T00:29:30,0,0,0,0
2023-07-27T00:42:03,0,0,0,0
2023-07-27T00:54:37,0,0,0,0
2023-07-27T01:07:10,0,0,0,0
2023-07-27T01:19:42,0,0,0,0
2023-07-27T01:32:15,0,0,0,0
2023-07-27T01:44:47,0,0,0,0
2023-07-27T01:57:21,0,0,0,0
2023-07-27T02:09:52,0,0,0,0
2023-07-27T02:22:22,0,0,0,0
2023-07-27T02:35:04,0,0,0,0
2023-07-27T02:47:33,0,0,0,0
2023-07-27T03:00:02,0,0,0,0
2023-07-27T03:12:32,0,0,0,0
2023-07-27T03:25:04,0,0,0,0
2023-07-27T03:37:35,0,0,0,0
2023-07-27T03:50:06,0,0,0,0
2023-07-27T04:02:38,0,0,0,0
2023-07-27T04:18:02,0,0,0,0
2023-07-27T04:30:37,0,0,0,0
2023-07-27T04:43:12,0,0,0,0
2023-07-27T04:55:44,0,0,0,0
2023-07-27T05:08:18,0,0,0,0
2023-07-27T05:20:50,0,0,0,0
2023-07-27T05:33:23,0,0,0,0
2023-07-27T05:45:56,0,0,0,0
2023-07-27T05:58:28,0,0,0,0
2023-07-27T06:11:00,0,0,0,0
2023-07-27T06:23:32,0,0,0,0
2023-07-27T06:36:04,0,0,0,0
2023-07-27T06:48:36,0,0,0,0
2023-07-27T07:01:07,0,0,0,0
2023-07-27T07:13:47,0,0,0,0
2023-07-27T07:26:18,0,0,0,0
2023-07-27T07:38:49,0,0,0,0
2023-07-27T07:51:19,0,120,0,120
2023-07-27T08:03:51,0,120,0,120
2023-07-27T08:16:21,0,120,0,120
2023-07-27T08:28:52,0,120,0,120
2023-07-27T08:41:23,0,120,0,120
2023-07-27T08:53:54,3,117,0,120
2023-07-27T09:06:24,4,116,0,120
2023-07-27T09:18:55,4,116,0,120
2023-07-27T09:31:26,6,114,0,120
2023-07-27T09:43:56,8,112,0,120
2023-07-27T09:56:27,8,112,0,120
2023-07-27T10:09:06,9,111,0,120
2023-07-27T10:21:35,9,111,0,120
2023-07-27T10:34:04,10,110,0,120
