time,enrolled,available,waitlisted,total
2023-09-11T14:19:53,0,9999,0,9999
2023-09-11T14:32:50,0,9999,0,9999
2023-09-11T14:45:48,0,9999,0,9999
2023-09-11T14:58:45,0,9999,0,9999
2023-09-11T15:11:52,0,9999,0,9999
2023-09-11T15:24:49,0,9999,0,9999
2023-09-11T15:37:47,0,9999,0,9999
2023-09-11T15:50:43,0,9999,0,9999
2023-09-11T16:03:40,0,9999,0,9999
2023-09-11T16:16:37,0,9999,0,9999
2023-09-11T16:29:45,0,9999,0,9999
2023-09-11T16:42:42,0,9999,0,9999
2023-09-11T16:55:39,0,9999,0,9999
2023-09-11T17:08:37,0,9999,0,9999
2023-09-11T17:21:48,0,9999,0,9999
2023-09-11T17:34:45,0,9999,0,9999
2023-09-11T17:47:42,0,9999,0,9999
2023-09-11T18:00:41,0,9999,0,9999
2023-09-11T18:13:38,0,9999,0,9999
2023-09-11T18:26:46,0,9999,0,9999
2023-09-11T18:39:41,0,9999,0,9999
2023-09-11T18:52:37,0,9999,0,9999
2023-09-11T19:05:34,0,9999,0,9999
2023-09-11T19:18:32,0,9999,0,9999
2023-09-11T19:31:28,0,9999,0,9999
2023-09-11T19:44:24,0,9999,0,9999
2023-09-11T19:57:33,0,9999,0,9999
2023-09-11T20:10:35,0,9999,0,9999
2023-09-11T20:23:31,0,9999,0,9999
2023-09-11T20:36:27,0,9999,0,9999
2023-09-11T20:49:24,0,9999,0,9999
2023-09-11T21:02:20,0,9999,0,9999
2023-09-11T21:15:17,0,9999,0,9999
2023-09-11T21:28:24,0,9999,0,9999
2023-09-11T21:41:21,0,9999,0,9999
2023-09-11T21:54:18,0,9999,0,9999
2023-09-11T22:07:15,0,9999,0,9999
2023-09-11T22:20:10,0,9999,0,9999
2023-09-11T22:33:07,0,9999,0,9999
2023-09-11T22:46:04,0,9999,0,9999
2023-09-11T22:59:11,0,9999,0,9999
2023-09-11T23:12:10,0,9999,0,9999
2023-09-11T23:25:06,0,9999,0,9999
2023-09-11T23:38:03,0,9999,0,9999
2023-09-11T23:51:00,0,9999,0,9999
2023-09-12T00:03:58,0,9999,0,9999
2023-09-12T00:16:58,0,9999,0,9999
2023-09-12T00:30:03,0,9999,0,9999
2023-09-12T00:43:04,0,9999,0,9999
2023-09-12T00:56:17,0,9999,0,9999
2023-09-12T01:09:18,0,9999,0,9999
2023-09-12T01:22:18,0,9999,0,9999
2023-09-12T01:35:19,0,9999,0,9999
2023-09-12T01:48:20,0,9999,0,9999
2023-09-12T02:01:21,0,9999,0,9999
2023-09-12T02:14:21,0,9999,0,9999
2023-09-12T02:27:20,0,9999,0,9999
2023-09-12T02:40:19,0,9999,0,9999
2023-09-12T02:53:17,0,9999,0,9999
2023-09-12T03:06:14,0,9999,0,9999
2023-09-12T03:19:13,0,9999,0,9999
2023-09-12T03:32:13,0,9999,0,9999
2023-09-12T03:45:12,0,9999,0,9999
2023-09-12T03:58:11,0,9999,0,9999
2023-09-12T04:11:22,0,9999,0,9999
2023-09-12T04:36:46,0,9999,0,9999
2023-09-12T04:51:27,0,9999,0,9999
2023-09-12T05:04:30,0,9999,0,9999
2023-09-12T05:17:34,0,9999,0,9999
2023-09-12T05:30:35,0,9999,0,9999
2023-09-12T05:43:37,0,9999,0,9999
2023-09-12T05:56:38,0,9999,0,9999
2023-09-12T06:09:37,0,9999,0,9999
2023-09-12T06:22:37,0,9999,0,9999
2023-09-12T06:35:39,0,9999,0,9999
2023-09-12T06:48:39,0,9999,0,9999
2023-09-12T07:01:40,0,9999,0,9999
2023-09-12T07:14:41,0,9999,0,9999
2023-09-12T07:27:40,0,9999,0,9999
2023-09-12T07:40:39,0,9999,0,9999
2023-09-12T07:53:37,0,9999,0,9999
2023-09-12T08:06:37,0,9999,0,9999
2023-09-12T08:19:47,0,9999,0,9999
2023-09-12T08:32:47,0,9999,0,9999
2023-09-12T08:45:47,0,9999,0,9999
2023-09-12T08:58:46,0,9999,0,9999
2023-09-12T09:11:47,0,9999,0,9999
2023-09-12T09:24:46,0,9999,0,9999
2023-09-12T09:37:42,0,9999,0,9999
2023-09-12T09:50:39,0,9999,0,9999
2023-09-12T10:03:36,0,9999,0,9999
2023-09-12T10:16:46,0,9999,0,9999
2023-09-12T10:29:43,0,9999,0,9999
2023-09-12T10:42:40,0,9999,0,9999
2023-09-12T10:55:39,0,9999,0,9999
2023-09-12T11:08:36,0,9999,0,9999
2023-09-12T11:21:33,0,9999,0,9999
2023-09-12T11:34:41,0,9999,0,9999
2023-09-12T11:47:38,0,9999,0,9999
2023-09-12T12:00:35,0,9999,0,9999
2023-09-12T12:13:33,0,9999,0,9999
2023-09-12T12:26:31,0,9999,0,9999
2023-09-12T12:39:38,0,9999,0,9999
2023-09-12T12:52:35,0,9999,0,9999
2023-09-12T13:05:33,0,9999,0,9999
2023-09-12T13:18:29,0,9999,0,9999
2023-09-12T13:31:26,0,9999,0,9999
2023-09-12T13:44:24,0,9999,0,9999
2023-09-12T13:57:22,0,9999,0,9999
2023-09-12T14:10:32,0,9999,0,9999
2023-09-12T14:23:29,0,9999,0,9999
2023-09-12T14:36:27,0,9999,0,9999
2023-09-12T14:49:24,0,9999,0,9999
2023-09-12T15:02:22,0,9999,0,9999
2023-09-12T15:15:20,0,9999,0,9999
2023-09-12T15:28:29,0,9999,0,9999
2023-09-12T15:41:27,0,9999,0,9999
2023-09-12T15:54:24,0,9999,0,9999
2023-09-12T16:07:22,0,9999,0,9999
2023-09-12T16:20:19,0,9999,0,9999
2023-09-12T16:33:17,0,9999,0,9999
2023-09-12T16:46:25,0,9999,0,9999
2023-09-12T16:59:22,0,9999,0,9999
2023-09-12T17:12:19,0,9999,0,9999
2023-09-12T17:25:17,0,9999,0,9999
2023-09-12T17:38:14,0,9999,0,9999
2023-09-12T17:51:11,0,9999,0,9999
