time,enrolled,available,waitlisted,total
2023-05-25T01:16:22,0,150,0,150
2023-05-25T01:27:58,0,150,0,150
2023-05-25T01:39:33,0,150,0,150
2023-05-25T01:51:18,0,150,0,150
2023-05-25T02:02:53,0,150,0,150
2023-05-25T02:14:29,0,150,0,150
2023-05-25T02:26:05,0,150,0,150
2023-05-25T02:37:39,0,150,0,150
2023-05-25T02:49:12,0,150,0,150
2023-05-25T03:00:45,0,150,0,150
2023-05-25T03:12:22,0,150,0,150
2023-05-25T03:24:21,0,150,0,150
2023-05-25T03:35:58,0,150,0,150
2023-05-25T03:47:34,0,150,0,150
2023-05-25T03:59:10,0,150,0,150
2023-05-25T04:18:33,0,150,0,150
2023-05-25T04:30:33,0,150,0,150
2023-05-25T04:42:10,0,150,0,150
2023-05-25T04:53:46,0,150,0,150
2023-05-25T05:05:22,0,150,0,150
2023-05-25T05:16:59,0,150,0,150
2023-05-25T05:28:35,0,150,0,150
2023-05-25T05:40:11,0,150,0,150
2023-05-25T05:51:47,0,150,0,150
2023-05-25T06:03:24,0,150,0,150
2023-05-25T06:15:00,0,150,0,150
2023-05-25T06:26:34,0,150,0,150
2023-05-25T06:38:09,0,150,0,150
2023-05-25T06:49:45,0,150,0,150
2023-05-25T07:01:20,0,150,0,150
2023-05-25T07:12:55,0,150,0,150
2023-05-25T07:24:30,0,150,0,150
2023-05-25T07:36:03,0,150,0,150
2023-05-25T07:47:41,0,150,0,150
2023-05-25T07:59:16,0,150,0,150
2023-05-25T08:10:50,0,150,0,150
2023-05-25T08:22:35,0,150,0,150
2023-05-25T08:34:09,0,150,0,150
2023-05-25T08:45:42,0,150,0,150
2023-05-25T08:57:14,0,150,0,150
2023-05-25T09:08:48,0,150,0,150
2023-05-25T09:20:20,0,150,0,150
2023-05-25T09:31:53,0,150,0,150
2023-05-25T09:43:25,0,150,0,150
2023-05-25T09:54:58,0,150,0,150
2023-05-25T10:06:32,0,150,0,150
2023-05-25T10:18:16,0,150,0,150
2023-05-25T10:29:49,0,150,0,150
2023-05-25T10:41:22,0,150,0,150
2023-05-25T10:53:04,0,150,0,150
2023-05-25T11:04:37,0,150,0,150
2023-05-25T11:16:09,0,150,0,150
2023-05-25T11:27:42,0,150,0,150
2023-05-25T11:39:15,0,150,0,150
2023-05-25T11:50:48,0,150,0,150
2023-05-25T12:02:32,0,150,0,150
2023-05-25T12:14:05,0,150,0,150
2023-05-25T12:25:38,0,150,0,150
2023-05-25T12:37:11,0,150,0,150
2023-05-25T12:48:44,0,150,0,150
2023-05-25T13:00:27,0,150,0,150
2023-05-25T13:11:59,0,150,0,150
2023-05-25T13:23:32,0,150,0,150
2023-05-25T13:35:06,0,150,0,150
2023-05-25T13:46:39,0,150,0,150
2023-05-25T13:58:12,0,150,0,150
2023-05-25T14:09:57,0,150,0,150
2023-05-25T14:21:30,0,150,0,150
2023-05-25T14:33:03,0,150,0,150
2023-05-25T14:44:36,0,150,0,150
2023-05-25T14:56:10,0,150,0,150
2023-05-25T15:07:53,0,150,0,150
2023-05-25T15:19:28,0,150,0,150
2023-05-25T15:31:03,0,150,0,150
2023-05-25T15:42:37,0,150,0,150
2023-05-25T15:54:11,0,150,0,150
2023-05-25T16:05:57,0,150,0,150
2023-05-25T16:17:32,0,150,0,150
2023-05-25T16:29:07,0,150,0,150
2023-05-25T16:40:42,0,150,0,150
2023-05-25T16:52:18,0,150,0,150
2023-05-25T17:03:54,0,150,0,150
2023-05-25T17:15:42,0,150,0,150
2023-05-25T17:27:17,0,150,0,150
2023-05-25T17:38:52,0,150,0,150
2023-05-25T17:50:28,0,150,0,150
2023-05-25T18:02:04,0,150,0,150
2023-05-25T18:13:41,0,150,0,150
2023-05-25T18:25:16,0,150,0,150
2023-05-25T18:37:02,0,150,0,150
2023-05-25T18:48:37,0,150,0,150
2023-05-25T19:00:13,0,150,0,150
2023-05-25T19:11:50,0,150,0,150
2023-05-25T19:23:25,0,150,0,150
2023-05-25T19:35:01,0,150,0,150
2023-05-25T19:46:37,0,150,0,150
2023-05-25T19:58:23,0,150,0,150
2023-05-25T20:09:58,0,150,0,150
2023-05-25T20:21:34,0,150,0,150
2023-05-25T20:33:10,0,150,0,150
2023-05-25T20:44:46,0,150,0,150
2023-05-25T20:56:22,0,150,0,150
2023-05-25T21:07:57,0,150,0,150
2023-05-25T21:19:44,0,150,0,150
2023-05-25T21:31:20,0,150,0,150
2023-05-25T21:42:56,0,150,0,150
2023-05-25T21:54:31,0,150,0,150
2023-05-25T22:06:07,0,150,0,150
2023-05-25T22:17:42,0,150,0,150
2023-05-25T22:29:17,0,150,0,150
2023-05-25T22:40:53,0,150,0,150
2023-05-25T22:52:39,0,150,0,150
2023-05-25T23:04:17,0,150,0,150
2023-05-25T23:15:53,0,150,0,150
2023-05-25T23:27:29,0,150,0,150
2023-05-25T23:39:05,0,150,0,150
2023-05-25T23:50:41,0,150,0,150
2023-05-26T00:02:24,0,150,0,150
2023-05-26T00:14:16,0,150,0,150
2023-05-26T00:25:55,0,150,0,150
2023-05-26T00:37:34,0,150,0,150
2023-05-26T00:49:13,0,150,0,150
2023-05-26T01:00:52,0,150,0,150
2023-05-26T01:12:31,0,150,0,150
2023-05-26T01:24:09,0,150,0,150
2023-05-26T01:35:47,0,150,0,150
2023-05-26T01:47:35,0,150,0,150
2023-05-26T01:59:16,0,150,0,150
2023-05-26T02:10:56,0,150,0,150
2023-05-26T02:22:33,0,150,0,150
2023-05-26T02:34:10,0,150,0,150
2023-05-26T02:46:00,0,150,0,150
2023-05-26T02:57:39,0,150,0,150
2023-05-26T03:09:20,0,150,0,150
2023-05-26T03:21:01,0,150,0,150
2023-05-26T03:32:39,0,150,0,150
2023-05-26T03:44:18,0,150,0,150
2023-05-26T03:55:56,0,150,0,150
2023-05-26T04:07:45,0,150,0,150
2023-05-26T04:29:44,0,150,0,150
2023-05-26T04:41:47,0,150,0,150
2023-05-26T04:53:29,0,150,0,150
2023-05-26T05:05:10,0,150,0,150
2023-05-26T05:16:50,0,150,0,150
2023-05-26T05:28:29,0,150,0,150
2023-05-26T05:40:08,0,150,0,150
2023-05-26T05:51:47,0,150,0,150
2023-05-26T06:03:25,0,150,0,150
2023-05-26T06:15:05,0,150,0,150
2023-05-26T06:26:43,0,150,0,150
2023-05-26T06:38:22,0,150,0,150
2023-05-26T06:50:01,0,150,0,150
2023-05-26T07:01:38,0,150,0,150
2023-05-26T07:13:17,0,150,0,150
2023-05-26T07:24:56,0,150,0,150
2023-05-26T07:36:41,0,150,0,150
2023-05-26T07:48:18,0,150,0,150
2023-05-26T07:59:55,0,150,0,150
2023-05-26T08:11:31,0,150,0,150
2023-05-26T08:23:07,0,150,0,150
2023-05-26T08:34:44,0,150,0,150
2023-05-26T08:46:20,0,150,0,150
2023-05-26T08:57:56,0,150,0,150
2023-05-26T09:09:32,0,150,0,150
2023-05-26T09:21:09,0,150,0,150
2023-05-26T09:32:56,0,150,0,150
2023-05-26T09:44:32,0,150,0,150
2023-05-26T09:56:08,0,150,0,150
2023-05-26T10:07:44,0,150,0,150
2023-05-26T10:19:20,0,150,0,150
2023-05-26T10:30:57,0,150,0,150
2023-05-26T10:42:45,0,150,0,150
2023-05-26T10:54:21,0,150,0,150
2023-05-26T11:05:58,0,150,0,150
2023-05-26T11:17:34,0,150,0,150
2023-05-26T11:29:10,0,150,0,150
2023-05-26T11:40:57,0,150,0,150
2023-05-26T11:52:33,0,150,0,150
2023-05-26T12:04:09,0,150,0,150
2023-05-26T12:15:45,0,150,0,150
2023-05-26T12:27:21,0,150,0,150
2023-05-26T12:39:09,0,150,0,150
2023-05-26T12:50:45,0,150,0,150
2023-05-26T13:02:21,0,150,0,150
2023-05-26T13:13:56,0,150,0,150
2023-05-26T13:25:32,0,150,0,150
2023-05-26T13:37:19,0,150,0,150
2023-05-26T13:48:54,1,149,0,150
2023-05-26T14:00:30,1,149,0,150
2023-05-26T14:12:06,1,149,0,150
2023-05-26T14:23:53,1,149,0,150
2023-05-26T14:35:29,1,149,0,150
2023-05-26T14:47:06,1,149,0,150
2023-05-26T14:58:42,1,149,0,150
2023-05-26T15:10:20,1,149,0,150
2023-05-26T15:21:55,1,149,0,150
2023-05-26T15:33:42,1,149,0,150
2023-05-26T15:45:17,1,149,0,150
2023-05-26T15:56:54,1,149,0,150
2023-05-26T16:08:30,1,149,0,150
2023-05-26T16:20:05,1,149,0,150
2023-05-26T16:31:51,1,149,0,150
2023-05-26T16:43:27,1,149,0,150
2023-05-26T16:55:02,1,149,0,150
2023-05-26T17:06:38,1,149,0,150
2023-05-26T17:18:15,1,149,0,150
2023-05-26T17:29:51,1,149,0,150
2023-05-26T17:41:36,1,149,0,150
2023-05-26T17:53:12,1,149,0,150
2023-05-26T18:04:48,1,149,0,150
2023-05-26T18:16:23,1,149,0,150
2023-05-26T18:27:59,1,149,0,150
2023-05-26T18:39:35,1,149,0,150
2023-05-26T18:51:21,1,149,0,150
2023-05-26T19:02:57,1,149,0,150
2023-05-26T19:14:33,1,149,0,150
2023-05-26T19:26:10,1,149,0,150
2023-05-26T19:37:45,1,149,0,150
2023-05-26T19:49:20,1,149,0,150
2023-05-26T20:00:56,1,149,0,150
2023-05-26T20:12:42,1,149,0,150
2023-05-26T20:24:18,1,149,0,150
2023-05-26T20:35:53,1,149,0,150
2023-05-26T20:47:28,1,149,0,150
2023-05-26T20:59:04,1,149,0,150
2023-05-26T21:10:40,1,149,0,150
2023-05-26T21:22:17,1,149,0,150
2023-05-26T21:33:53,1,149,0,150
2023-05-26T21:45:39,1,149,0,150
2023-05-26T21:57:15,1,149,0,150
2023-05-26T22:08:51,1,149,0,150
2023-05-26T22:20:27,1,149,0,150
2023-05-26T22:32:03,1,149,0,150
2023-05-26T22:43:39,1,149,0,150
2023-05-26T22:55:15,1,149,0,150
2023-05-26T23:06:54,1,149,0,150
2023-05-26T23:18:40,1,149,0,150
2023-05-26T23:30:16,1,149,0,150
2023-05-26T23:41:53,1,149,0,150
2023-05-26T23:53:29,1,149,0,150
2023-05-27T00:05:06,1,149,0,150
2023-05-27T00:16:46,1,149,0,150
2023-05-27T00:28:25,1,149,0,150
2023-05-27T00:40:04,1,149,0,150
2023-05-27T00:51:43,1,149,0,150
2023-05-27T01:03:22,1,149,0,150
2023-05-27T01:15:11,1,149,0,150
2023-05-27T01:26:50,1,149,0,150
2023-05-27T01:38:29,1,149,0,150
2023-05-27T01:50:08,1,149,0,150
2023-05-27T02:01:46,1,149,0,150
2023-05-27T02:13:24,1,149,0,150
2023-05-27T02:25:02,1,149,0,150
2023-05-27T02:36:39,1,149,0,150
2023-05-27T02:48:15,1,149,0,150
2023-05-27T02:59:50,1,149,0,150
2023-05-27T03:11:28,1,149,0,150
2023-05-27T03:23:07,1,149,0,150
2023-05-27T03:34:43,1,149,0,150
2023-05-27T03:46:21,1,149,0,150
2023-05-27T03:57:59,1,149,0,150
2023-05-27T04:09:52,1,149,0,150
2023-05-27T04:31:13,1,149,0,150
2023-05-27T04:44:08,1,149,0,150
2023-05-27T04:56:04,1,149,0,150
2023-05-27T05:07:43,1,149,0,150
2023-05-27T05:19:23,1,149,0,150
2023-05-27T05:31:02,1,149,0,150
2023-05-27T05:42:42,1,149,0,150
2023-05-27T05:54:20,1,149,0,150
2023-05-27T06:05:58,1,149,0,150
2023-05-27T06:17:36,1,149,0,150
2023-05-27T06:29:18,1,149,0,150
2023-05-27T06:40:56,1,149,0,150
2023-05-27T06:52:35,1,149,0,150
2023-05-27T07:04:13,1,149,0,150
2023-05-27T07:15:51,1,149,0,150
2023-05-27T07:27:29,1,149,0,150
2023-05-27T07:39:06,1,149,0,150
2023-05-27T07:50:44,1,149,0,150
2023-05-27T08:02:35,1,149,0,150
2023-05-27T08:14:12,1,149,0,150
2023-05-27T08:25:50,1,149,0,150
2023-05-27T08:37:28,1,149,0,150
2023-05-27T08:49:07,1,149,0,150
2023-05-27T09:00:44,1,149,0,150
2023-05-27T09:12:22,1,149,0,150
2023-05-27T09:23:59,1,149,0,150
2023-05-27T09:35:39,1,149,0,150
2023-05-27T09:47:18,1,149,0,150
2023-05-27T09:58:54,1,149,0,150
2023-05-27T10:10:49,1,149,0,150
2023-05-27T10:22:25,1,149,0,150
2023-05-27T10:34:04,1,149,0,150
2023-05-27T10:45:40,1,149,0,150
2023-05-27T10:57:17,1,149,0,150
2023-05-27T11:08:53,1,149,0,150
2023-05-27T11:20:28,1,149,0,150
2023-05-27T11:32:03,1,149,0,150
2023-05-27T11:43:38,1,149,0,150
2023-05-27T11:55:13,1,149,0,150
2023-05-27T12:06:58,1,149,0,150
2023-05-27T12:18:33,1,149,0,150
2023-05-27T12:30:08,1,149,0,150
2023-05-27T12:41:43,1,149,0,150
2023-05-27T12:53:19,1,149,0,150
2023-05-27T13:04:54,1,149,0,150
2023-05-27T13:16:29,1,149,0,150
2023-05-27T13:28:04,1,149,0,150
2023-05-27T13:39:59,1,149,0,150
2023-05-27T13:51:34,1,149,0,150
2023-05-27T14:03:10,1,149,0,150
2023-05-27T14:14:45,1,149,0,150
2023-05-27T14:26:21,1,149,0,150
2023-05-27T14:37:57,1,149,0,150
2023-05-27T14:49:31,1,149,0,150
2023-05-27T15:01:17,1,149,0,150
2023-05-27T15:12:52,1,149,0,150
2023-05-27T15:24:27,1,149,0,150
2023-05-27T15:36:02,1,149,0,150
2023-05-27T15:47:37,1,149,0,150
2023-05-27T15:59:12,1,149,0,150
2023-05-27T16:10:47,1,149,0,150
2023-05-27T16:22:22,1,149,0,150
2023-05-27T16:34:07,1,149,0,150
2023-05-27T16:45:43,1,149,0,150
2023-05-27T16:57:18,1,149,0,150
2023-05-27T17:08:55,1,149,0,150
2023-05-27T17:20:32,1,149,0,150
2023-05-27T17:32:08,1,149,0,150
2023-05-27T17:43:53,1,149,0,150
2023-05-27T17:55:28,1,149,0,150
2023-05-27T18:07:04,1,149,0,150
2023-05-27T18:18:39,1,149,0,150
2023-05-27T18:30:15,1,149,0,150
2023-05-27T18:41:50,1,149,0,150
2023-05-27T18:53:25,1,149,0,150
2023-05-27T19:05:01,1,149,0,150
2023-05-27T19:16:56,1,149,0,150
2023-05-27T19:28:32,1,149,0,150
2023-05-27T19:40:08,1,149,0,150
2023-05-27T19:51:43,1,149,0,150
2023-05-27T20:03:18,1,149,0,150
2023-05-27T20:14:54,1,149,0,150
2023-05-27T20:26:29,1,149,0,150
2023-05-27T20:38:04,1,149,0,150
2023-05-27T20:49:49,1,149,0,150
2023-05-27T21:01:24,1,149,0,150
2023-05-27T21:12:59,1,149,0,150
2023-05-27T21:24:35,1,149,0,150
2023-05-27T21:36:10,1,149,0,150
2023-05-27T21:47:45,1,149,0,150
2023-05-27T21:59:21,1,149,0,150
2023-05-27T22:10:56,1,149,0,150
2023-05-27T22:22:41,1,149,0,150
2023-05-27T22:34:17,1,149,0,150
2023-05-27T22:45:52,1,149,0,150
2023-05-27T22:57:27,1,149,0,150
2023-05-27T23:09:07,1,149,0,150
2023-05-27T23:20:43,1,149,0,150
2023-05-27T23:32:19,1,149,0,150
2023-05-27T23:44:11,1,149,0,150
2023-05-27T23:55:46,1,149,0,150
2023-05-28T00:07:23,1,149,0,150
2023-05-28T00:19:03,1,149,0,150
2023-05-28T00:30:40,1,149,0,150
2023-05-28T00:42:19,1,149,0,150
2023-05-28T00:53:56,1,149,0,150
2023-05-28T01:05:32,1,149,0,150
2023-05-28T01:17:09,1,149,0,150
2023-05-28T01:28:44,1,149,0,150
2023-05-28T01:40:29,1,149,0,150
2023-05-28T01:52:05,1,149,0,150
2023-05-28T02:03:41,1,149,0,150
2023-05-28T02:15:16,1,149,0,150
2023-05-28T02:26:53,1,149,0,150
2023-05-28T02:38:32,1,149,0,150
2023-05-28T02:50:12,1,149,0,150
2023-05-28T03:01:53,1,149,0,150
2023-05-28T03:13:34,1,149,0,150
2023-05-28T03:25:13,1,149,0,150
2023-05-28T03:36:53,1,149,0,150
2023-05-28T03:49:39,1,149,0,150
2023-05-28T04:01:39,1,149,0,150
2023-05-28T04:13:18,1,149,0,150
2023-05-28T04:27:17,1,149,0,150
2023-05-28T04:40:14,1,149,0,150
2023-05-28T04:52:12,1,149,0,150
2023-05-28T05:03:52,1,149,0,150
2023-05-28T05:15:29,1,149,0,150
2023-05-28T05:27:08,1,149,0,150
2023-05-28T05:38:51,1,149,0,150
2023-05-28T05:50:31,1,149,0,150
2023-05-28T06:02:10,1,149,0,150
2023-05-28T06:13:49,1,149,0,150
2023-05-28T06:25:27,1,149,0,150
2023-05-28T06:37:06,1,149,0,150
2023-05-28T06:48:44,1,149,0,150
2023-05-28T07:00:22,1,149,0,150
2023-05-28T07:11:59,1,149,0,150
2023-05-28T07:23:38,1,149,0,150
2023-05-28T07:35:17,1,149,0,150
2023-05-28T07:46:55,1,149,0,150
2023-05-28T07:58:37,1,149,0,150
2023-05-28T08:10:16,1,149,0,150
2023-05-28T08:21:55,1,149,0,150
2023-05-28T08:33:32,1,149,0,150
2023-05-28T08:45:10,1,149,0,150
2023-05-28T08:56:50,1,149,0,150
2023-05-28T09:08:26,1,149,0,150
2023-05-28T09:20:11,1,149,0,150
2023-05-28T09:31:47,1,149,0,150
2023-05-28T09:43:23,1,149,0,150
2023-05-28T09:54:59,1,149,0,150
2023-05-28T10:06:36,1,149,0,150
2023-05-28T10:18:12,1,149,0,150
2023-05-28T10:29:47,1,149,0,150
2023-05-28T10:41:23,1,149,0,150
2023-05-28T10:52:58,1,149,0,150
2023-05-28T11:04:34,1,149,0,150
2023-05-28T11:16:10,1,149,0,150
2023-05-28T11:27:46,1,149,0,150
2023-05-28T11:39:22,1,149,0,150
2023-05-28T11:50:57,1,149,0,150
2023-05-28T12:02:42,1,149,0,150
2023-05-28T12:14:18,1,149,0,150
2023-05-28T12:25:54,1,149,0,150
2023-05-28T12:37:30,1,149,0,150
2023-05-28T12:49:05,1,149,0,150
2023-05-28T13:00:42,1,149,0,150
2023-05-28T13:12:17,1,149,0,150
2023-05-28T13:23:53,1,149,0,150
2023-05-28T13:35:28,1,149,0,150
2023-05-28T13:47:04,1,149,0,150
2023-05-28T13:58:39,1,149,0,150
2023-05-28T14:10:24,1,149,0,150
2023-05-28T14:21:59,1,149,0,150
2023-05-28T14:33:34,1,149,0,150
2023-05-28T14:45:10,1,149,0,150
2023-05-28T14:56:45,1,149,0,150
2023-05-28T15:08:21,1,149,0,150
2023-05-28T15:19:57,1,149,0,150
2023-05-28T15:31:33,1,149,0,150
2023-05-28T15:43:08,1,149,0,150
2023-05-28T15:54:43,1,149,0,150
2023-05-28T16:06:20,1,149,0,150
2023-05-28T16:18:06,1,149,0,150
2023-05-28T16:29:41,1,149,0,150
2023-05-28T16:41:17,1,149,0,150
2023-05-28T16:52:52,1,149,0,150
2023-05-28T17:04:27,1,149,0,150
2023-05-28T17:16:03,1,149,0,150
2023-05-28T17:27:39,1,149,0,150
2023-05-28T17:39:14,1,149,0,150
2023-05-28T17:50:49,1,149,0,150
2023-05-28T18:02:35,1,149,0,150
2023-05-28T18:14:10,1,149,0,150
2023-05-28T18:25:45,1,149,0,150
2023-05-28T18:37:21,1,149,0,150
2023-05-28T18:48:57,1,149,0,150
2023-05-28T19:00:32,1,149,0,150
2023-05-28T19:12:09,1,149,0,150
2023-05-28T19:23:45,1,149,0,150
2023-05-28T19:35:20,1,149,0,150
2023-05-28T19:47:05,1,149,0,150
2023-05-28T19:58:41,1,149,0,150
2023-05-28T20:10:16,1,149,0,150
2023-05-28T20:21:51,1,149,0,150
2023-05-28T20:33:26,1,149,0,150
2023-05-28T20:45:01,1,149,0,150
2023-05-28T20:56:36,1,149,0,150
2023-05-28T21:08:12,1,149,0,150
2023-05-28T21:19:48,1,149,0,150
2023-05-28T21:31:32,1,149,0,150
2023-05-28T21:43:08,1,149,0,150
2023-05-28T21:54:44,1,149,0,150
2023-05-28T22:06:19,1,149,0,150
2023-05-28T22:17:55,1,149,0,150
2023-05-28T22:29:30,1,149,0,150
2023-05-28T22:41:06,1,149,0,150
2023-05-28T22:52:42,1,149,0,150
2023-05-28T23:04:30,1,149,0,150
2023-05-28T23:16:07,1,149,0,150
2023-05-28T23:27:43,1,149,0,150
2023-05-28T23:39:20,1,149,0,150
2023-05-28T23:50:56,1,149,0,150
2023-05-29T00:02:33,1,149,0,150
2023-05-29T00:14:19,1,149,0,150
2023-05-29T00:26:03,1,149,0,150
2023-05-29T00:37:44,1,149,0,150
2023-05-29T00:49:22,1,149,0,150
2023-05-29T01:01:10,1,149,0,150
2023-05-29T01:12:52,1,149,0,150
2023-05-29T01:24:30,1,149,0,150
2023-05-29T01:36:09,1,149,0,150
2023-05-29T01:47:47,1,149,0,150
2023-05-29T01:59:24,1,149,0,150
2023-05-29T02:11:10,1,149,0,150
2023-05-29T02:22:47,1,149,0,150
2023-05-29T02:34:25,1,149,0,150
2023-05-29T02:46:02,1,149,0,150
2023-05-29T02:57:38,1,149,0,150
2023-05-29T03:09:15,1,149,0,150
2023-05-29T03:20:52,1,149,0,150
2023-05-29T03:32:30,1,149,0,150
2023-05-29T03:44:17,1,149,0,150
2023-05-29T03:55:55,1,149,0,150
2023-05-29T04:07:34,1,149,0,150
2023-05-29T04:30:18,1,149,0,150
2023-05-29T04:41:57,1,149,0,150
2023-05-29T04:55:07,1,149,0,150
2023-05-29T05:06:47,1,149,0,150
2023-05-29T05:18:25,1,149,0,150
2023-05-29T05:30:04,1,149,0,150
2023-05-29T05:41:43,1,149,0,150
2023-05-29T05:53:22,1,149,0,150
2023-05-29T06:05:00,1,149,0,150
2023-05-29T06:16:38,1,149,0,150
2023-05-29T06:28:17,1,149,0,150
2023-05-29T06:39:54,1,149,0,150
2023-05-29T06:51:32,1,149,0,150
2023-05-29T07:03:12,1,149,0,150
2023-05-29T07:14:47,1,149,0,150
2023-05-29T07:26:31,1,149,0,150
2023-05-29T07:38:06,1,149,0,150
2023-05-29T07:49:41,1,149,0,150
2023-05-29T08:01:17,1,149,0,150
2023-05-29T08:12:52,1,149,0,150
2023-05-29T08:24:27,1,149,0,150
2023-05-29T08:36:02,1,149,0,150
