time,enrolled,available,waitlisted,total
2023-08-08T14:59:36,0,9999,0,9999
2023-08-08T15:12:23,0,9999,0,9999
2023-08-08T15:25:01,0,9999,0,9999
2023-08-08T15:37:38,0,9999,0,9999
2023-08-08T15:50:15,0,9999,0,9999
2023-08-08T16:02:52,0,9999,0,9999
2023-08-08T16:15:28,0,9999,0,9999
2023-08-08T16:28:06,0,9999,0,9999
2023-08-08T16:40:53,0,9999,0,9999
2023-08-08T16:53:30,0,9999,0,9999
2023-08-08T17:06:07,0,9999,0,9999
2023-08-08T17:18:44,0,9999,0,9999
2023-08-08T17:31:21,0,9999,0,9999
2023-08-08T17:43:58,0,9999,0,9999
2023-08-08T17:56:55,0,9999,0,9999
2023-08-08T18:09:31,0,9999,0,9999
2023-08-08T18:22:08,0,9999,0,9999
2023-08-08T18:34:46,0,9999,0,9999
2023-08-08T18:47:22,0,9999,0,9999
2023-08-08T18:59:59,0,9999,0,9999
2023-08-08T19:12:38,0,9999,0,9999
2023-08-08T19:25:15,0,9999,0,9999
2023-08-08T19:38:03,0,9999,0,9999
2023-08-08T19:50:40,0,9999,0,9999
2023-08-08T20:03:20,0,9999,0,9999
2023-08-08T20:15:56,0,9999,0,9999
2023-08-08T20:28:33,0,9999,0,9999
2023-08-08T20:41:10,0,9999,0,9999
2023-08-08T20:53:47,0,9999,0,9999
2023-08-08T21:06:23,0,9999,0,9999
2023-08-08T21:19:11,0,9999,0,9999
2023-08-08T21:31:48,0,9999,0,9999
2023-08-08T21:44:25,0,9999,0,9999
2023-08-08T21:57:03,0,9999,0,9999
2023-08-08T22:09:39,0,9999,0,9999
2023-08-08T22:22:16,0,9999,0,9999
2023-08-08T22:34:52,0,9999,0,9999
2023-08-08T22:47:29,0,9999,0,9999
2023-08-08T23:00:16,0,9999,0,9999
2023-08-08T23:12:56,0,9999,0,9999
2023-08-08T23:25:34,0,9999,0,9999
2023-08-08T23:38:12,0,9999,0,9999
2023-08-08T23:50:49,0,9999,0,9999
2023-08-09T00:03:28,0,9999,0,9999
2023-08-09T00:16:11,0,9999,0,9999
2023-08-09T00:28:47,0,9999,0,9999
2023-08-09T00:41:25,0,9999,0,9999
2023-08-09T00:54:02,0,9999,0,9999
2023-08-09T01:06:55,0,9999,0,9999
2023-08-09T01:19:32,0,9999,0,9999
2023-08-09T01:32:09,0,9999,0,9999
2023-08-09T01:44:45,0,9999,0,9999
2023-08-09T01:57:23,0,9999,0,9999
2023-08-09T02:10:02,0,9999,0,9999
2023-08-09T02:22:40,0,9999,0,9999
2023-08-09T02:35:19,0,9999,0,9999
2023-08-09T02:47:56,0,9999,0,9999
2023-08-09T03:00:34,0,9999,0,9999
2023-08-09T03:13:14,0,9999,0,9999
2023-08-09T03:25:54,0,9999,0,9999
