time,enrolled,available,waitlisted,total
2023-05-25T01:13:52,0,30,0,30
2023-05-25T01:25:28,0,30,0,30
2023-05-25T01:37:04,0,30,0,30
2023-05-25T01:48:48,0,30,0,30
2023-05-25T02:00:24,0,30,0,30
2023-05-25T02:11:59,0,30,0,30
2023-05-25T02:23:36,0,30,0,30
2023-05-25T02:35:10,0,30,0,30
2023-05-25T02:46:43,0,30,0,30
2023-05-25T02:58:16,0,30,0,30
2023-05-25T03:09:52,0,30,0,30
2023-05-25T03:21:31,0,30,0,30
2023-05-25T03:33:28,0,30,0,30
2023-05-25T03:45:04,0,30,0,30
2023-05-25T03:56:40,0,30,0,30
2023-05-25T04:16:02,0,30,0,30
2023-05-25T04:28:03,0,30,0,30
2023-05-25T04:39:40,0,30,0,30
2023-05-25T04:51:16,0,30,0,30
2023-05-25T05:02:52,0,30,0,30
2023-05-25T05:14:29,0,30,0,30
2023-05-25T05:26:05,0,30,0,30
2023-05-25T05:37:42,0,30,0,30
2023-05-25T05:49:18,0,30,0,30
2023-05-25T06:00:55,0,30,0,30
2023-05-25T06:12:30,0,30,0,30
2023-05-25T06:24:05,0,30,0,30
2023-05-25T06:35:40,0,30,0,30
2023-05-25T06:47:15,0,30,0,30
2023-05-25T06:58:50,0,30,0,30
2023-05-25T07:10:26,0,30,0,30
2023-05-25T07:22:01,0,30,0,30
2023-05-25T07:33:34,0,30,0,30
2023-05-25T07:45:11,0,30,0,30
2023-05-25T07:56:47,0,30,0,30
2023-05-25T08:08:21,0,30,0,30
2023-05-25T08:19:56,0,30,0,30
2023-05-25T08:31:40,0,30,0,30
2023-05-25T08:43:13,0,30,0,30
2023-05-25T08:54:45,0,30,0,30
2023-05-25T09:06:19,0,30,0,30
2023-05-25T09:17:51,0,30,0,30
2023-05-25T09:29:24,0,30,0,30
2023-05-25T09:40:57,0,30,0,30
2023-05-25T09:52:30,0,30,0,30
2023-05-25T10:04:03,0,30,0,30
2023-05-25T10:15:47,0,30,0,30
2023-05-25T10:27:20,0,30,0,30
2023-05-25T10:38:53,0,30,0,30
2023-05-25T10:50:26,0,30,0,30
2023-05-25T11:02:08,0,30,0,30
2023-05-25T11:13:41,0,30,0,30
2023-05-25T11:25:14,0,30,0,30
2023-05-25T11:36:46,0,30,0,30
2023-05-25T11:48:19,0,30,0,30
2023-05-25T12:00:03,0,30,0,30
2023-05-25T12:11:36,0,30,0,30
2023-05-25T12:23:09,0,30,0,30
2023-05-25T12:34:42,0,30,0,30
2023-05-25T12:46:15,0,30,0,30
2023-05-25T12:57:48,0,30,0,30
2023-05-25T13:09:31,0,30,0,30
2023-05-25T13:21:03,0,30,0,30
2023-05-25T13:32:37,0,30,0,30
2023-05-25T13:44:10,0,30,0,30
2023-05-25T13:55:43,0,30,0,30
2023-05-25T14:07:28,0,30,0,30
2023-05-25T14:19:01,0,30,0,30
2023-05-25T14:30:34,0,30,0,30
2023-05-25T14:42:07,0,30,0,30
2023-05-25T14:53:41,0,30,0,30
2023-05-25T15:05:25,0,30,0,30
2023-05-25T15:16:59,0,30,0,30
2023-05-25T15:28:33,0,30,0,30
2023-05-25T15:40:08,0,30,0,30
2023-05-25T15:51:42,0,30,0,30
2023-05-25T16:03:17,0,30,0,30
2023-05-25T16:15:03,0,30,0,30
2023-05-25T16:26:38,0,30,0,30
2023-05-25T16:38:12,0,30,0,30
2023-05-25T16:49:48,0,30,0,30
2023-05-25T17:01:24,0,30,0,30
2023-05-25T17:13:01,0,30,0,30
2023-05-25T17:24:47,0,30,0,30
2023-05-25T17:36:23,0,30,0,30
2023-05-25T17:47:59,0,30,0,30
2023-05-25T17:59:35,0,30,0,30
2023-05-25T18:11:11,0,30,0,30
2023-05-25T18:22:47,0,30,0,30
2023-05-25T18:34:22,0,30,0,30
2023-05-25T18:46:07,0,30,0,30
2023-05-25T18:57:43,0,30,0,30
2023-05-25T19:09:20,0,30,0,30
2023-05-25T19:20:56,0,30,0,30
2023-05-25T19:32:31,0,30,0,30
