time,enrolled,available,waitlisted,total
2023-05-25T01:24:38,0,75,0,75
2023-05-25T01:36:14,0,75,0,75
2023-05-25T01:47:58,0,75,0,75
2023-05-25T01:59:34,0,75,0,75
2023-05-25T02:11:09,0,75,0,75
2023-05-25T02:22:46,0,75,0,75
2023-05-25T02:34:20,0,75,0,75
2023-05-25T02:45:54,0,75,0,75
2023-05-25T02:57:26,0,75,0,75
2023-05-25T03:09:01,0,75,0,75
2023-05-25T03:20:40,0,75,0,75
2023-05-25T03:32:38,0,75,0,75
2023-05-25T03:44:14,0,75,0,75
2023-05-25T03:55:50,0,75,0,75
2023-05-25T04:27:13,0,75,0,75
2023-05-25T04:38:50,0,75,0,75
2023-05-25T04:50:26,0,75,0,75
2023-05-25T05:02:02,0,75,0,75
2023-05-25T05:13:39,0,75,0,75
2023-05-25T05:25:15,0,75,0,75
2023-05-25T05:36:52,0,75,0,75
2023-05-25T05:48:28,0,75,0,75
2023-05-25T06:00:04,0,75,0,75
2023-05-25T06:11:40,0,75,0,75
2023-05-25T06:23:15,0,75,0,75
2023-05-25T06:34:50,0,75,0,75
2023-05-25T06:46:25,0,75,0,75
2023-05-25T06:58:00,0,75,0,75
2023-05-25T07:09:36,0,75,0,75
2023-05-25T07:21:11,0,75,0,75
2023-05-25T07:32:44,0,75,0,75
2023-05-25T07:44:21,0,75,0,75
2023-05-25T07:55:57,0,75,0,75
2023-05-25T08:07:32,0,75,0,75
2023-05-25T08:19:06,0,75,0,75
2023-05-25T08:30:50,0,75,0,75
2023-05-25T08:42:23,0,75,0,75
2023-05-25T08:53:55,0,75,0,75
2023-05-25T09:05:29,0,75,0,75
2023-05-25T09:17:02,0,75,0,75
2023-05-25T09:28:34,0,75,0,75
2023-05-25T09:40:07,0,75,0,75
2023-05-25T09:51:40,0,75,0,75
2023-05-25T10:03:13,0,75,0,75
2023-05-25T10:14:58,0,75,0,75
2023-05-25T10:26:31,0,75,0,75
2023-05-25T10:38:03,0,75,0,75
2023-05-25T10:49:36,0,75,0,75
2023-05-25T11:01:19,0,75,0,75
2023-05-25T11:12:51,0,75,0,75
2023-05-25T11:24:24,0,75,0,75
2023-05-25T11:35:57,0,75,0,75
2023-05-25T11:47:30,0,75,0,75
2023-05-25T11:59:14,0,75,0,75
