time,enrolled,available,waitlisted,total
2023-05-25T01:23:13,0,60,0,60
2023-05-25T01:34:49,0,60,0,60
2023-05-25T01:46:34,0,60,0,60
2023-05-25T01:58:09,0,60,0,60
2023-05-25T02:09:45,0,60,0,60
2023-05-25T02:21:22,0,60,0,60
2023-05-25T02:32:56,0,60,0,60
2023-05-25T02:44:29,0,60,0,60
2023-05-25T02:56:02,0,60,0,60
2023-05-25T03:07:36,0,60,0,60
2023-05-25T03:19:15,0,60,0,60
2023-05-25T03:31:13,0,60,0,60
2023-05-25T03:42:50,0,60,0,60
2023-05-25T03:54:26,0,60,0,60
2023-05-25T04:06:01,0,60,0,60
2023-05-25T04:25:49,0,60,0,60
2023-05-25T04:37:26,0,60,0,60
2023-05-25T04:49:01,0,60,0,60
2023-05-25T05:00:37,0,60,0,60
2023-05-25T05:12:14,0,60,0,60
2023-05-25T05:23:50,0,60,0,60
2023-05-25T05:35:27,0,60,0,60
2023-05-25T05:47:03,0,60,0,60
2023-05-25T05:58:40,0,60,0,60
2023-05-25T06:10:16,0,60,0,60
2023-05-25T06:21:51,0,60,0,60
2023-05-25T06:33:25,0,60,0,60
2023-05-25T06:45:00,0,60,0,60
2023-05-25T06:56:36,0,60,0,60
2023-05-25T07:08:12,0,60,0,60
2023-05-25T07:19:46,0,60,0,60
2023-05-25T07:31:20,0,60,0,60
2023-05-25T07:42:56,0,60,0,60
2023-05-25T07:54:32,0,60,0,60
2023-05-25T08:06:07,0,60,0,60
2023-05-25T08:17:42,0,60,0,60
2023-05-25T08:29:26,0,60,0,60
2023-05-25T08:40:59,0,60,0,60
2023-05-25T08:52:31,0,60,0,60
2023-05-25T09:04:05,0,60,0,60
2023-05-25T09:15:37,0,60,0,60
2023-05-25T09:27:10,0,60,0,60
2023-05-25T09:38:43,0,60,0,60
2023-05-25T09:50:15,0,60,0,60
2023-05-25T10:01:49,0,60,0,60
2023-05-25T10:13:33,0,60,0,60
2023-05-25T10:25:06,0,60,0,60
2023-05-25T10:36:39,0,60,0,60
2023-05-25T10:48:12,0,60,0,60
2023-05-25T10:59:54,0,60,0,60
2023-05-25T11:11:27,0,60,0,60
2023-05-25T11:23:00,0,60,0,60
2023-05-25T11:34:32,0,60,0,60
2023-05-25T11:46:05,0,60,0,60
2023-05-25T11:57:50,0,60,0,60
2023-05-25T12:09:22,0,60,0,60
2023-05-25T12:20:55,0,60,0,60
2023-05-25T12:32:28,0,60,0,60
2023-05-25T12:44:01,0,60,0,60
2023-05-25T12:55:34,0,60,0,60
2023-05-25T13:07:17,0,60,0,60
2023-05-25T13:18:49,0,60,0,60
2023-05-25T13:30:23,0,60,0,60
2023-05-25T13:41:56,0,60,0,60
2023-05-25T13:53:29,0,60,0,60
2023-05-25T14:05:13,0,60,0,60
2023-05-25T14:16:47,0,60,0,60
2023-05-25T14:28:20,0,60,0,60
2023-05-25T14:39:53,0,60,0,60
2023-05-25T14:51:26,0,60,0,60
2023-05-25T15:03:11,0,60,0,60
2023-05-25T15:14:45,0,60,0,60
2023-05-25T15:26:19,0,60,0,60
2023-05-25T15:37:54,0,60,0,60
2023-05-25T15:49:28,0,60,0,60
2023-05-25T16:01:03,0,60,0,60
2023-05-25T16:12:49,0,60,0,60
2023-05-25T16:24:24,0,60,0,60
2023-05-25T16:35:59,0,60,0,60
2023-05-25T16:47:34,0,60,0,60
2023-05-25T16:59:10,0,60,0,60
2023-05-25T17:10:46,0,60,0,60
2023-05-25T17:22:34,0,60,0,60
2023-05-25T17:34:09,0,60,0,60
2023-05-25T17:45:45,0,60,0,60
2023-05-25T17:57:20,0,60,0,60
2023-05-25T18:08:57,0,60,0,60
2023-05-25T18:20:33,0,60,0,60
2023-05-25T18:32:08,0,60,0,60
