time,enrolled,available,waitlisted,total
2023-05-25T01:14:31,0,54,0,54
2023-05-25T01:26:08,0,54,0,54
2023-05-25T01:37:43,0,54,0,54
2023-05-25T01:49:28,0,54,0,54
2023-05-25T02:01:03,0,54,0,54
2023-05-25T02:12:39,0,54,0,54
2023-05-25T02:24:16,0,54,0,54
2023-05-25T02:35:49,0,54,0,54
2023-05-25T02:47:23,0,54,0,54
2023-05-25T02:58:55,0,54,0,54
2023-05-25T03:10:31,0,54,0,54
2023-05-25T03:22:10,0,54,0,54
2023-05-25T03:34:08,0,54,0,54
2023-05-25T03:45:44,0,54,0,54
2023-05-25T03:57:20,0,54,0,54
2023-05-25T04:16:42,0,54,0,54
2023-05-25T04:28:43,0,54,0,54
2023-05-25T04:40:20,0,54,0,54
2023-05-25T04:51:55,0,54,0,54
2023-05-25T05:03:32,0,54,0,54
2023-05-25T05:15:09,0,54,0,54
2023-05-25T05:26:45,0,54,0,54
2023-05-25T05:38:21,0,54,0,54
2023-05-25T05:49:57,0,54,0,54
2023-05-25T06:01:34,0,54,0,54
2023-05-25T06:13:10,0,54,0,54
2023-05-25T06:24:44,0,54,0,54
2023-05-25T06:36:19,0,54,0,54
2023-05-25T06:47:55,0,54,0,54
2023-05-25T06:59:30,0,54,0,54
2023-05-25T07:11:05,0,54,0,54
2023-05-25T07:22:40,0,54,0,54
2023-05-25T07:34:14,0,54,0,54
2023-05-25T07:45:50,0,54,0,54
2023-05-25T07:57:26,0,54,0,54
2023-05-25T08:09:01,0,54,0,54
2023-05-25T08:20:45,0,54,0,54
2023-05-25T08:32:19,0,54,0,54
2023-05-25T08:43:52,0,54,0,54
2023-05-25T08:55:24,0,54,0,54
2023-05-25T09:06:58,0,54,0,54
2023-05-25T09:18:31,0,54,0,54
2023-05-25T09:30:03,0,54,0,54
2023-05-25T09:41:36,0,54,0,54
2023-05-25T09:53:09,0,54,0,54
2023-05-25T10:04:42,0,54,0,54
2023-05-25T10:16:27,0,54,0,54
2023-05-25T10:28:00,0,54,0,54
2023-05-25T10:39:32,0,54,0,54
2023-05-25T10:51:05,0,54,0,54
2023-05-25T11:02:47,0,54,0,54
2023-05-25T11:14:20,0,54,0,54
2023-05-25T11:25:53,0,54,0,54
2023-05-25T11:37:26,0,54,0,54
2023-05-25T11:48:59,0,54,0,54
2023-05-25T12:00:43,0,54,0,54
2023-05-25T12:12:15,0,54,0,54
2023-05-25T12:23:48,0,54,0,54
2023-05-25T12:35:21,0,54,0,54
2023-05-25T12:46:54,0,54,0,54
2023-05-25T12:58:37,0,54,0,54
2023-05-25T13:10:10,0,54,0,54
2023-05-25T13:21:43,0,54,0,54
2023-05-25T13:33:16,0,54,0,54
2023-05-25T13:44:49,0,54,0,54
2023-05-25T13:56:23,0,54,0,54
2023-05-25T14:08:07,0,54,0,54
2023-05-25T14:19:40,0,54,0,54
2023-05-25T14:31:13,0,54,0,54
2023-05-25T14:42:46,0,54,0,54
2023-05-25T14:54:20,0,54,0,54
2023-05-25T15:06:04,0,54,0,54
2023-05-25T15:17:38,0,54,0,54
2023-05-25T15:29:13,0,54,0,54
2023-05-25T15:40:47,0,54,0,54
2023-05-25T15:52:21,0,54,0,54
2023-05-25T16:03:56,0,54,0,54
2023-05-25T16:15:42,0,54,0,54
2023-05-25T16:27:17,0,54,0,54
2023-05-25T16:38:52,0,54,0,54
2023-05-25T16:50:27,0,54,0,54
2023-05-25T17:02:03,0,54,0,54
2023-05-25T17:13:40,0,54,0,54
2023-05-25T17:25:27,0,54,0,54
2023-05-25T17:37:02,0,54,0,54
2023-05-25T17:48:38,0,54,0,54
2023-05-25T18:00:14,0,54,0,54
2023-05-25T18:11:51,0,54,0,54
2023-05-25T18:23:26,0,54,0,54
2023-05-25T18:35:01,0,54,0,54
2023-05-25T18:46:47,0,54,0,54
2023-05-25T18:58:23,0,54,0,54
2023-05-25T19:09:59,0,54,0,54
2023-05-25T19:21:35,0,54,0,54
2023-05-25T19:33:10,0,54,0,54
2023-05-25T19:44:47,0,54,0,54
2023-05-25T19:56:32,0,54,0,54
2023-05-25T20:08:08,0,54,0,54
2023-05-25T20:19:44,0,54,0,54
2023-05-25T20:31:20,0,54,0,54
2023-05-25T20:42:55,0,54,0,54
2023-05-25T20:54:31,0,54,0,54
2023-05-25T21:06:06,0,54,0,54
2023-05-25T21:17:43,0,54,0,54
2023-05-25T21:29:29,0,54,0,54
2023-05-25T21:41:06,0,54,0,54
2023-05-25T21:52:41,0,54,0,54
2023-05-25T22:04:16,0,54,0,54
2023-05-25T22:15:52,0,54,0,54
2023-05-25T22:27:27,0,54,0,54
2023-05-25T22:39:03,0,54,0,54
2023-05-25T22:50:49,0,54,0,54
2023-05-25T23:02:26,0,54,0,54
2023-05-25T23:14:03,0,54,0,54
2023-05-25T23:25:38,0,54,0,54
2023-05-25T23:37:14,0,54,0,54
2023-05-25T23:48:50,0,54,0,54
2023-05-26T00:00:28,0,54,0,54
2023-05-26T00:12:24,0,54,0,54
2023-05-26T00:24:04,0,54,0,54
2023-05-26T00:35:43,0,54,0,54
2023-05-26T00:47:22,0,54,0,54
2023-05-26T00:59:01,0,54,0,54
2023-05-26T01:10:40,0,54,0,54
2023-05-26T01:22:18,0,54,0,54
2023-05-26T01:33:57,0,54,0,54
2023-05-26T01:45:44,0,54,0,54
2023-05-26T01:57:24,0,54,0,54
2023-05-26T02:09:05,0,54,0,54
2023-05-26T02:20:42,0,54,0,54
2023-05-26T02:32:19,0,54,0,54
2023-05-26T02:44:08,0,54,0,54
2023-05-26T02:55:49,0,54,0,54
2023-05-26T03:07:29,0,54,0,54
2023-05-26T03:19:10,0,54,0,54
2023-05-26T03:30:48,0,54,0,54
2023-05-26T03:42:27,0,54,0,54
2023-05-26T03:54:05,0,54,0,54
2023-05-26T04:05:53,0,54,0,54
2023-05-26T04:27:52,0,54,0,54
2023-05-26T04:39:56,0,54,0,54
2023-05-26T04:51:38,0,54,0,54
2023-05-26T05:03:18,0,54,0,54
2023-05-26T05:14:59,0,54,0,54
2023-05-26T05:26:38,0,54,0,54
2023-05-26T05:38:17,0,54,0,54
2023-05-26T05:49:56,0,54,0,54
2023-05-26T06:01:34,0,54,0,54
2023-05-26T06:13:13,0,54,0,54
2023-05-26T06:24:53,0,54,0,54
2023-05-26T06:36:31,0,54,0,54
2023-05-26T06:48:10,0,54,0,54
2023-05-26T06:59:47,0,54,0,54
2023-05-26T07:11:26,0,54,0,54
2023-05-26T07:23:05,0,54,0,54
2023-05-26T07:34:51,0,54,0,54
2023-05-26T07:46:28,0,54,0,54
2023-05-26T07:58:05,0,54,0,54
2023-05-26T08:09:41,0,54,0,54
2023-05-26T08:21:17,0,54,0,54
2023-05-26T08:32:53,0,54,0,54
2023-05-26T08:44:29,0,54,0,54
2023-05-26T08:56:05,0,54,0,54
2023-05-26T09:07:41,0,54,0,54
2023-05-26T09:19:18,0,54,0,54
2023-05-26T09:31:05,1,53,0,54
2023-05-26T09:42:41,2,52,0,54
2023-05-26T09:54:17,2,52,0,54
2023-05-26T10:05:53,2,52,0,54
2023-05-26T10:17:30,2,52,0,54
2023-05-26T10:29:06,2,52,0,54
2023-05-26T10:40:54,2,52,0,54
