time,enrolled,available,waitlisted,total
2023-05-25T01:13:43,0,75,0,75
2023-05-25T01:25:19,0,75,0,75
2023-05-25T01:36:55,0,75,0,75
2023-05-25T01:48:39,0,75,0,75
2023-05-25T02:00:15,0,75,0,75
2023-05-25T02:11:50,0,75,0,75
2023-05-25T02:23:27,0,75,0,75
2023-05-25T02:35:01,0,75,0,75
2023-05-25T02:46:34,0,75,0,75
2023-05-25T02:58:07,0,75,0,75
2023-05-25T03:09:43,0,75,0,75
2023-05-25T03:21:22,0,75,0,75
2023-05-25T03:33:19,0,75,0,75
2023-05-25T03:44:55,0,75,0,75
2023-05-25T03:56:31,0,75,0,75
2023-05-25T04:15:53,0,75,0,75
2023-05-25T04:27:55,0,75,0,75
2023-05-25T04:39:31,0,75,0,75
2023-05-25T04:51:07,0,75,0,75
2023-05-25T05:02:43,0,75,0,75
2023-05-25T05:14:20,0,75,0,75
2023-05-25T05:25:56,0,75,0,75
2023-05-25T05:37:33,0,75,0,75
2023-05-25T05:49:09,0,75,0,75
2023-05-25T06:00:46,0,75,0,75
2023-05-25T06:12:21,0,75,0,75
2023-05-25T06:23:56,0,75,0,75
2023-05-25T06:35:31,0,75,0,75
2023-05-25T06:47:06,0,75,0,75
2023-05-25T06:58:41,0,75,0,75
2023-05-25T07:10:17,0,75,0,75
2023-05-25T07:21:52,0,75,0,75
2023-05-25T07:33:25,0,75,0,75
2023-05-25T07:45:02,0,75,0,75
2023-05-25T07:56:38,0,75,0,75
2023-05-25T08:08:12,0,75,0,75
2023-05-25T08:19:47,0,75,0,75
2023-05-25T08:31:31,0,75,0,75
2023-05-25T08:43:04,0,75,0,75
2023-05-25T08:54:36,0,75,0,75
2023-05-25T09:06:10,0,75,0,75
2023-05-25T09:17:43,0,75,0,75
2023-05-25T09:29:15,0,75,0,75
2023-05-25T09:40:48,0,75,0,75
2023-05-25T09:52:21,0,75,0,75
2023-05-25T10:03:54,0,75,0,75
2023-05-25T10:15:38,0,75,0,75
2023-05-25T10:27:11,0,75,0,75
2023-05-25T10:38:44,0,75,0,75
2023-05-25T10:50:17,0,75,0,75
2023-05-25T11:01:59,0,75,0,75
2023-05-25T11:13:32,0,75,0,75
2023-05-25T11:25:05,0,75,0,75
2023-05-25T11:36:37,0,75,0,75
2023-05-25T11:48:10,0,75,0,75
2023-05-25T11:59:55,0,75,0,75
2023-05-25T12:11:27,0,75,0,75
2023-05-25T12:23:00,0,75,0,75
2023-05-25T12:34:33,0,75,0,75
2023-05-25T12:46:06,0,75,0,75
2023-05-25T12:57:39,0,75,0,75
2023-05-25T13:09:22,0,75,0,75
2023-05-25T13:20:55,0,75,0,75
2023-05-25T13:32:28,0,75,0,75
2023-05-25T13:44:01,0,75,0,75
2023-05-25T13:55:35,0,75,0,75
2023-05-25T14:07:19,0,75,0,75
2023-05-25T14:18:52,0,75,0,75
