time,enrolled,available,waitlisted,total
2023-07-17T14:18:25,0,20,0,20
2023-07-17T14:30:52,0,20,0,20
2023-07-17T14:43:18,0,20,0,20
2023-07-17T14:55:56,0,20,0,20
2023-07-17T15:08:22,0,20,0,20
2023-07-17T15:20:48,0,20,0,20
2023-07-17T15:33:14,0,20,0,20
2023-07-17T15:45:40,0,20,0,20
2023-07-17T15:58:07,0,20,0,20
2023-07-17T16:10:33,0,20,0,20
2023-07-17T16:22:59,0,20,0,20
2023-07-17T16:35:25,0,20,0,20
2023-07-17T16:47:54,0,20,0,20
2023-07-17T17:00:20,0,20,0,20
2023-07-17T17:12:58,0,20,0,20
2023-07-17T17:25:25,0,20,0,20
2023-07-17T17:37:52,0,20,0,20
2023-07-17T17:50:18,0,20,0,20
2023-07-17T18:02:45,0,20,0,20
2023-07-17T18:15:11,0,20,0,20
2023-07-17T18:27:38,0,20,0,20
2023-07-17T18:40:04,0,20,0,20
2023-07-17T18:52:31,0,20,0,20
2023-07-17T19:04:58,0,20,0,20
2023-07-17T19:17:24,0,20,0,20
2023-07-17T19:29:50,0,20,0,20
2023-07-17T19:42:17,0,20,0,20
2023-07-17T19:54:44,0,20,0,20
2023-07-17T20:07:10,0,20,0,20
2023-07-17T20:19:47,0,20,0,20
2023-07-17T20:32:13,0,20,0,20
2023-07-17T20:44:40,0,20,0,20
2023-07-17T20:57:06,0,20,0,20
2023-07-17T21:09:33,0,20,0,20
2023-07-17T21:22:00,0,20,0,20
2023-07-17T21:34:26,0,20,0,20
2023-07-17T21:46:53,0,20,0,20
2023-07-17T21:59:19,0,20,0,20
2023-07-17T22:11:45,0,20,0,20
2023-07-17T22:24:12,0,20,0,20
2023-07-17T22:36:38,0,20,0,20
2023-07-17T22:49:04,0,20,0,20
2023-07-17T23:01:30,0,20,0,20
2023-07-17T23:13:58,0,20,0,20
2023-07-17T23:26:35,0,20,0,20
2023-07-17T23:39:03,0,20,0,20
2023-07-17T23:51:30,0,20,0,20
2023-07-18T00:03:57,0,20,0,20
2023-07-18T00:16:27,0,20,0,20
2023-07-18T00:28:59,0,20,0,20
2023-07-18T00:41:30,0,20,0,20
2023-07-18T00:54:01,0,20,0,20
2023-07-18T01:06:32,0,20,0,20
2023-07-18T01:19:02,0,20,0,20
2023-07-18T01:31:32,0,20,0,20
2023-07-18T01:44:04,0,20,0,20
2023-07-18T01:56:34,0,20,0,20
2023-07-18T02:09:05,0,20,0,20
2023-07-18T02:21:34,0,20,0,20
2023-07-18T02:34:03,0,20,0,20
2023-07-18T02:46:30,0,20,0,20
2023-07-18T02:58:56,0,20,0,20
2023-07-18T03:11:24,0,20,0,20
2023-07-18T03:23:53,0,20,0,20
2023-07-18T03:36:22,0,20,0,20
2023-07-18T03:48:51,0,20,0,20
2023-07-18T04:01:20,0,20,0,20
2023-07-18T04:13:51,0,20,0,20
2023-07-18T04:43:02,0,20,0,20
2023-07-18T04:57:03,0,20,0,20
2023-07-18T05:09:36,0,20,0,20
2023-07-18T05:22:07,0,20,0,20
2023-07-18T05:34:37,0,20,0,20
2023-07-18T05:47:07,0,20,0,20
2023-07-18T05:59:35,0,20,0,20
2023-07-18T06:12:06,0,20,0,20
