time,enrolled,available,waitlisted,total
2023-05-25T01:14:28,0,360,0,360
2023-05-25T01:26:04,0,360,0,360
2023-05-25T01:37:39,0,360,0,360
2023-05-25T01:49:24,0,360,0,360
2023-05-25T02:00:59,0,360,0,360
2023-05-25T02:12:35,0,360,0,360
2023-05-25T02:24:12,0,360,0,360
2023-05-25T02:35:45,0,360,0,360
2023-05-25T02:47:19,0,360,0,360
2023-05-25T02:58:51,0,360,0,360
2023-05-25T03:10:27,0,360,0,360
2023-05-25T03:22:06,0,360,0,360
2023-05-25T03:34:04,0,360,0,360
2023-05-25T03:45:40,0,360,0,360
2023-05-25T03:57:16,0,360,0,360
2023-05-25T04:16:38,0,360,0,360
2023-05-25T04:28:39,0,360,0,360
2023-05-25T04:40:16,0,360,0,360
2023-05-25T04:51:52,0,360,0,360
2023-05-25T05:03:28,0,360,0,360
2023-05-25T05:15:05,0,360,0,360
2023-05-25T05:26:41,0,360,0,360
2023-05-25T05:38:17,0,360,0,360
2023-05-25T05:49:53,0,360,0,360
2023-05-25T06:01:30,0,360,0,360
2023-05-25T06:13:06,0,360,0,360
2023-05-25T06:24:41,0,360,0,360
2023-05-25T06:36:15,0,360,0,360
2023-05-25T06:47:51,0,360,0,360
2023-05-25T06:59:26,0,360,0,360
2023-05-25T07:11:02,0,360,0,360
2023-05-25T07:22:36,0,360,0,360
2023-05-25T07:34:10,0,360,0,360
2023-05-25T07:45:47,0,360,0,360
2023-05-25T07:57:22,0,360,0,360
2023-05-25T08:08:57,0,360,0,360
2023-05-25T08:20:41,0,360,0,360
2023-05-25T08:32:16,0,360,0,360
2023-05-25T08:43:48,0,360,0,360
2023-05-25T08:55:20,0,360,0,360
2023-05-25T09:06:54,0,360,0,360
2023-05-25T09:18:27,0,360,0,360
2023-05-25T09:30:00,0,360,0,360
2023-05-25T09:41:32,0,360,0,360
2023-05-25T09:53:05,0,360,0,360
2023-05-25T10:04:38,0,360,0,360
2023-05-25T10:16:23,0,360,0,360
2023-05-25T10:27:56,0,360,0,360
2023-05-25T10:39:28,0,360,0,360
2023-05-25T10:51:01,0,360,0,360
2023-05-25T11:02:44,0,360,0,360
2023-05-25T11:14:16,0,360,0,360
2023-05-25T11:25:49,0,360,0,360
2023-05-25T11:37:22,0,360,0,360
2023-05-25T11:48:55,0,360,0,360
2023-05-25T12:00:39,0,360,0,360
2023-05-25T12:12:12,0,360,0,360
2023-05-25T12:23:44,0,360,0,360
2023-05-25T12:35:17,0,360,0,360
2023-05-25T12:46:50,0,360,0,360
2023-05-25T12:58:34,0,360,0,360
2023-05-25T13:10:06,0,360,0,360
2023-05-25T13:21:39,0,360,0,360
2023-05-25T13:33:12,0,360,0,360
2023-05-25T13:44:45,0,360,0,360
2023-05-25T13:56:19,0,360,0,360
2023-05-25T14:08:03,0,360,0,360
2023-05-25T14:19:37,0,360,0,360
2023-05-25T14:31:10,0,360,0,360
2023-05-25T14:42:42,0,360,0,360
2023-05-25T14:54:16,0,360,0,360
2023-05-25T15:06:00,0,360,0,360
2023-05-25T15:17:34,0,360,0,360
2023-05-25T15:29:09,0,360,0,360
2023-05-25T15:40:43,0,360,0,360
2023-05-25T15:52:18,0,360,0,360
2023-05-25T16:03:52,0,360,0,360
2023-05-25T16:15:38,0,360,0,360
2023-05-25T16:27:13,0,360,0,360
2023-05-25T16:38:48,0,360,0,360
2023-05-25T16:50:23,0,360,0,360
2023-05-25T17:01:59,0,360,0,360
2023-05-25T17:13:36,0,360,0,360
2023-05-25T17:25:23,0,360,0,360
2023-05-25T17:36:58,0,360,0,360
2023-05-25T17:48:34,0,360,0,360
2023-05-25T18:00:10,0,360,0,360
2023-05-25T18:11:47,0,360,0,360
2023-05-25T18:23:22,0,360,0,360
2023-05-25T18:34:57,0,360,0,360
2023-05-25T18:46:43,0,360,0,360
2023-05-25T18:58:19,0,360,0,360
2023-05-25T19:09:55,0,360,0,360
2023-05-25T19:21:31,0,360,0,360
2023-05-25T19:33:06,0,360,0,360
2023-05-25T19:44:43,0,360,0,360
2023-05-25T19:56:28,0,360,0,360
2023-05-25T20:08:04,0,360,0,360
2023-05-25T20:19:40,0,360,0,360
2023-05-25T20:31:16,0,360,0,360
2023-05-25T20:42:52,0,360,0,360
2023-05-25T20:54:27,0,360,0,360
2023-05-25T21:06:02,0,360,0,360
2023-05-25T21:17:39,0,360,0,360
2023-05-25T21:29:25,0,360,0,360
2023-05-25T21:41:02,0,360,0,360
2023-05-25T21:52:37,0,360,0,360
2023-05-25T22:04:13,0,360,0,360
2023-05-25T22:15:48,0,360,0,360
2023-05-25T22:27:23,0,360,0,360
2023-05-25T22:38:59,0,360,0,360
2023-05-25T22:50:45,0,360,0,360
2023-05-25T23:02:22,0,360,0,360
2023-05-25T23:13:59,0,360,0,360
2023-05-25T23:25:35,0,360,0,360
2023-05-25T23:37:11,0,360,0,360
2023-05-25T23:48:46,0,360,0,360
2023-05-26T00:00:24,0,360,0,360
2023-05-26T00:12:20,0,360,0,360
