time,enrolled,available,waitlisted,total
2023-07-25T14:05:15,0,0,0,0
2023-07-25T14:17:43,0,0,0,0
2023-07-25T14:30:11,0,0,0,0
2023-07-25T14:42:40,0,0,0,0
2023-07-25T14:55:09,0,0,0,0
2023-07-25T15:07:37,0,0,0,0
2023-07-25T15:20:17,0,0,0,0
2023-07-25T15:32:46,0,0,0,0
2023-07-25T15:45:15,0,0,0,0
2023-07-25T15:57:44,0,0,0,0
2023-07-25T16:10:12,0,0,0,0
2023-07-25T16:22:41,0,0,0,0
2023-07-25T16:35:10,0,0,0,0
2023-07-25T16:47:39,0,0,0,0
2023-07-25T17:00:07,0,0,0,0
2023-07-25T17:12:49,0,0,0,0
2023-07-25T17:25:19,0,0,0,0
2023-07-25T17:37:48,0,0,0,0
2023-07-25T17:50:17,0,0,0,0
2023-07-25T18:02:45,0,0,0,0
2023-07-25T18:15:14,0,0,0,0
2023-07-25T18:27:43,0,0,0,0
2023-07-25T18:40:12,0,0,0,0
2023-07-25T18:52:41,0,0,0,0
2023-07-25T19:05:10,0,0,0,0
2023-07-25T19:17:50,0,0,0,0
2023-07-25T19:30:19,0,0,0,0
2023-07-25T19:42:48,0,0,0,0
2023-07-25T19:55:17,0,0,0,0
2023-07-25T20:07:46,0,0,0,0
2023-07-25T20:20:16,0,0,0,0
2023-07-25T20:32:44,0,0,0,0
2023-07-25T20:45:13,0,0,0,0
2023-07-25T20:57:42,0,0,0,0
2023-07-25T21:10:11,0,0,0,0
2023-07-25T21:22:40,0,0,0,0
2023-07-25T21:35:08,0,0,0,0
2023-07-25T21:47:37,0,0,0,0
2023-07-25T22:00:06,0,0,0,0
2023-07-25T22:12:48,0,0,0,0
2023-07-25T22:25:17,0,0,0,0
2023-07-25T22:37:46,0,0,0,0
2023-07-25T22:50:15,0,0,0,0
2023-07-25T23:02:44,0,0,0,0
2023-07-25T23:15:14,0,0,0,0
2023-07-25T23:27:44,0,0,0,0
2023-07-25T23:40:14,0,0,0,0
2023-07-25T23:52:43,0,0,0,0
2023-07-26T00:05:14,0,0,0,0
2023-07-26T00:17:48,0,0,0,0
2023-07-26T00:30:21,0,0,0,0
2023-07-26T00:42:54,0,0,0,0
2023-07-26T00:55:27,0,0,0,0
2023-07-26T01:08:00,0,0,0,0
2023-07-26T01:20:43,0,0,0,0
2023-07-26T01:33:16,0,0,0,0
2023-07-26T01:45:52,0,0,0,0
2023-07-26T01:58:27,0,0,0,0
2023-07-26T02:11:01,0,0,0,0
2023-07-26T02:23:35,0,0,0,0
2023-07-26T02:36:09,0,0,0,0
2023-07-26T02:48:40,0,0,0,0
2023-07-26T03:01:12,0,0,0,0
2023-07-26T03:13:45,0,0,0,0
2023-07-26T03:26:17,0,0,0,0
2023-07-26T03:38:49,0,0,0,0
2023-07-26T03:51:22,0,0,0,0
2023-07-26T04:03:54,0,0,0,0
2023-07-26T04:16:27,0,0,0,0
2023-07-26T04:30:38,0,0,0,0
2023-07-26T04:43:13,0,0,0,0
2023-07-26T04:55:47,0,0,0,0
2023-07-26T05:08:22,0,0,0,0
2023-07-26T05:20:54,0,0,0,0
2023-07-26T05:33:26,0,0,0,0
2023-07-26T05:45:58,0,0,0,0
2023-07-26T05:58:32,0,0,0,0
2023-07-26T06:11:03,0,0,0,0
2023-07-26T06:23:34,0,0,0,0
2023-07-26T06:36:06,0,0,0,0
2023-07-26T06:48:37,0,0,0,0
2023-07-26T07:01:08,0,0,0,0
2023-07-26T07:13:41,0,0,0,0
2023-07-26T07:26:09,0,0,0,0
2023-07-26T07:38:38,0,0,0,0
2023-07-26T07:51:09,0,0,0,0
2023-07-26T08:03:41,0,0,0,0
2023-07-26T08:16:13,0,0,0,0
2023-07-26T08:28:45,0,0,0,0
2023-07-26T08:41:26,0,0,0,0
2023-07-26T08:53:57,0,0,0,0
2023-07-26T09:06:26,0,0,0,0
2023-07-26T09:18:55,0,0,0,0
2023-07-26T09:31:24,0,0,0,0
2023-07-26T09:43:53,0,0,0,0
2023-07-26T09:56:23,0,0,0,0
2023-07-26T10:08:52,0,0,0,0
2023-07-26T10:21:21,0,0,0,0
2023-07-26T10:33:50,0,0,0,0
2023-07-26T10:46:19,0,0,0,0
2023-07-26T10:58:58,0,0,0,0
2023-07-26T11:11:27,0,0,0,0
2023-07-26T11:23:56,0,0,0,0
2023-07-26T11:36:25,0,0,0,0
2023-07-26T11:48:54,0,0,0,0
2023-07-26T12:01:23,0,0,0,0
2023-07-26T12:13:52,0,0,0,0
2023-07-26T12:26:21,0,0,0,0
2023-07-26T12:38:50,0,0,0,0
2023-07-26T12:51:19,0,0,0,0
2023-07-26T13:04:00,0,0,0,0
2023-07-26T13:16:29,0,0,0,0
2023-07-26T13:28:58,0,0,0,0
2023-07-26T13:41:26,0,0,0,0
2023-07-26T13:53:55,0,0,0,0
2023-07-26T14:06:34,0,0,0,0
2023-07-26T14:19:03,0,0,0,0
2023-07-26T14:31:31,0,0,0,0
