time,enrolled,available,waitlisted,total
2023-05-25T01:14:59,0,10,0,10
2023-05-25T01:26:35,0,10,0,10
2023-05-25T01:38:11,0,10,0,10
2023-05-25T01:49:55,0,10,0,10
2023-05-25T02:01:31,0,10,0,10
2023-05-25T02:13:07,0,10,0,10
2023-05-25T02:24:43,0,10,0,10
2023-05-25T02:36:17,0,10,0,10
2023-05-25T02:47:50,0,10,0,10
2023-05-25T02:59:23,0,10,0,10
2023-05-25T03:10:59,0,10,0,10
2023-05-25T03:22:38,0,10,0,10
2023-05-25T03:34:36,0,10,0,10
2023-05-25T03:46:12,0,10,0,10
2023-05-25T03:57:48,0,10,0,10
2023-05-25T04:17:10,0,10,0,10
2023-05-25T04:29:11,0,10,0,10
2023-05-25T04:40:48,0,10,0,10
2023-05-25T04:52:23,0,10,0,10
2023-05-25T05:04:00,0,10,0,10
2023-05-25T05:15:36,0,10,0,10
2023-05-25T05:27:12,0,10,0,10
2023-05-25T05:38:49,0,10,0,10
2023-05-25T05:50:25,0,10,0,10
2023-05-25T06:02:02,0,10,0,10
2023-05-25T06:13:37,0,10,0,10
2023-05-25T06:25:12,0,10,0,10
2023-05-25T06:36:47,0,10,0,10
2023-05-25T06:48:22,0,10,0,10
2023-05-25T06:59:58,0,10,0,10
2023-05-25T07:11:33,0,10,0,10
2023-05-25T07:23:08,0,10,0,10
2023-05-25T07:34:41,0,10,0,10
2023-05-25T07:46:18,0,10,0,10
2023-05-25T07:57:54,0,10,0,10
2023-05-25T08:09:28,0,10,0,10
2023-05-25T08:21:13,0,10,0,10
2023-05-25T08:32:47,0,10,0,10
2023-05-25T08:44:20,0,10,0,10
2023-05-25T08:55:52,0,10,0,10
2023-05-25T09:07:26,0,10,0,10
2023-05-25T09:18:58,0,10,0,10
2023-05-25T09:30:31,0,10,0,10
2023-05-25T09:42:04,0,10,0,10
2023-05-25T09:53:36,0,10,0,10
2023-05-25T10:05:10,0,10,0,10
2023-05-25T10:16:54,0,10,0,10
2023-05-25T10:28:27,0,10,0,10
2023-05-25T10:40:00,0,10,0,10
2023-05-25T10:51:32,0,10,0,10
2023-05-25T11:03:15,0,10,0,10
2023-05-25T11:14:48,0,10,0,10
2023-05-25T11:26:21,0,10,0,10
2023-05-25T11:37:53,0,10,0,10
2023-05-25T11:49:26,0,10,0,10
2023-05-25T12:01:10,0,10,0,10
2023-05-25T12:12:43,0,10,0,10
2023-05-25T12:24:16,0,10,0,10
2023-05-25T12:35:49,0,10,0,10
2023-05-25T12:47:22,0,10,0,10
2023-05-25T12:59:05,0,10,0,10
2023-05-25T13:10:38,0,10,0,10
2023-05-25T13:22:11,0,10,0,10
2023-05-25T13:33:44,0,10,0,10
2023-05-25T13:45:17,0,10,0,10
2023-05-25T13:56:50,0,10,0,10
2023-05-25T14:08:35,0,10,0,10
2023-05-25T14:20:08,0,10,0,10
2023-05-25T14:31:41,0,10,0,10
2023-05-25T14:43:14,0,10,0,10
2023-05-25T14:54:48,0,10,0,10
2023-05-25T15:06:32,0,10,0,10
2023-05-25T15:18:06,0,10,0,10
2023-05-25T15:29:40,0,10,0,10
2023-05-25T15:41:15,0,10,0,10
