time,enrolled,available,waitlisted,total
2023-09-05T15:24:59,0,9999,0,9999
2023-09-05T15:37:52,0,9999,0,9999
2023-09-05T15:50:47,0,9999,0,9999
2023-09-05T16:03:39,0,9999,0,9999
2023-09-05T16:16:31,0,9999,0,9999
2023-09-05T16:29:33,0,9999,0,9999
2023-09-05T16:42:25,0,9999,0,9999
2023-09-05T16:55:18,0,9999,0,9999
2023-09-05T17:08:12,0,9999,0,9999
2023-09-05T17:21:07,0,9999,0,9999
2023-09-05T17:34:00,0,9999,0,9999
2023-09-05T17:47:03,0,9999,0,9999
2023-09-05T17:59:57,0,9999,0,9999
2023-09-05T18:12:50,0,9999,0,9999
2023-09-05T18:25:42,0,9999,0,9999
2023-09-05T18:38:35,0,9999,0,9999
2023-09-05T18:51:38,0,9999,0,9999
2023-09-05T19:04:31,0,9999,0,9999
2023-09-05T19:17:23,0,9999,0,9999
2023-09-05T19:30:16,0,9999,0,9999
2023-09-05T19:43:19,0,9999,0,9999
2023-09-05T19:56:12,0,9999,0,9999
2023-09-05T20:09:04,0,9999,0,9999
2023-09-05T20:21:56,0,9999,0,9999
2023-09-05T20:34:49,0,9999,0,9999
2023-09-05T20:47:50,0,9999,0,9999
2023-09-05T21:00:43,0,9999,0,9999
2023-09-05T21:13:36,0,9999,0,9999
2023-09-05T21:26:28,0,9999,0,9999
2023-09-05T21:39:30,0,9999,0,9999
2023-09-05T21:52:24,0,9999,0,9999
2023-09-05T22:05:16,0,9999,0,9999
2023-09-05T22:18:09,0,9999,0,9999
2023-09-05T22:31:02,0,9999,0,9999
2023-09-05T22:44:05,0,9999,0,9999
2023-09-05T22:56:58,0,9999,0,9999
2023-09-05T23:09:53,0,9999,0,9999
2023-09-05T23:22:46,0,9999,0,9999
2023-09-05T23:35:40,0,9999,0,9999
2023-09-05T23:48:35,0,9999,0,9999
2023-09-06T00:01:29,0,9999,0,9999
2023-09-06T00:14:27,0,9999,0,9999
2023-09-06T00:27:38,0,9999,0,9999
2023-09-06T00:40:35,0,9999,0,9999
2023-09-06T00:53:34,0,9999,0,9999
2023-09-06T01:06:33,0,9999,0,9999
2023-09-06T01:19:31,0,9999,0,9999
2023-09-06T01:32:27,0,9999,0,9999
2023-09-06T01:45:29,0,9999,0,9999
2023-09-06T01:58:29,0,9999,0,9999
2023-09-06T02:11:26,0,9999,0,9999
2023-09-06T02:24:22,0,9999,0,9999
2023-09-06T02:37:17,0,9999,0,9999
2023-09-06T02:50:12,0,9999,0,9999
2023-09-06T03:03:34,0,9999,0,9999
2023-09-06T03:17:42,0,9999,0,9999
2023-09-06T03:30:39,0,9999,0,9999
2023-09-06T03:43:35,0,9999,0,9999
2023-09-06T03:56:33,0,9999,0,9999
2023-09-06T04:11:27,0,9999,0,9999
2023-09-06T04:32:11,0,9999,0,9999
2023-09-06T04:45:32,0,9999,0,9999
2023-09-06T04:58:30,0,9999,0,9999
2023-09-06T05:11:28,0,9999,0,9999
2023-09-06T05:24:24,0,9999,0,9999
2023-09-06T05:37:21,0,9999,0,9999
2023-09-06T05:50:17,0,9999,0,9999
2023-09-06T06:03:12,0,9999,0,9999
2023-09-06T06:16:09,0,9999,0,9999
2023-09-06T06:29:07,0,9999,0,9999
2023-09-06T06:42:13,0,9999,0,9999
2023-09-06T06:55:11,0,9999,0,9999
2023-09-06T07:08:17,0,9999,0,9999
2023-09-06T07:21:21,0,9999,0,9999
2023-09-06T07:34:19,0,9999,0,9999
2023-09-06T07:47:15,0,9999,0,9999
2023-09-06T08:00:10,0,9999,0,9999
2023-09-06T08:13:08,0,9999,0,9999
2023-09-06T08:26:04,0,9999,0,9999
2023-09-06T08:39:01,0,9999,0,9999
2023-09-06T08:51:56,0,9999,0,9999
2023-09-06T09:04:50,0,9999,0,9999
2023-09-06T09:17:56,0,9999,0,9999
2023-09-06T09:30:52,0,9999,0,9999
2023-09-06T09:43:49,0,9999,0,9999
2023-09-06T09:56:47,0,9999,0,9999
2023-09-06T10:09:43,0,9999,0,9999
2023-09-06T10:22:52,0,9999,0,9999
2023-09-06T10:35:48,0,9999,0,9999
2023-09-06T10:48:43,0,9999,0,9999
2023-09-06T11:01:50,0,9999,0,9999
2023-09-06T11:14:45,0,9999,0,9999
2023-09-06T11:27:39,0,9999,0,9999
2023-09-06T11:40:33,0,9999,0,9999
2023-09-06T11:53:37,0,9999,0,9999
2023-09-06T12:06:33,0,9999,0,9999
2023-09-06T12:19:28,0,9999,0,9999
2023-09-06T12:32:23,0,9999,0,9999
2023-09-06T12:45:18,0,9999,0,9999
2023-09-06T12:58:23,0,9999,0,9999
2023-09-06T13:11:17,1,9998,0,9999
2023-09-06T13:24:11,1,9998,0,9999
2023-09-06T13:37:06,1,9998,0,9999
2023-09-06T13:50:03,1,9998,0,9999
2023-09-06T14:03:07,1,9998,0,9999
2023-09-06T14:16:02,1,9998,0,9999
2023-09-06T14:28:58,1,9998,0,9999
2023-09-06T14:41:53,1,9998,0,9999
2023-09-06T14:54:49,1,9998,0,9999
2023-09-06T15:07:58,1,9998,0,9999
2023-09-06T15:20:52,1,9998,0,9999
2023-09-06T15:33:48,1,9998,0,9999
2023-09-06T15:46:42,1,9998,0,9999
2023-09-06T15:59:36,1,9998,0,9999
2023-09-06T16:12:29,1,9998,0,9999
2023-09-06T16:25:24,1,9998,0,9999
2023-09-06T16:38:28,1,9998,0,9999
2023-09-06T16:51:21,1,9998,0,9999
2023-09-06T17:04:16,1,9998,0,9999
2023-09-06T17:17:11,1,9998,0,9999
2023-09-06T17:30:05,1,9998,0,9999
2023-09-06T17:42:58,1,9998,0,9999
2023-09-06T17:55:52,1,9998,0,9999
2023-09-06T18:08:56,1,9998,0,9999
2023-09-06T18:21:49,1,9998,0,9999
2023-09-06T18:34:42,1,9998,0,9999
2023-09-06T18:47:36,1,9998,0,9999
2023-09-06T19:00:29,1,9998,0,9999
2023-09-06T19:13:22,1,9998,0,9999
2023-09-06T19:26:15,1,9998,0,9999
2023-09-06T19:39:19,1,9998,0,9999
2023-09-06T19:52:13,1,9998,0,9999
2023-09-06T20:05:06,1,9998,0,9999
2023-09-06T20:17:59,1,9998,0,9999
2023-09-06T20:30:53,1,9998,0,9999
2023-09-06T20:43:48,1,9998,0,9999
2023-09-06T20:56:41,1,9998,0,9999
2023-09-06T21:09:35,1,9998,0,9999
2023-09-06T21:22:39,1,9998,0,9999
2023-09-06T21:35:33,1,9998,0,9999
2023-09-06T21:48:26,1,9998,0,9999
2023-09-06T22:01:19,1,9998,0,9999
2023-09-06T22:14:13,1,9998,0,9999
2023-09-06T22:27:08,1,9998,0,9999
2023-09-06T22:40:03,1,9998,0,9999
2023-09-06T22:52:57,1,9998,0,9999
2023-09-06T23:06:02,1,9998,0,9999
2023-09-06T23:18:57,1,9998,0,9999
2023-09-06T23:31:51,1,9998,0,9999
2023-09-06T23:44:45,1,9998,0,9999
2023-09-06T23:57:38,1,9998,0,9999
2023-09-07T00:10:36,1,9998,0,9999
2023-09-07T00:23:39,1,9998,0,9999
2023-09-07T00:36:46,1,9998,0,9999
2023-09-07T00:49:43,1,9998,0,9999
2023-09-07T01:02:41,1,9998,0,9999
2023-09-07T01:15:37,1,9998,0,9999
2023-09-07T01:28:33,1,9998,0,9999
2023-09-07T01:41:30,1,9998,0,9999
2023-09-07T01:54:27,1,9998,0,9999
2023-09-07T02:07:23,1,9998,0,9999
2023-09-07T02:20:18,1,9998,0,9999
2023-09-07T02:33:25,1,9998,0,9999
2023-09-07T02:46:21,1,9998,0,9999
2023-09-07T02:59:16,1,9998,0,9999
2023-09-07T03:12:17,1,9998,0,9999
2023-09-07T03:25:14,1,9998,0,9999
2023-09-07T03:38:09,1,9998,0,9999
2023-09-07T03:51:05,1,9998,0,9999
2023-09-07T04:04:01,1,9998,0,9999
2023-09-07T04:28:13,1,9998,0,9999
2023-09-07T04:42:42,1,9998,0,9999
2023-09-07T04:55:47,1,9998,0,9999
2023-09-07T05:08:46,1,9998,0,9999
2023-09-07T05:21:45,1,9998,0,9999
2023-09-07T05:34:42,1,9998,0,9999
2023-09-07T05:47:40,1,9998,0,9999
2023-09-07T06:00:39,1,9998,0,9999
2023-09-07T06:13:37,1,9998,0,9999
2023-09-07T06:26:33,1,9998,0,9999
2023-09-07T06:39:30,1,9998,0,9999
2023-09-07T06:52:27,1,9998,0,9999
2023-09-07T07:05:25,1,9998,0,9999
2023-09-07T07:18:22,1,9998,0,9999
2023-09-07T07:31:18,1,9998,0,9999
2023-09-07T07:44:13,1,9998,0,9999
2023-09-07T07:57:10,1,9998,0,9999
2023-09-07T08:10:15,1,9998,0,9999
2023-09-07T08:23:10,1,9998,0,9999
2023-09-07T08:36:08,1,9998,0,9999
2023-09-07T08:49:03,1,9998,0,9999
2023-09-07T09:02:00,1,9998,0,9999
2023-09-07T09:14:55,1,9998,0,9999
2023-09-07T09:27:52,1,9998,0,9999
2023-09-07T09:40:48,1,9998,0,9999
2023-09-07T09:53:55,1,9998,0,9999
2023-09-07T10:06:49,1,9998,0,9999
2023-09-07T10:19:44,1,9998,0,9999
2023-09-07T10:32:39,1,9998,0,9999
2023-09-07T10:45:34,1,9998,0,9999
2023-09-07T10:58:29,1,9998,0,9999
2023-09-07T11:11:35,1,9998,0,9999
2023-09-07T11:24:30,1,9998,0,9999
2023-09-07T11:37:24,1,9998,0,9999
2023-09-07T11:50:19,1,9998,0,9999
2023-09-07T12:03:13,1,9998,0,9999
2023-09-07T12:16:18,1,9998,0,9999
2023-09-07T12:29:13,1,9998,0,9999
2023-09-07T12:42:07,1,9998,0,9999
2023-09-07T12:55:03,1,9998,0,9999
2023-09-07T13:07:58,1,9998,0,9999
2023-09-07T13:20:52,1,9998,0,9999
2023-09-07T13:33:56,1,9998,0,9999
