time,enrolled,available,waitlisted,total
2023-06-07T08:20:25,0,0,0,0
2023-06-07T08:32:17,0,0,1,0
2023-06-07T08:44:00,0,0,4,0
2023-06-07T08:55:43,0,0,6,0
2023-06-07T09:07:26,0,0,6,0
2023-06-07T09:19:09,0,0,6,0
2023-06-07T09:30:52,0,0,6,0
2023-06-07T09:42:34,0,0,6,0
2023-06-07T09:54:17,0,0,7,0
2023-06-07T10:06:12,0,0,7,0
2023-06-07T10:17:55,0,0,7,0
2023-06-07T10:29:38,0,0,8,0
2023-06-07T10:41:20,0,0,8,0
2023-06-07T10:53:14,0,0,9,0
2023-06-07T11:04:58,0,0,9,0
2023-06-07T11:16:42,0,0,11,0
2023-06-07T11:28:27,0,0,12,0
2023-06-07T11:40:10,0,0,13,0
2023-06-07T11:52:16,0,0,15,0
2023-06-07T12:03:59,0,0,17,0
2023-06-07T12:15:43,0,0,17,0
2023-06-07T12:27:36,0,0,17,0
2023-06-07T12:39:18,0,0,17,0
2023-06-07T12:51:01,0,0,19,0
2023-06-07T13:02:43,0,0,19,0
2023-06-07T13:14:26,0,0,19,0
2023-06-07T13:26:18,0,0,21,0
2023-06-07T13:38:00,0,0,24,0
2023-06-07T13:49:43,0,0,27,0
2023-06-07T14:01:43,0,0,29,0
2023-06-07T14:13:25,0,0,29,0
2023-06-07T14:25:07,0,0,30,0
2023-06-07T14:36:49,0,0,31,0
2023-06-07T14:48:31,0,0,31,0
2023-06-07T15:00:24,0,0,35,0
2023-06-07T15:12:09,0,0,40,0
2023-06-07T15:23:52,0,0,40,0
2023-06-07T15:35:35,0,0,42,0
2023-06-07T15:47:39,0,0,43,0
2023-06-07T15:59:22,0,0,45,0
2023-06-07T16:11:05,0,0,47,0
2023-06-07T16:22:49,0,0,48,0
2023-06-07T16:34:43,0,0,48,0
2023-06-07T16:46:26,0,0,48,0
2023-06-07T16:58:08,0,0,51,0
2023-06-07T17:09:54,0,0,52,0
2023-06-07T17:21:57,0,0,53,0
2023-06-07T17:33:39,0,0,53,0
2023-06-07T17:45:22,0,0,54,0
2023-06-07T17:57:05,0,0,54,0
2023-06-07T18:09:03,0,0,57,0
2023-06-07T18:20:47,0,0,58,0
2023-06-07T18:32:30,0,0,60,0
2023-06-07T18:44:12,0,0,60,0
2023-06-07T18:55:56,0,0,61,0
2023-06-07T19:07:50,0,0,62,0
2023-06-07T19:19:32,0,0,62,0
2023-06-07T19:31:16,0,0,64,0
2023-06-07T19:42:59,0,0,65,0
2023-06-07T19:54:41,0,0,67,0
2023-06-07T20:06:24,0,0,68,0
2023-06-07T20:18:18,0,0,70,0
2023-06-07T20:30:00,0,0,70,0
2023-06-07T20:41:42,0,0,70,0
2023-06-07T20:53:24,0,0,70,0
2023-06-07T21:05:07,0,0,71,0
2023-06-07T21:17:08,0,0,72,0
2023-06-07T21:28:50,0,0,72,0
2023-06-07T21:40:34,0,0,73,0
2023-06-07T21:52:17,0,0,75,0
2023-06-07T22:03:59,0,0,74,0
2023-06-07T22:15:41,0,0,75,0
2023-06-07T22:27:34,0,0,77,0
2023-06-07T22:39:17,0,0,77,0
2023-06-07T22:50:58,0,0,77,0
2023-06-07T23:02:41,0,0,77,0
2023-06-07T23:14:23,0,0,77,0
2023-06-07T23:26:06,0,0,78,0
2023-06-07T23:37:59,0,0,78,0
2023-06-07T23:49:42,0,0,78,0
2023-06-08T00:01:25,0,0,78,0
2023-06-08T00:13:09,0,0,78,0
2023-06-08T00:24:56,0,0,79,0
2023-06-08T00:36:42,0,0,79,0
2023-06-08T00:48:28,0,0,79,0
2023-06-08T01:00:35,0,0,80,0
2023-06-08T01:12:20,0,0,80,0
2023-06-08T01:24:05,0,0,81,0
2023-06-08T01:35:50,0,0,81,0
2023-06-08T01:47:35,0,0,81,0
2023-06-08T01:59:22,0,0,81,0
2023-06-08T02:11:07,0,0,81,0
2023-06-08T02:22:51,0,0,81,0
2023-06-08T02:34:36,0,0,81,0
2023-06-08T02:46:19,0,0,81,0
2023-06-08T02:58:01,0,0,81,0
2023-06-08T03:09:45,0,0,81,0
2023-06-08T03:21:29,0,0,81,0
2023-06-08T03:33:25,0,0,81,0
2023-06-08T03:45:09,0,0,81,0
2023-06-08T03:56:54,0,0,81,0
2023-06-08T04:08:41,0,0,81,0
2023-06-08T04:20:27,0,0,81,0
2023-06-08T04:37:31,0,0,81,0
2023-06-08T04:49:21,0,0,81,0
2023-06-08T05:01:08,0,0,81,0
2023-06-08T05:12:54,0,0,81,0
2023-06-08T05:24:39,0,0,81,0
2023-06-08T05:36:24,0,0,81,0
2023-06-08T05:48:09,0,0,81,0
2023-06-08T06:01:52,0,0,81,0
2023-06-08T06:13:37,0,0,81,0
2023-06-08T06:25:22,0,0,81,0
2023-06-08T06:37:07,0,0,81,0
2023-06-08T06:48:53,0,0,81,0
2023-06-08T07:00:37,0,0,81,0
2023-06-08T07:12:23,0,0,81,0
2023-06-08T07:24:10,0,0,82,0
2023-06-08T07:35:53,0,0,82,0
2023-06-08T07:47:37,0,0,82,0
2023-06-08T07:59:22,0,0,82,0
2023-06-08T08:11:06,0,0,82,0
2023-06-08T08:22:50,0,0,83,0
2023-06-08T08:34:51,0,0,84,0
2023-06-08T08:46:35,0,0,85,0
2023-06-08T08:58:19,0,0,85,0
2023-06-08T09:10:03,0,0,85,0
2023-06-08T09:21:46,0,0,85,0
2023-06-08T09:33:29,0,0,85,0
2023-06-08T09:45:12,0,0,87,0
2023-06-08T09:56:56,0,0,87,0
2023-06-08T10:08:50,0,0,88,0
2023-06-08T10:20:33,0,0,88,0
2023-06-08T10:32:15,0,0,88,0
2023-06-08T10:43:58,0,0,89,0
2023-06-08T10:55:42,0,0,89,0
2023-06-08T11:07:25,0,0,89,0
2023-06-08T11:19:19,0,0,91,0
2023-06-08T11:31:03,0,0,90,0
2023-06-08T11:42:46,0,0,91,0
2023-06-08T11:54:30,13,0,90,0
2023-06-08T12:06:14,15,0,90,0
2023-06-08T12:18:07,17,0,90,0
2023-06-08T12:29:50,18,0,90,0
2023-06-08T12:41:34,20,0,90,0
2023-06-08T12:53:16,21,0,90,0
2023-06-08T13:05:00,24,0,92,0
2023-06-08T13:16:51,24,0,92,0
2023-06-08T13:28:34,25,0,92,0
2023-06-08T13:40:16,26,0,95,0
2023-06-08T13:51:59,26,0,100,0
2023-06-08T14:03:42,27,0,102,0
2023-06-08T14:15:25,27,0,103,0
2023-06-08T14:27:18,27,0,103,0
2023-06-08T14:39:01,27,0,103,0
2023-06-08T14:50:43,27,0,102,0
2023-06-08T15:02:25,27,0,101,0
2023-06-08T15:14:08,27,0,101,0
2023-06-08T15:26:08,28,0,101,0
2023-06-08T15:37:51,30,0,102,0
2023-06-08T15:49:33,30,0,102,0
2023-06-08T16:01:16,31,0,102,0
2023-06-08T16:12:58,32,0,102,0
2023-06-08T16:24:40,32,0,102,0
2023-06-08T16:36:22,33,0,101,0
2023-06-08T16:48:15,34,0,101,0
2023-06-08T16:59:57,34,0,102,0
2023-06-08T17:11:41,35,0,102,0
2023-06-08T17:23:24,35,0,102,0
2023-06-08T17:35:06,35,0,103,0
2023-06-08T17:46:49,35,0,103,0
2023-06-08T17:58:31,35,0,103,0
2023-06-08T18:10:15,35,0,103,0
