time,enrolled,available,waitlisted,total
2023-05-25T01:20:10,0,20,0,20
2023-05-25T01:31:46,0,20,0,20
2023-05-25T01:43:31,0,20,0,20
2023-05-25T01:55:06,0,20,0,20
2023-05-25T02:06:41,0,20,0,20
2023-05-25T02:18:18,0,20,0,20
2023-05-25T02:29:53,0,20,0,20
2023-05-25T02:41:27,0,20,0,20
2023-05-25T02:52:59,0,20,0,20
2023-05-25T03:04:33,0,20,0,20
2023-05-25T03:16:11,0,20,0,20
2023-05-25T03:28:09,0,20,0,20
2023-05-25T03:39:46,0,20,0,20
2023-05-25T03:51:22,0,20,0,20
2023-05-25T04:02:57,0,20,0,20
2023-05-25T04:22:45,0,20,0,20
2023-05-25T04:34:22,0,20,0,20
2023-05-25T04:45:58,0,20,0,20
2023-05-25T04:57:34,0,20,0,20
2023-05-25T05:09:11,0,20,0,20
2023-05-25T05:20:47,0,20,0,20
2023-05-25T05:32:24,0,20,0,20
2023-05-25T05:43:59,0,20,0,20
2023-05-25T05:55:35,0,20,0,20
2023-05-25T06:07:12,0,20,0,20
2023-05-25T06:18:47,0,20,0,20
2023-05-25T06:30:22,0,20,0,20
2023-05-25T06:41:57,0,20,0,20
2023-05-25T06:53:33,0,20,0,20
2023-05-25T07:05:08,0,20,0,20
2023-05-25T07:16:43,0,20,0,20
2023-05-25T07:28:17,0,20,0,20
2023-05-25T07:39:53,0,20,0,20
2023-05-25T07:51:29,0,20,0,20
2023-05-25T08:03:04,0,20,0,20
2023-05-25T08:14:38,0,20,0,20
2023-05-25T08:26:23,0,20,0,20
2023-05-25T08:37:56,0,20,0,20
2023-05-25T08:49:28,0,20,0,20
2023-05-25T09:01:02,0,20,0,20
2023-05-25T09:12:35,0,20,0,20
2023-05-25T09:24:07,0,20,0,20
2023-05-25T09:35:40,0,20,0,20
2023-05-25T09:47:12,0,20,0,20
2023-05-25T09:58:46,0,20,0,20
2023-05-25T10:10:30,0,20,0,20
2023-05-25T10:22:03,0,20,0,20
2023-05-25T10:33:36,0,20,0,20
2023-05-25T10:45:09,0,20,0,20
2023-05-25T10:56:51,0,20,0,20
2023-05-25T11:08:24,0,20,0,20
2023-05-25T11:19:57,0,20,0,20
2023-05-25T11:31:30,0,20,0,20
2023-05-25T11:43:02,0,20,0,20
2023-05-25T11:54:36,0,20,0,20
2023-05-25T12:06:19,0,20,0,20
2023-05-25T12:17:52,0,20,0,20
2023-05-25T12:29:25,0,20,0,20
2023-05-25T12:40:58,0,20,0,20
2023-05-25T12:52:31,0,20,0,20
2023-05-25T13:04:14,0,20,0,20
2023-05-25T13:15:47,0,20,0,20
2023-05-25T13:27:20,0,20,0,20
2023-05-25T13:38:53,0,20,0,20
2023-05-25T13:50:26,0,20,0,20
2023-05-25T14:02:10,0,20,0,20
2023-05-25T14:13:44,0,20,0,20
2023-05-25T14:25:17,0,20,0,20
2023-05-25T14:36:50,0,20,0,20
2023-05-25T14:48:23,0,20,0,20
2023-05-25T15:00:07,0,20,0,20
2023-05-25T15:11:41,0,20,0,20
2023-05-25T15:23:15,0,20,0,20
2023-05-25T15:34:50,0,20,0,20
2023-05-25T15:46:24,0,20,0,20
2023-05-25T15:57:59,0,20,0,20
2023-05-25T16:09:44,0,20,0,20
2023-05-25T16:21:19,0,20,0,20
2023-05-25T16:32:54,0,20,0,20
2023-05-25T16:44:29,0,20,0,20
2023-05-25T16:56:05,0,20,0,20
2023-05-25T17:07:41,0,20,0,20
2023-05-25T17:19:29,0,20,0,20
2023-05-25T17:31:04,0,20,0,20
2023-05-25T17:42:40,0,20,0,20
2023-05-25T17:54:15,0,20,0,20
2023-05-25T18:05:52,0,20,0,20
2023-05-25T18:17:28,0,20,0,20
2023-05-25T18:29:03,0,20,0,20
2023-05-25T18:40:49,0,20,0,20
2023-05-25T18:52:25,0,20,0,20
2023-05-25T19:04:00,0,20,0,20
2023-05-25T19:15:37,0,20,0,20
2023-05-25T19:27:12,0,20,0,20
2023-05-25T19:38:48,0,20,0,20
2023-05-25T19:50:24,0,20,0,20
2023-05-25T20:02:10,0,20,0,20
2023-05-25T20:13:46,0,20,0,20
2023-05-25T20:25:22,0,20,0,20
2023-05-25T20:36:57,0,20,0,20
2023-05-25T20:48:33,0,20,0,20
2023-05-25T21:00:08,0,20,0,20
2023-05-25T21:11:45,0,20,0,20
2023-05-25T21:23:32,0,20,0,20
2023-05-25T21:35:07,0,20,0,20
2023-05-25T21:46:43,0,20,0,20
2023-05-25T21:58:18,0,20,0,20
2023-05-25T22:09:54,0,20,0,20
2023-05-25T22:21:29,0,20,0,20
2023-05-25T22:33:05,0,20,0,20
2023-05-25T22:44:51,0,20,0,20
2023-05-25T22:56:26,0,20,0,20
2023-05-25T23:08:05,0,20,0,20
2023-05-25T23:19:40,0,20,0,20
2023-05-25T23:31:16,0,20,0,20
2023-05-25T23:42:52,0,20,0,20
2023-05-25T23:54:29,0,20,0,20
2023-05-26T00:06:23,0,20,0,20
2023-05-26T00:18:04,0,20,0,20
2023-05-26T00:29:43,1,19,0,20
2023-05-26T00:41:22,1,19,0,20
2023-05-26T00:53:01,1,19,0,20
2023-05-26T01:04:40,1,19,0,20
2023-05-26T01:16:19,1,19,0,20
2023-05-26T01:27:57,1,19,0,20
2023-05-26T01:39:35,1,19,0,20
2023-05-26T01:51:23,1,19,0,20
2023-05-26T02:03:05,1,19,0,20
2023-05-26T02:14:43,1,19,0,20
2023-05-26T02:26:20,1,19,0,20
2023-05-26T02:37:59,1,19,0,20
2023-05-26T02:49:48,1,19,0,20
2023-05-26T03:01:28,1,19,0,20
2023-05-26T03:13:08,1,19,0,20
2023-05-26T03:24:49,1,19,0,20
2023-05-26T03:36:27,1,19,0,20
2023-05-26T03:48:06,1,19,0,20
2023-05-26T03:59:44,1,19,0,20
2023-05-26T04:11:32,1,19,0,20
2023-05-26T04:33:33,1,19,0,20
2023-05-26T04:45:36,1,19,0,20
2023-05-26T04:57:17,1,19,0,20
