time,enrolled,available,waitlisted,total
2023-05-25T01:18:29,0,30,0,30
2023-05-25T01:30:05,0,30,0,30
2023-05-25T01:41:50,0,30,0,30
2023-05-25T01:53:25,0,30,0,30
2023-05-25T02:05:01,0,30,0,30
2023-05-25T02:16:37,0,30,0,30
2023-05-25T02:28:12,0,30,0,30
2023-05-25T02:39:46,0,30,0,30
2023-05-25T02:51:19,0,30,0,30
2023-05-25T03:02:52,0,30,0,30
2023-05-25T03:14:30,0,30,0,30
2023-05-25T03:26:28,0,30,0,30
2023-05-25T03:38:06,0,30,0,30
2023-05-25T03:49:41,0,30,0,30
2023-05-25T04:01:17,0,30,0,30
2023-05-25T04:20:41,0,30,0,30
2023-05-25T04:32:41,0,30,0,30
2023-05-25T04:44:17,0,30,0,30
2023-05-25T04:55:53,0,30,0,30
2023-05-25T05:07:30,0,30,0,30
2023-05-25T05:19:06,0,30,0,30
2023-05-25T05:30:43,0,30,0,30
2023-05-25T05:42:19,0,30,0,30
2023-05-25T05:53:55,0,30,0,30
2023-05-25T06:05:32,0,30,0,30
2023-05-25T06:17:07,0,30,0,30
2023-05-25T06:28:42,0,30,0,30
2023-05-25T06:40:17,0,30,0,30
2023-05-25T06:51:52,0,30,0,30
2023-05-25T07:03:28,0,30,0,30
2023-05-25T07:15:03,0,30,0,30
2023-05-25T07:26:37,0,30,0,30
2023-05-25T07:38:10,0,30,0,30
2023-05-25T07:49:48,0,30,0,30
2023-05-25T08:01:23,0,30,0,30
2023-05-25T08:12:58,0,30,0,30
2023-05-25T08:24:42,0,30,0,30
2023-05-25T08:36:16,0,30,0,30
2023-05-25T08:47:48,0,30,0,30
2023-05-25T08:59:21,0,30,0,30
2023-05-25T09:10:55,0,30,0,30
2023-05-25T09:22:27,0,30,0,30
2023-05-25T09:34:00,0,30,0,30
2023-05-25T09:45:32,0,30,0,30
2023-05-25T09:57:06,0,30,0,30
2023-05-25T10:08:50,0,30,0,30
2023-05-25T10:20:23,0,30,0,30
2023-05-25T10:31:56,0,30,0,30
2023-05-25T10:43:29,0,30,0,30
2023-05-25T10:55:11,0,30,0,30
2023-05-25T11:06:44,0,30,0,30
2023-05-25T11:18:17,0,30,0,30
2023-05-25T11:29:49,0,30,0,30
2023-05-25T11:41:22,0,30,0,30
2023-05-25T11:52:55,0,30,0,30
2023-05-25T12:04:39,0,30,0,30
2023-05-25T12:16:12,0,30,0,30
2023-05-25T12:27:45,0,30,0,30
2023-05-25T12:39:18,0,30,0,30
2023-05-25T12:50:51,0,30,0,30
2023-05-25T13:02:34,0,30,0,30
2023-05-25T13:14:06,0,30,0,30
2023-05-25T13:25:39,0,30,0,30
2023-05-25T13:37:13,0,30,0,30
2023-05-25T13:48:46,0,30,0,30
2023-05-25T14:00:19,0,30,0,30
2023-05-25T14:12:04,0,30,0,30
2023-05-25T14:23:37,0,30,0,30
2023-05-25T14:35:10,0,30,0,30
2023-05-25T14:46:43,0,30,0,30
2023-05-25T14:58:26,0,30,0,30
2023-05-25T15:10:00,0,30,0,30
2023-05-25T15:21:35,0,30,0,30
2023-05-25T15:33:09,0,30,0,30
2023-05-25T15:44:44,0,30,0,30
2023-05-25T15:56:19,0,30,0,30
2023-05-25T16:08:04,0,30,0,30
2023-05-25T16:19:39,0,30,0,30
2023-05-25T16:31:14,0,30,0,30
2023-05-25T16:42:49,0,30,0,30
2023-05-25T16:54:24,0,30,0,30
2023-05-25T17:06:01,0,30,0,30
2023-05-25T17:17:49,0,30,0,30
2023-05-25T17:29:24,0,30,0,30
2023-05-25T17:40:59,0,30,0,30
2023-05-25T17:52:35,0,30,0,30
2023-05-25T18:04:12,0,30,0,30
2023-05-25T18:15:48,0,30,0,30
2023-05-25T18:27:23,0,30,0,30
2023-05-25T18:39:09,0,30,0,30
2023-05-25T18:50:44,0,30,0,30
2023-05-25T19:02:20,0,30,0,30
2023-05-25T19:13:57,0,30,0,30
2023-05-25T19:25:32,0,30,0,30
2023-05-25T19:37:08,0,30,0,30
2023-05-25T19:48:44,0,30,0,30
2023-05-25T20:00:30,0,30,0,30
2023-05-25T20:12:05,0,30,0,30
2023-05-25T20:23:41,0,30,0,30
2023-05-25T20:35:17,0,30,0,30
2023-05-25T20:46:53,0,30,0,30
2023-05-25T20:58:28,0,30,0,30
2023-05-25T21:10:04,0,30,0,30
2023-05-25T21:21:51,0,30,0,30
2023-05-25T21:33:27,0,30,0,30
2023-05-25T21:45:03,0,30,0,30
2023-05-25T21:56:38,0,30,0,30
2023-05-25T22:08:14,0,30,0,30
2023-05-25T22:19:49,0,30,0,30
2023-05-25T22:31:25,0,30,0,30
2023-05-25T22:43:11,0,30,0,30
2023-05-25T22:54:46,0,30,0,30
2023-05-25T23:06:25,0,30,0,30
2023-05-25T23:18:00,0,30,0,30
2023-05-25T23:29:36,0,30,0,30
2023-05-25T23:41:12,0,30,0,30
2023-05-25T23:52:49,0,30,0,30
2023-05-26T00:04:42,0,30,0,30
2023-05-26T00:16:23,0,30,0,30
2023-05-26T00:28:03,0,30,0,30
2023-05-26T00:39:41,0,30,0,30
2023-05-26T00:51:20,0,30,0,30
2023-05-26T01:03:00,0,30,0,30
2023-05-26T01:14:39,0,30,0,30
2023-05-26T01:26:17,0,30,0,30
2023-05-26T01:37:54,0,30,0,30
2023-05-26T01:49:43,0,30,0,30
2023-05-26T02:01:24,0,30,0,30
2023-05-26T02:13:03,0,30,0,30
2023-05-26T02:24:40,0,30,0,30
2023-05-26T02:36:18,0,30,0,30
2023-05-26T02:48:07,0,30,0,30
2023-05-26T02:59:47,0,30,0,30
2023-05-26T03:11:27,0,30,0,30
2023-05-26T03:23:08,0,30,0,30
2023-05-26T03:34:47,0,30,0,30
2023-05-26T03:46:25,0,30,0,30
2023-05-26T03:58:04,0,30,0,30
2023-05-26T04:09:52,0,30,0,30
2023-05-26T04:31:52,0,30,0,30
2023-05-26T04:43:55,0,30,0,30
2023-05-26T04:55:36,0,30,0,30
2023-05-26T05:07:18,0,30,0,30
2023-05-26T05:18:57,0,30,0,30
2023-05-26T05:30:36,0,30,0,30
2023-05-26T05:42:15,0,30,0,30
2023-05-26T05:53:54,0,30,0,30
2023-05-26T06:05:32,0,30,0,30
2023-05-26T06:17:12,0,30,0,30
2023-05-26T06:28:51,0,30,0,30
2023-05-26T06:40:29,0,30,0,30
2023-05-26T06:52:08,0,30,0,30
2023-05-26T07:03:46,0,30,0,30
2023-05-26T07:15:25,0,30,0,30
2023-05-26T07:27:03,0,30,0,30
2023-05-26T07:38:49,0,30,0,30
2023-05-26T07:50:26,0,30,0,30
2023-05-26T08:02:02,0,30,0,30
2023-05-26T08:13:38,0,30,0,30
2023-05-26T08:25:15,0,30,0,30
2023-05-26T08:36:51,0,30,0,30
2023-05-26T08:48:27,0,30,0,30
2023-05-26T09:00:03,0,30,0,30
2023-05-26T09:11:39,0,30,0,30
2023-05-26T09:23:16,0,30,0,30
2023-05-26T09:35:03,0,30,0,30
2023-05-26T09:46:39,0,30,0,30
2023-05-26T09:58:15,0,30,0,30
2023-05-26T10:09:51,0,30,0,30
2023-05-26T10:21:28,0,30,0,30
2023-05-26T10:33:04,0,30,0,30
2023-05-26T10:44:52,0,30,0,30
2023-05-26T10:56:28,0,30,0,30
2023-05-26T11:08:05,0,30,0,30
2023-05-26T11:19:41,0,30,0,30
2023-05-26T11:31:18,0,30,0,30
2023-05-26T11:43:04,0,30,0,30
2023-05-26T11:54:40,0,30,0,30
2023-05-26T12:06:16,0,30,0,30
2023-05-26T12:17:52,0,30,0,30
2023-05-26T12:29:29,0,30,0,30
2023-05-26T12:41:16,0,30,0,30
2023-05-26T12:52:52,0,30,0,30
2023-05-26T13:04:28,0,30,0,30
2023-05-26T13:16:03,0,30,0,30
2023-05-26T13:27:49,0,30,0,30
2023-05-26T13:39:26,0,30,0,30
2023-05-26T13:51:01,0,30,0,30
2023-05-26T14:02:37,0,30,0,30
2023-05-26T14:14:13,0,30,0,30
2023-05-26T14:26:00,0,30,0,30
2023-05-26T14:37:36,0,30,0,30
2023-05-26T14:49:13,0,30,0,30
2023-05-26T15:00:49,0,30,0,30
2023-05-26T15:12:27,0,30,0,30
2023-05-26T15:24:13,0,30,0,30
2023-05-26T15:35:49,0,30,0,30
2023-05-26T15:47:24,0,30,0,30
2023-05-26T15:59:01,0,30,0,30
2023-05-26T16:10:37,0,30,0,30
2023-05-26T16:22:12,0,30,0,30
2023-05-26T16:33:58,1,29,0,30
2023-05-26T16:45:34,1,29,0,30
2023-05-26T16:57:09,1,29,0,30
2023-05-26T17:08:46,1,29,0,30
2023-05-26T17:20:22,1,29,0,30
2023-05-26T17:31:58,1,29,0,30
2023-05-26T17:43:43,1,29,0,30
2023-05-26T17:55:19,1,29,0,30
2023-05-26T18:06:55,1,29,0,30
2023-05-26T18:18:30,1,29,0,30
2023-05-26T18:30:06,1,29,0,30
2023-05-26T18:41:42,1,29,0,30
2023-05-26T18:53:28,1,29,0,30
2023-05-26T19:05:04,1,29,0,30
2023-05-26T19:16:40,1,29,0,30
2023-05-26T19:28:17,1,29,0,30
2023-05-26T19:39:52,1,29,0,30
2023-05-26T19:51:27,1,29,0,30
2023-05-26T20:03:03,1,29,0,30
2023-05-26T20:14:49,1,29,0,30
2023-05-26T20:26:25,1,29,0,30
2023-05-26T20:38:00,1,29,0,30
2023-05-26T20:49:35,2,28,0,30
2023-05-26T21:01:11,2,28,0,30
2023-05-26T21:12:48,2,28,0,30
2023-05-26T21:24:24,2,28,0,30
2023-05-26T21:35:59,2,28,0,30
2023-05-26T21:47:46,2,28,0,30
2023-05-26T21:59:22,2,28,0,30
2023-05-26T22:10:58,2,28,0,30
2023-05-26T22:22:34,2,28,0,30
2023-05-26T22:34:10,2,28,0,30
2023-05-26T22:45:46,2,28,0,30
2023-05-26T22:57:22,2,28,0,30
2023-05-26T23:09:01,2,28,0,30
2023-05-26T23:20:47,2,28,0,30
2023-05-26T23:32:23,2,28,0,30
2023-05-26T23:44:00,2,28,0,30
2023-05-26T23:55:36,2,28,0,30
2023-05-27T00:07:13,2,28,0,30
2023-05-27T00:18:54,2,28,0,30
2023-05-27T00:30:32,2,28,0,30
2023-05-27T00:42:11,2,28,0,30
2023-05-27T00:53:50,2,28,0,30
2023-05-27T01:05:29,2,28,0,30
2023-05-27T01:17:18,2,28,0,30
2023-05-27T01:28:57,2,28,0,30
2023-05-27T01:40:36,2,28,0,30
2023-05-27T01:52:15,2,28,0,30
2023-05-27T02:03:53,2,28,0,30
2023-05-27T02:15:32,2,28,0,30
2023-05-27T02:27:09,2,28,0,30
2023-05-27T02:38:46,2,28,0,30
2023-05-27T02:50:22,2,28,0,30
2023-05-27T03:01:57,2,28,0,30
2023-05-27T03:13:36,2,28,0,30
2023-05-27T03:25:14,2,28,0,30
2023-05-27T03:36:51,2,28,0,30
2023-05-27T03:48:28,2,28,0,30
2023-05-27T04:00:07,2,28,0,30
2023-05-27T04:12:00,2,28,0,30
2023-05-27T04:33:20,2,28,0,30
2023-05-27T04:46:32,2,28,0,30
2023-05-27T04:58:12,2,28,0,30
2023-05-27T05:09:51,2,28,0,30
2023-05-27T05:21:30,2,28,0,30
2023-05-27T05:33:09,2,28,0,30
2023-05-27T05:44:49,2,28,0,30
2023-05-27T05:56:27,2,28,0,30
2023-05-27T06:08:06,2,28,0,30
2023-05-27T06:19:44,2,28,0,30
2023-05-27T06:31:25,2,28,0,30
2023-05-27T06:43:04,2,28,0,30
2023-05-27T06:54:42,2,28,0,30
2023-05-27T07:06:20,2,28,0,30
2023-05-27T07:17:58,2,28,0,30
2023-05-27T07:29:37,2,28,0,30
2023-05-27T07:41:13,2,28,0,30
2023-05-27T07:52:52,2,28,0,30
2023-05-27T08:04:42,2,28,0,30
2023-05-27T08:16:19,2,28,0,30
2023-05-27T08:27:58,2,28,0,30
2023-05-27T08:39:36,2,28,0,30
2023-05-27T08:51:14,2,28,0,30
2023-05-27T09:02:52,2,28,0,30
2023-05-27T09:14:29,2,28,0,30
2023-05-27T09:26:07,2,28,0,30
2023-05-27T09:37:47,2,28,0,30
2023-05-27T09:49:25,2,28,0,30
2023-05-27T10:01:02,2,28,0,30
2023-05-27T10:12:56,2,28,0,30
2023-05-27T10:24:32,2,28,0,30
2023-05-27T10:36:11,2,28,0,30
2023-05-27T10:47:47,2,28,0,30
2023-05-27T10:59:24,2,28,0,30
2023-05-27T11:10:59,2,28,0,30
2023-05-27T11:22:35,2,28,0,30
2023-05-27T11:34:10,2,28,0,30
2023-05-27T11:45:45,2,28,0,30
2023-05-27T11:57:20,2,28,0,30
2023-05-27T12:09:05,2,28,0,30
2023-05-27T12:20:40,2,28,0,30
2023-05-27T12:32:15,2,28,0,30
2023-05-27T12:43:50,2,28,0,30
2023-05-27T12:55:25,2,28,0,30
2023-05-27T13:07:01,2,28,0,30
2023-05-27T13:18:36,2,28,0,30
2023-05-27T13:30:31,2,28,0,30
