time,enrolled,available,waitlisted,total
2023-05-25T01:13:47,0,30,0,30
2023-05-25T01:25:23,0,30,0,30
2023-05-25T01:36:59,0,30,0,30
2023-05-25T01:48:43,0,30,0,30
2023-05-25T02:00:19,0,30,0,30
2023-05-25T02:11:55,0,30,0,30
2023-05-25T02:23:31,0,30,0,30
2023-05-25T02:35:05,0,30,0,30
2023-05-25T02:46:39,0,30,0,30
2023-05-25T02:58:11,0,30,0,30
2023-05-25T03:09:47,0,30,0,30
2023-05-25T03:21:26,0,30,0,30
2023-05-25T03:33:24,0,30,0,30
2023-05-25T03:45:00,0,30,0,30
2023-05-25T03:56:35,0,30,0,30
2023-05-25T04:15:57,0,30,0,30
2023-05-25T04:27:59,0,30,0,30
2023-05-25T04:39:35,0,30,0,30
2023-05-25T04:51:11,0,30,0,30
2023-05-25T05:02:47,0,30,0,30
2023-05-25T05:14:25,0,30,0,30
2023-05-25T05:26:00,0,30,0,30
2023-05-25T05:37:37,0,30,0,30
2023-05-25T05:49:13,0,30,0,30
2023-05-25T06:00:50,0,30,0,30
2023-05-25T06:12:25,0,30,0,30
2023-05-25T06:24:00,0,30,0,30
2023-05-25T06:35:35,0,30,0,30
2023-05-25T06:47:10,0,30,0,30
2023-05-25T06:58:45,0,30,0,30
2023-05-25T07:10:21,0,30,0,30
2023-05-25T07:21:56,0,30,0,30
2023-05-25T07:33:30,0,30,0,30
2023-05-25T07:45:06,0,30,0,30
2023-05-25T07:56:42,0,30,0,30
2023-05-25T08:08:17,0,30,0,30
2023-05-25T08:19:51,0,30,0,30
2023-05-25T08:31:35,0,30,0,30
2023-05-25T08:43:08,0,30,0,30
2023-05-25T08:54:40,0,30,0,30
2023-05-25T09:06:14,0,30,0,30
2023-05-25T09:17:47,0,30,0,30
2023-05-25T09:29:19,0,30,0,30
2023-05-25T09:40:52,0,30,0,30
2023-05-25T09:52:25,0,30,0,30
2023-05-25T10:03:58,0,30,0,30
2023-05-25T10:15:43,0,30,0,30
2023-05-25T10:27:16,0,30,0,30
2023-05-25T10:38:48,0,30,0,30
2023-05-25T10:50:21,0,30,0,30
2023-05-25T11:02:04,0,30,0,30
2023-05-25T11:13:36,0,30,0,30
2023-05-25T11:25:09,0,30,0,30
2023-05-25T11:36:42,0,30,0,30
2023-05-25T11:48:15,0,30,0,30
2023-05-25T11:59:59,0,30,0,30
2023-05-25T12:11:32,0,30,0,30
2023-05-25T12:23:04,0,30,0,30
2023-05-25T12:34:37,0,30,0,30
2023-05-25T12:46:10,0,30,0,30
2023-05-25T12:57:43,0,30,0,30
2023-05-25T13:09:26,0,30,0,30
2023-05-25T13:20:59,0,30,0,30
2023-05-25T13:32:32,0,30,0,30
2023-05-25T13:44:05,0,30,0,30
2023-05-25T13:55:39,0,30,0,30
2023-05-25T14:07:23,0,30,0,30
2023-05-25T14:18:57,0,30,0,30
2023-05-25T14:30:30,0,30,0,30
2023-05-25T14:42:02,0,30,0,30
2023-05-25T14:53:36,0,30,0,30
2023-05-25T15:05:20,0,30,0,30
2023-05-25T15:16:54,0,30,0,30
2023-05-25T15:28:29,0,30,0,30
2023-05-25T15:40:03,0,30,0,30
2023-05-25T15:51:37,0,30,0,30
2023-05-25T16:03:12,0,30,0,30
2023-05-25T16:14:58,0,30,0,30
2023-05-25T16:26:33,0,30,0,30
