time,enrolled,available,waitlisted,total
2023-08-30T09:38:33,0,9999,0,9999
2023-08-30T09:51:21,0,9999,0,9999
2023-08-30T10:04:09,0,9999,0,9999
2023-08-30T10:16:56,0,9999,0,9999
2023-08-30T10:29:45,0,9999,0,9999
2023-08-30T10:42:35,0,9999,0,9999
2023-08-30T10:55:33,0,9999,0,9999
2023-08-30T11:08:22,0,9999,0,9999
2023-08-30T11:21:10,0,9999,0,9999
2023-08-30T11:33:59,0,9999,0,9999
2023-08-30T11:46:48,0,9999,0,9999
2023-08-30T11:59:36,0,9999,0,9999
2023-08-30T12:12:24,0,9999,0,9999
2023-08-30T12:25:21,0,9999,0,9999
2023-08-30T12:38:09,0,9999,0,9999
2023-08-30T12:50:58,0,9999,0,9999
2023-08-30T13:03:45,0,9999,0,9999
2023-08-30T13:16:33,0,9999,0,9999
2023-08-30T13:29:23,0,9999,0,9999
2023-08-30T13:42:11,0,9999,0,9999
2023-08-30T13:55:11,0,9999,0,9999
2023-08-30T14:08:01,0,9999,0,9999
2023-08-30T14:20:49,0,9999,0,9999
2023-08-30T14:33:38,0,9999,0,9999
2023-08-30T14:46:26,0,9999,0,9999
2023-08-30T14:59:14,0,9999,0,9999
2023-08-30T15:12:12,0,9999,0,9999
2023-08-30T15:25:01,0,9999,0,9999
2023-08-30T15:37:49,0,9999,0,9999
2023-08-30T15:50:37,0,9999,0,9999
2023-08-30T16:03:26,0,9999,0,9999
2023-08-30T16:16:14,0,9999,0,9999
2023-08-30T16:29:04,0,9999,0,9999
2023-08-30T16:42:03,0,9999,0,9999
2023-08-30T16:54:51,0,9999,0,9999
2023-08-30T17:07:41,0,9999,0,9999
2023-08-30T17:20:31,0,9999,0,9999
2023-08-30T17:33:19,0,9999,0,9999
2023-08-30T17:46:08,0,9999,0,9999
2023-08-30T17:58:57,0,9999,0,9999
2023-08-30T18:11:55,0,9999,0,9999
2023-08-30T18:24:44,0,9999,0,9999
2023-08-30T18:37:33,0,9999,0,9999
