time,enrolled,available,waitlisted,total
2023-05-25T01:19:26,0,30,0,30
2023-05-25T01:31:02,0,30,0,30
2023-05-25T01:42:46,0,30,0,30
2023-05-25T01:54:22,0,30,0,30
2023-05-25T02:05:57,0,30,0,30
2023-05-25T02:17:33,0,30,0,30
2023-05-25T02:29:09,0,30,0,30
2023-05-25T02:40:43,0,30,0,30
2023-05-25T02:52:15,0,30,0,30
2023-05-25T03:03:49,0,30,0,30
2023-05-25T03:15:26,0,30,0,30
2023-05-25T03:27:25,0,30,0,30
2023-05-25T03:39:02,0,30,0,30
2023-05-25T03:50:38,0,30,0,30
2023-05-25T04:02:13,0,30,0,30
2023-05-25T04:21:37,0,30,0,30
2023-05-25T04:33:37,0,30,0,30
2023-05-25T04:45:14,0,30,0,30
2023-05-25T04:56:50,0,30,0,30
2023-05-25T05:08:27,0,30,0,30
2023-05-25T05:20:03,0,30,0,30
2023-05-25T05:31:40,0,30,0,30
2023-05-25T05:43:15,0,30,0,30
2023-05-25T05:54:51,0,30,0,30
2023-05-25T06:06:28,0,30,0,30
2023-05-25T06:18:03,0,30,0,30
2023-05-25T06:29:38,0,30,0,30
2023-05-25T06:41:13,0,30,0,30
2023-05-25T06:52:49,0,30,0,30
2023-05-25T07:04:24,0,30,0,30
2023-05-25T07:15:59,0,30,0,30
2023-05-25T07:27:33,0,30,0,30
2023-05-25T07:39:10,0,30,0,30
2023-05-25T07:50:45,0,30,0,30
2023-05-25T08:02:20,0,30,0,30
2023-05-25T08:13:54,0,30,0,30
2023-05-25T08:25:39,0,30,0,30
2023-05-25T08:37:12,0,30,0,30
2023-05-25T08:48:45,0,30,0,30
2023-05-25T09:00:18,0,30,0,30
2023-05-25T09:11:51,0,30,0,30
2023-05-25T09:23:23,0,30,0,30
2023-05-25T09:34:56,0,30,0,30
2023-05-25T09:46:28,0,30,0,30
2023-05-25T09:58:02,0,30,0,30
2023-05-25T10:09:47,0,30,0,30
2023-05-25T10:21:19,0,30,0,30
2023-05-25T10:32:53,0,30,0,30
2023-05-25T10:44:25,0,30,0,30
2023-05-25T10:56:08,0,30,0,30
2023-05-25T11:07:40,0,30,0,30
2023-05-25T11:19:13,0,30,0,30
2023-05-25T11:30:46,0,30,0,30
2023-05-25T11:42:18,0,30,0,30
2023-05-25T11:53:52,0,30,0,30
2023-05-25T12:05:35,0,30,0,30
2023-05-25T12:17:08,0,30,0,30
2023-05-25T12:28:41,0,30,0,30
2023-05-25T12:40:14,0,30,0,30
2023-05-25T12:51:47,0,30,0,30
2023-05-25T13:03:30,0,30,0,30
2023-05-25T13:15:03,0,30,0,30
2023-05-25T13:26:36,0,30,0,30
2023-05-25T13:38:09,0,30,0,30
2023-05-25T13:49:42,0,30,0,30
2023-05-25T14:01:26,0,30,0,30
2023-05-25T14:13:00,0,30,0,30
2023-05-25T14:24:33,0,30,0,30
2023-05-25T14:36:06,0,30,0,30
2023-05-25T14:47:39,0,30,0,30
2023-05-25T14:59:23,0,30,0,30
2023-05-25T15:10:57,0,30,0,30
2023-05-25T15:22:31,0,30,0,30
2023-05-25T15:34:06,0,30,0,30
2023-05-25T15:45:40,0,30,0,30
2023-05-25T15:57:15,0,30,0,30
2023-05-25T16:09:00,0,30,0,30
2023-05-25T16:20:35,0,30,0,30
2023-05-25T16:32:10,0,30,0,30
2023-05-25T16:43:45,0,30,0,30
2023-05-25T16:55:21,0,30,0,30
2023-05-25T17:06:57,0,30,0,30
2023-05-25T17:18:45,0,30,0,30
2023-05-25T17:30:20,0,30,0,30
2023-05-25T17:41:56,0,30,0,30
2023-05-25T17:53:32,0,30,0,30
2023-05-25T18:05:08,0,30,0,30
2023-05-25T18:16:44,0,30,0,30
2023-05-25T18:28:19,0,30,0,30
2023-05-25T18:40:05,0,30,0,30
2023-05-25T18:51:41,0,30,0,30
2023-05-25T19:03:17,0,30,0,30
2023-05-25T19:14:53,0,30,0,30
2023-05-25T19:26:29,0,30,0,30
2023-05-25T19:38:04,0,30,0,30
2023-05-25T19:49:40,0,30,0,30
2023-05-25T20:01:26,0,30,0,30
2023-05-25T20:13:02,0,30,0,30
2023-05-25T20:24:37,0,30,0,30
2023-05-25T20:36:13,0,30,0,30
2023-05-25T20:47:49,0,30,0,30
2023-05-25T20:59:25,0,30,0,30
2023-05-25T21:11:01,0,30,0,30
2023-05-25T21:22:48,0,30,0,30
2023-05-25T21:34:23,0,30,0,30
2023-05-25T21:45:59,0,30,0,30
2023-05-25T21:57:34,0,30,0,30
2023-05-25T22:09:10,0,30,0,30
2023-05-25T22:20:45,0,30,0,30
2023-05-25T22:32:21,0,30,0,30
2023-05-25T22:44:07,0,30,0,30
2023-05-25T22:55:42,0,30,0,30
2023-05-25T23:07:21,0,30,0,30
2023-05-25T23:18:56,0,30,0,30
2023-05-25T23:30:32,0,30,0,30
2023-05-25T23:42:08,0,30,0,30
2023-05-25T23:53:45,0,30,0,30
2023-05-26T00:05:39,0,30,0,30
2023-05-26T00:17:20,0,30,0,30
2023-05-26T00:28:59,0,30,0,30
2023-05-26T00:40:38,0,30,0,30
2023-05-26T00:52:17,0,30,0,30
2023-05-26T01:03:56,0,30,0,30
2023-05-26T01:15:35,0,30,0,30
2023-05-26T01:27:13,0,30,0,30
2023-05-26T01:38:51,0,30,0,30
2023-05-26T01:50:39,0,30,0,30
2023-05-26T02:02:21,0,30,0,30
2023-05-26T02:13:59,0,30,0,30
2023-05-26T02:25:36,0,30,0,30
2023-05-26T02:37:15,0,30,0,30
2023-05-26T02:49:04,0,30,0,30
2023-05-26T03:00:43,0,30,0,30
2023-05-26T03:12:24,0,30,0,30
2023-05-26T03:24:05,0,30,0,30
2023-05-26T03:35:43,0,30,0,30
2023-05-26T03:47:22,0,30,0,30
2023-05-26T03:59:00,0,30,0,30
2023-05-26T04:10:48,0,30,0,30
2023-05-26T04:32:48,0,30,0,30
2023-05-26T04:44:52,0,30,0,30
2023-05-26T04:56:33,0,30,0,30
2023-05-26T05:08:15,0,30,0,30
2023-05-26T05:19:54,0,30,0,30
2023-05-26T05:31:33,0,30,0,30
2023-05-26T05:43:12,0,30,0,30
2023-05-26T05:54:51,0,30,0,30
2023-05-26T06:06:29,0,30,0,30
2023-05-26T06:18:08,0,30,0,30
2023-05-26T06:29:47,0,30,0,30
2023-05-26T06:41:26,0,30,0,30
2023-05-26T06:53:04,0,30,0,30
2023-05-26T07:04:42,0,30,0,30
