time,enrolled,available,waitlisted,total
2023-07-17T11:30:32,0,0,0,0
2023-07-17T11:42:58,0,0,0,0
2023-07-17T11:55:25,0,0,0,0
2023-07-17T12:07:51,0,15,0,15
2023-07-17T12:20:17,0,15,0,15
2023-07-17T12:32:55,0,15,0,15
2023-07-17T12:45:21,0,15,0,15
2023-07-17T12:57:47,0,15,0,15
2023-07-17T13:10:13,0,15,0,15
2023-07-17T13:22:38,0,15,0,15
2023-07-17T13:35:05,0,15,0,15
2023-07-17T13:47:31,0,15,0,15
2023-07-17T13:59:57,0,15,0,15
2023-07-17T14:12:23,0,15,0,15
2023-07-17T14:24:49,0,15,0,15
2023-07-17T14:37:16,0,15,0,15
2023-07-17T14:49:42,0,15,0,15
2023-07-17T15:02:20,0,15,0,15
2023-07-17T15:14:46,0,15,0,15
2023-07-17T15:27:12,0,15,0,15
2023-07-17T15:39:38,0,15,0,15
2023-07-17T15:52:04,0,15,0,15
2023-07-17T16:04:31,0,15,0,15
2023-07-17T16:16:57,0,15,0,15
2023-07-17T16:29:23,0,15,0,15
2023-07-17T16:41:52,0,15,0,15
2023-07-17T16:54:18,0,15,0,15
2023-07-17T17:06:56,0,15,0,15
2023-07-17T17:19:23,0,15,0,15
2023-07-17T17:31:50,0,15,0,15
2023-07-17T17:44:16,0,15,0,15
2023-07-17T17:56:43,0,15,0,15
2023-07-17T18:09:09,0,15,0,15
2023-07-17T18:21:35,0,15,0,15
2023-07-17T18:34:02,0,15,0,15
2023-07-17T18:46:29,0,15,0,15
2023-07-17T18:58:54,0,15,0,15
2023-07-17T19:11:22,0,15,0,15
2023-07-17T19:23:48,0,15,0,15
2023-07-17T19:36:15,0,15,0,15
2023-07-17T19:48:42,0,15,0,15
2023-07-17T20:01:08,0,15,0,15
2023-07-17T20:13:34,0,15,0,15
2023-07-17T20:26:11,0,15,0,15
2023-07-17T20:38:38,0,15,0,15
2023-07-17T20:51:04,0,15,0,15
2023-07-17T21:03:30,0,15,0,15
2023-07-17T21:15:57,0,15,0,15
2023-07-17T21:28:24,0,15,0,15
2023-07-17T21:40:50,0,15,0,15
2023-07-17T21:53:17,0,15,0,15
2023-07-17T22:05:43,0,15,0,15
2023-07-17T22:18:09,0,15,0,15
2023-07-17T22:30:36,0,15,0,15
2023-07-17T22:43:02,0,15,0,15
2023-07-17T22:55:28,0,15,0,15
2023-07-17T23:07:55,0,15,0,15
2023-07-17T23:20:23,0,15,0,15
2023-07-17T23:33:00,0,15,0,15
2023-07-17T23:45:27,0,15,0,15
2023-07-17T23:57:54,0,15,0,15
2023-07-18T00:10:22,0,15,0,15
2023-07-18T00:22:55,0,15,0,15
2023-07-18T00:35:26,0,15,0,15
2023-07-18T00:47:57,0,15,0,15
2023-07-18T01:00:28,0,15,0,15
2023-07-18T01:12:58,0,15,0,15
2023-07-18T01:25:28,0,15,0,15
2023-07-18T01:38:00,0,15,0,15
2023-07-18T01:50:30,0,15,0,15
2023-07-18T02:03:01,0,15,0,15
2023-07-18T02:15:31,0,15,0,15
2023-07-18T02:27:59,0,15,0,15
2023-07-18T02:40:27,0,15,0,15
2023-07-18T02:52:54,0,15,0,15
2023-07-18T03:05:21,0,15,0,15
2023-07-18T03:17:50,0,15,0,15
2023-07-18T03:30:19,0,15,0,15
2023-07-18T03:42:48,0,15,0,15
2023-07-18T03:55:17,0,15,0,15
2023-07-18T04:07:47,0,15,0,15
2023-07-18T04:36:57,0,15,0,15
2023-07-18T04:50:42,0,15,0,15
2023-07-18T05:03:30,0,15,0,15
2023-07-18T05:16:03,0,15,0,15
2023-07-18T05:28:34,0,15,0,15
2023-07-18T05:41:03,0,15,0,15
2023-07-18T05:53:32,0,15,0,15
2023-07-18T06:06:02,0,15,0,15
2023-07-18T06:18:32,0,15,0,15
2023-07-18T06:31:01,0,15,0,15
2023-07-18T06:43:30,0,15,0,15
2023-07-18T06:56:00,0,15,0,15
2023-07-18T07:08:31,0,15,0,15
2023-07-18T07:21:00,0,15,0,15
2023-07-18T07:33:31,0,15,0,15
2023-07-18T07:45:59,0,15,0,15
2023-07-18T07:58:27,0,15,0,15
2023-07-18T08:10:56,0,15,0,15
2023-07-18T08:23:24,0,15,0,15
2023-07-18T08:35:53,0,15,0,15
2023-07-18T08:48:32,0,15,0,15
2023-07-18T09:01:01,0,15,0,15
2023-07-18T09:13:30,0,15,0,15
2023-07-18T09:25:58,0,15,0,15
2023-07-18T09:38:25,0,15,0,15
2023-07-18T09:50:51,0,15,0,15
2023-07-18T10:03:18,0,15,0,15
2023-07-18T10:15:44,0,15,0,15
2023-07-18T10:28:11,0,15,0,15
2023-07-18T10:40:37,0,15,0,15
2023-07-18T10:53:04,0,15,0,15
2023-07-18T11:05:33,0,15,0,15
2023-07-18T11:18:01,0,15,0,15
2023-07-18T11:30:27,0,15,0,15
2023-07-18T11:42:54,0,15,0,15
2023-07-18T11:55:21,0,15,0,15
2023-07-18T12:07:47,0,15,0,15
2023-07-18T12:20:13,0,15,0,15
2023-07-18T12:32:53,0,15,0,15
2023-07-18T12:45:19,0,15,0,15
2023-07-18T12:57:45,0,15,0,15
2023-07-18T13:10:12,0,15,0,15
2023-07-18T13:22:39,0,15,0,15
2023-07-18T13:35:06,0,15,0,15
2023-07-18T13:47:32,0,15,0,15
2023-07-18T13:59:58,0,15,0,15
2023-07-18T14:12:25,0,15,0,15
2023-07-18T14:24:51,0,15,0,15
2023-07-18T14:37:18,0,15,0,15
2023-07-18T14:49:45,0,15,0,15
2023-07-18T15:02:12,0,15,0,15
2023-07-18T15:14:42,0,15,0,15
2023-07-18T15:27:08,0,15,0,15
2023-07-18T15:39:45,0,15,0,15
2023-07-18T15:52:11,0,15,0,15
2023-07-18T16:04:38,0,15,0,15
2023-07-18T16:17:04,0,15,0,15
2023-07-18T16:29:30,0,15,0,15
2023-07-18T16:41:57,0,15,0,15
