time,enrolled,available,waitlisted,total
2023-05-25T01:20:22,0,0,0,0
2023-05-25T01:31:58,0,0,0,0
2023-05-25T01:43:43,0,0,0,0
2023-05-25T01:55:18,0,0,0,0
2023-05-25T02:06:53,0,0,0,0
2023-05-25T02:18:30,0,0,0,0
2023-05-25T02:30:05,0,0,0,0
2023-05-25T02:41:39,0,0,0,0
2023-05-25T02:53:12,0,0,0,0
2023-05-25T03:04:45,0,0,0,0
2023-05-25T03:16:23,0,0,0,0
2023-05-25T03:28:22,0,0,0,0
2023-05-25T03:39:59,0,0,0,0
2023-05-25T03:51:35,0,0,0,0
2023-05-25T04:03:10,0,0,0,0
2023-05-25T04:22:57,0,0,0,0
2023-05-25T04:34:34,0,0,0,0
2023-05-25T04:46:10,0,0,0,0
2023-05-25T04:57:46,0,0,0,0
2023-05-25T05:09:23,0,0,0,0
2023-05-25T05:20:59,0,0,0,0
2023-05-25T05:32:36,0,0,0,0
2023-05-25T05:44:12,0,0,0,0
2023-05-25T05:55:48,0,0,0,0
2023-05-25T06:07:25,0,0,0,0
2023-05-25T06:19:00,0,0,0,0
2023-05-25T06:30:35,0,0,0,0
2023-05-25T06:42:09,0,0,0,0
2023-05-25T06:53:45,0,0,0,0
2023-05-25T07:05:21,0,0,0,0
2023-05-25T07:16:55,0,0,0,0
2023-05-25T07:28:30,0,0,0,0
2023-05-25T07:40:06,0,0,0,0
2023-05-25T07:51:41,0,0,0,0
2023-05-25T08:03:16,0,0,0,0
2023-05-25T08:14:51,0,0,0,0
2023-05-25T08:26:35,0,0,0,0
2023-05-25T08:38:08,0,0,0,0
2023-05-25T08:49:41,0,0,0,0
2023-05-25T09:01:14,0,0,0,0
2023-05-25T09:12:47,0,0,0,0
2023-05-25T09:24:20,0,0,0,0
2023-05-25T09:35:52,0,0,0,0
2023-05-25T09:47:25,0,0,0,0
2023-05-25T09:58:58,0,0,0,0
2023-05-25T10:10:43,0,0,0,0
2023-05-25T10:22:16,0,0,0,0
2023-05-25T10:33:49,0,0,0,0
2023-05-25T10:45:21,0,0,0,0
2023-05-25T10:57:04,0,0,0,0
2023-05-25T11:08:36,0,0,0,0
2023-05-25T11:20:09,0,0,0,0
2023-05-25T11:31:42,0,0,0,0
2023-05-25T11:43:15,0,0,0,0
2023-05-25T11:54:48,0,0,0,0
2023-05-25T12:06:32,0,0,0,0
2023-05-25T12:18:05,0,0,0,0
2023-05-25T12:29:38,0,0,0,0
2023-05-25T12:41:11,0,0,0,0
2023-05-25T12:52:43,0,0,0,0
2023-05-25T13:04:26,0,0,0,0
2023-05-25T13:15:59,0,0,0,0
2023-05-25T13:27:32,0,0,0,0
2023-05-25T13:39:06,0,0,0,0
2023-05-25T13:50:39,0,0,0,0
2023-05-25T14:02:23,0,0,0,0
2023-05-25T14:13:57,0,0,0,0
2023-05-25T14:25:30,0,0,0,0
2023-05-25T14:37:03,0,0,0,0
2023-05-25T14:48:36,0,0,0,0
2023-05-25T15:00:19,0,0,0,0
2023-05-25T15:11:53,0,0,0,0
2023-05-25T15:23:28,0,0,0,0
2023-05-25T15:35:02,0,0,0,0
2023-05-25T15:46:37,0,0,0,0
2023-05-25T15:58:12,0,0,0,0
2023-05-25T16:09:57,0,0,0,0
2023-05-25T16:21:32,0,0,0,0
2023-05-25T16:33:07,0,0,0,0
2023-05-25T16:44:42,0,0,0,0
2023-05-25T16:56:17,0,0,0,0
2023-05-25T17:07:54,0,0,0,0
2023-05-25T17:19:41,0,0,0,0
2023-05-25T17:31:17,0,0,0,0
2023-05-25T17:42:52,0,0,0,0
2023-05-25T17:54:28,0,0,0,0
2023-05-25T18:06:05,0,0,0,0
2023-05-25T18:17:41,0,0,0,0
2023-05-25T18:29:16,0,0,0,0
2023-05-25T18:41:01,0,0,0,0
2023-05-25T18:52:37,0,0,0,0
2023-05-25T19:04:13,0,0,0,0
2023-05-25T19:15:50,0,0,0,0
2023-05-25T19:27:25,0,0,0,0
2023-05-25T19:39:01,0,0,0,0
2023-05-25T19:50:47,0,0,0,0
2023-05-25T20:02:22,0,0,0,0
2023-05-25T20:13:58,0,0,0,0
2023-05-25T20:25:35,0,0,0,0
2023-05-25T20:37:10,0,0,0,0
2023-05-25T20:48:45,0,0,0,0
2023-05-25T21:00:21,0,0,0,0
2023-05-25T21:11:57,0,0,0,0
2023-05-25T21:23:44,0,0,0,0
2023-05-25T21:35:20,0,0,0,0
2023-05-25T21:46:56,0,0,0,0
2023-05-25T21:58:31,0,0,0,0
2023-05-25T22:10:07,0,0,0,0
2023-05-25T22:21:42,0,0,0,0
2023-05-25T22:33:17,0,0,0,0
2023-05-25T22:45:04,0,0,0,0
2023-05-25T22:56:39,0,0,0,0
2023-05-25T23:08:17,0,0,0,0
2023-05-25T23:19:53,0,0,0,0
2023-05-25T23:31:29,0,0,0,0
2023-05-25T23:43:05,0,0,0,0
2023-05-25T23:54:42,0,0,0,0
2023-05-26T00:06:37,0,0,0,0
2023-05-26T00:18:17,0,0,0,0
2023-05-26T00:29:56,0,0,0,0
2023-05-26T00:41:35,0,0,0,0
2023-05-26T00:53:13,0,0,0,0
2023-05-26T01:04:53,0,0,0,0
2023-05-26T01:16:32,0,0,0,0
2023-05-26T01:28:10,0,0,0,0
2023-05-26T01:39:48,0,0,0,0
2023-05-26T01:51:36,0,0,0,0
2023-05-26T02:03:18,0,0,0,0
2023-05-26T02:14:56,0,0,0,0
2023-05-26T02:26:33,0,0,0,0
2023-05-26T02:38:12,0,0,0,0
2023-05-26T02:50:01,0,0,0,0
2023-05-26T03:01:41,0,0,0,0
2023-05-26T03:13:20,0,0,0,0
2023-05-26T03:25:02,0,0,0,0
2023-05-26T03:36:40,0,0,0,0
2023-05-26T03:48:18,0,0,0,0
2023-05-26T03:59:57,0,0,0,0
2023-05-26T04:11:45,0,0,0,0
2023-05-26T04:33:56,0,0,0,0
2023-05-26T04:45:49,0,0,0,0
2023-05-26T04:57:30,0,0,0,0
2023-05-26T05:09:12,0,0,0,0
2023-05-26T05:20:51,0,0,0,0
2023-05-26T05:32:30,0,0,0,0
2023-05-26T05:44:09,0,0,0,0
2023-05-26T05:55:48,0,0,0,0
2023-05-26T06:07:26,0,0,0,0
2023-05-26T06:19:05,0,0,0,0
2023-05-26T06:30:44,0,0,0,0
2023-05-26T06:42:23,0,0,0,0
2023-05-26T06:54:01,0,0,0,0
2023-05-26T07:05:40,0,0,0,0
2023-05-26T07:17:18,0,0,0,0
2023-05-26T07:28:56,0,0,0,0
2023-05-26T07:40:42,0,0,0,0
2023-05-26T07:52:19,0,0,0,0
2023-05-26T08:03:55,0,0,0,0
2023-05-26T08:15:31,0,0,0,0
2023-05-26T08:27:08,0,0,0,0
2023-05-26T08:38:43,0,0,0,0
2023-05-26T08:50:20,0,0,0,0
2023-05-26T09:01:56,0,0,0,0
2023-05-26T09:13:32,0,0,0,0
2023-05-26T09:25:09,0,0,0,0
2023-05-26T09:36:56,0,0,0,0
2023-05-26T09:48:32,0,0,0,0
2023-05-26T10:00:08,0,0,0,0
2023-05-26T10:11:45,0,0,0,0
2023-05-26T10:23:21,0,0,0,0
2023-05-26T10:34:57,0,0,0,0
2023-05-26T10:46:45,0,0,0,0
2023-05-26T10:58:21,0,0,0,0
2023-05-26T11:09:58,0,0,0,0
2023-05-26T11:21:35,0,0,0,0
2023-05-26T11:33:11,0,0,0,0
2023-05-26T11:44:57,0,0,0,0
2023-05-26T11:56:33,0,0,0,0
