time,enrolled,available,waitlisted,total
2023-06-28T08:24:03,0,50,0,50
2023-06-28T08:36:27,0,50,0,50
2023-06-28T08:48:50,0,50,0,50
2023-06-28T09:01:13,0,50,0,50
2023-06-28T09:13:36,0,50,0,50
2023-06-28T09:25:58,0,50,0,50
2023-06-28T09:38:19,0,50,0,50
2023-06-28T09:50:42,0,50,0,50
2023-06-28T10:03:14,0,50,0,50
2023-06-28T10:15:36,0,50,0,50
2023-06-28T10:27:59,0,50,0,50
2023-06-28T10:40:21,0,50,0,50
2023-06-28T10:52:43,0,50,0,50
2023-06-28T11:05:06,0,50,0,50
2023-06-28T11:17:28,0,50,0,50
2023-06-28T11:29:51,0,50,0,50
2023-06-28T11:42:14,0,50,0,50
2023-06-28T11:54:36,0,50,0,50
2023-06-28T12:07:10,0,50,0,50
2023-06-28T12:19:32,0,50,0,50
2023-06-28T12:31:54,0,50,0,50
2023-06-28T12:44:17,0,50,0,50
2023-06-28T12:56:40,0,50,0,50
2023-06-28T13:09:02,0,50,0,50
2023-06-28T13:21:24,0,50,0,50
2023-06-28T13:33:46,0,50,0,50
2023-06-28T13:46:09,0,50,0,50
2023-06-28T13:58:44,0,50,0,50
2023-06-28T14:11:06,0,50,0,50
2023-06-28T14:23:29,0,50,0,50
2023-06-28T14:35:52,0,50,0,50
2023-06-28T14:48:15,0,50,0,50
2023-06-28T15:00:38,0,50,0,50
2023-06-28T15:13:02,0,50,0,50
2023-06-28T15:25:25,0,50,0,50
2023-06-28T15:38:00,0,50,0,50
2023-06-28T15:50:23,0,50,0,50
2023-06-28T16:02:46,0,50,0,50
2023-06-28T16:15:08,0,50,0,50
2023-06-28T16:27:31,0,50,0,50
2023-06-28T16:39:53,0,50,0,50
2023-06-28T16:52:15,0,50,0,50
2023-06-28T17:04:38,0,50,0,50
2023-06-28T17:17:12,0,50,0,50
2023-06-28T17:29:34,0,50,0,50
2023-06-28T17:41:57,0,50,0,50
2023-06-28T17:54:20,0,50,0,50
2023-06-28T18:06:42,0,50,0,50
2023-06-28T18:19:05,0,50,0,50
2023-06-28T18:31:27,0,50,0,50
2023-06-28T18:43:49,0,50,0,50
2023-06-28T18:56:11,0,50,0,50
2023-06-28T19:08:34,0,50,0,50
2023-06-28T19:21:08,0,50,0,50
2023-06-28T19:33:30,0,50,0,50
2023-06-28T19:45:53,0,50,0,50
2023-06-28T19:58:15,0,50,0,50
2023-06-28T20:10:38,0,50,0,50
2023-06-28T20:23:01,0,50,0,50
2023-06-28T20:35:24,0,50,0,50
2023-06-28T20:47:46,0,50,0,50
2023-06-28T21:00:08,0,50,0,50
2023-06-28T21:12:32,0,50,0,50
2023-06-28T21:25:05,0,50,0,50
2023-06-28T21:37:27,0,50,0,50
2023-06-28T21:49:50,0,50,0,50
2023-06-28T22:02:14,0,50,0,50
2023-06-28T22:14:37,0,50,0,50
2023-06-28T22:27:00,0,50,0,50
2023-06-28T22:39:23,0,50,0,50
2023-06-28T22:51:45,0,50,0,50
2023-06-28T23:04:08,0,50,0,50
2023-06-28T23:16:32,0,50,0,50
2023-06-28T23:28:55,0,50,0,50
2023-06-28T23:41:29,0,50,0,50
2023-06-28T23:53:52,0,50,0,50
2023-06-29T00:06:16,0,50,0,50
2023-06-29T00:18:47,0,50,0,50
2023-06-29T00:31:13,0,50,0,50
2023-06-29T00:43:40,0,50,0,50
2023-06-29T00:56:07,0,50,0,50
2023-06-29T01:08:35,0,50,0,50
2023-06-29T01:21:03,0,50,0,50
2023-06-29T01:33:29,0,50,0,50
2023-06-29T01:45:54,0,50,0,50
2023-06-29T01:58:19,0,50,0,50
2023-06-29T02:10:56,0,50,0,50
2023-06-29T02:23:20,0,50,0,50
2023-06-29T02:35:44,0,50,0,50
2023-06-29T02:48:07,0,50,0,50
2023-06-29T03:00:30,0,50,0,50
2023-06-29T03:12:53,0,50,0,50
2023-06-29T03:25:15,0,50,0,50
2023-06-29T03:37:38,0,50,0,50
2023-06-29T03:50:00,0,50,0,50
2023-06-29T04:02:23,0,50,0,50
2023-06-29T04:25:09,0,50,0,50
2023-06-29T04:37:33,0,50,0,50
2023-06-29T04:51:53,0,50,0,50
2023-06-29T05:04:16,0,50,0,50
2023-06-29T05:16:39,0,50,0,50
2023-06-29T05:29:07,0,50,0,50
2023-06-29T05:41:34,0,50,0,50
2023-06-29T05:54:00,0,50,0,50
2023-06-29T06:06:28,0,50,0,50
2023-06-29T06:18:56,0,50,0,50
2023-06-29T06:31:23,0,50,0,50
2023-06-29T06:43:50,0,50,0,50
2023-06-29T06:56:30,0,50,0,50
2023-06-29T07:09:00,0,50,0,50
2023-06-29T07:21:27,0,50,0,50
2023-06-29T07:34:02,0,50,0,50
2023-06-29T07:46:27,0,50,0,50
2023-06-29T07:58:53,0,50,0,50
2023-06-29T08:11:20,0,50,0,50
2023-06-29T08:23:44,0,50,0,50
2023-06-29T08:36:08,0,50,0,50
2023-06-29T08:48:33,0,50,0,50
2023-06-29T09:00:57,0,50,0,50
2023-06-29T09:13:23,0,50,0,50
2023-06-29T09:25:48,0,50,0,50
2023-06-29T09:38:12,0,50,0,50
2023-06-29T09:50:47,0,50,0,50
2023-06-29T10:03:10,0,50,0,50
2023-06-29T10:15:35,0,50,0,50
2023-06-29T10:27:59,0,50,0,50
2023-06-29T10:40:23,0,50,0,50
2023-06-29T10:52:47,0,50,0,50
2023-06-29T11:05:12,0,50,0,50
2023-06-29T11:17:36,0,50,0,50
2023-06-29T11:30:01,0,50,0,50
2023-06-29T11:42:36,0,50,0,50
2023-06-29T11:55:01,0,50,0,50
2023-06-29T12:07:24,0,50,0,50
2023-06-29T12:19:47,0,50,0,50
2023-06-29T12:32:09,0,50,0,50
2023-06-29T12:44:32,0,50,0,50
2023-06-29T12:56:56,0,50,0,50
2023-06-29T13:09:18,0,50,0,50
2023-06-29T13:21:41,0,50,0,50
2023-06-29T13:34:14,0,50,0,50
2023-06-29T13:46:36,0,50,0,50
2023-06-29T13:58:58,0,50,0,50
2023-06-29T14:11:21,0,50,0,50
2023-06-29T14:23:43,0,50,0,50
2023-06-29T14:36:06,0,50,0,50
2023-06-29T14:48:29,0,50,0,50
2023-06-29T15:00:52,0,50,0,50
2023-06-29T15:13:26,0,50,0,50
2023-06-29T15:25:48,0,50,0,50
2023-06-29T15:38:12,0,50,0,50
2023-06-29T15:50:34,0,50,0,50
2023-06-29T16:02:58,0,50,0,50
2023-06-29T16:15:21,0,50,0,50
2023-06-29T16:27:43,0,50,0,50
2023-06-29T16:40:06,0,50,0,50
2023-06-29T16:52:28,0,50,0,50
2023-06-29T17:05:02,0,50,0,50
2023-06-29T17:17:26,0,50,0,50
2023-06-29T17:29:49,0,50,0,50
2023-06-29T17:42:12,0,50,0,50
2023-06-29T17:54:34,0,50,0,50
2023-06-29T18:06:57,0,50,0,50
2023-06-29T18:19:21,0,50,0,50
2023-06-29T18:31:44,0,50,0,50
2023-06-29T18:44:07,0,50,0,50
2023-06-29T18:56:29,0,50,0,50
2023-06-29T19:09:03,0,50,0,50
2023-06-29T19:21:27,0,50,0,50
2023-06-29T19:33:51,0,50,0,50
2023-06-29T19:46:14,0,50,0,50
2023-06-29T19:58:37,0,50,0,50
2023-06-29T20:11:01,0,50,0,50
2023-06-29T20:23:23,0,50,0,50
2023-06-29T20:35:48,0,50,0,50
2023-06-29T20:48:24,0,50,0,50
2023-06-29T21:00:47,0,50,0,50
2023-06-29T21:13:10,0,50,0,50
2023-06-29T21:25:33,0,50,0,50
2023-06-29T21:37:57,0,50,0,50
2023-06-29T21:50:20,0,50,0,50
2023-06-29T22:02:43,0,50,0,50
2023-06-29T22:15:09,0,50,0,50
2023-06-29T22:27:32,0,50,0,50
2023-06-29T22:39:57,0,50,0,50
2023-06-29T22:52:31,0,50,0,50
2023-06-29T23:04:55,0,50,0,50
2023-06-29T23:17:18,0,50,0,50
2023-06-29T23:29:42,0,50,0,50
2023-06-29T23:42:06,0,50,0,50
2023-06-29T23:54:30,0,50,0,50
2023-06-30T00:06:55,0,50,0,50
2023-06-30T00:19:27,0,50,0,50
2023-06-30T00:31:54,0,50,0,50
2023-06-30T00:44:21,0,50,0,50
2023-06-30T00:56:48,0,50,0,50
2023-06-30T01:09:28,0,50,0,50
2023-06-30T01:21:57,0,50,0,50
2023-06-30T01:34:25,0,50,0,50
2023-06-30T01:46:52,0,50,0,50
2023-06-30T01:59:18,0,50,0,50
2023-06-30T02:11:44,0,50,0,50
2023-06-30T02:24:09,0,50,0,50
2023-06-30T02:36:35,0,50,0,50
2023-06-30T02:49:01,0,50,0,50
2023-06-30T03:01:27,0,50,0,50
2023-06-30T03:13:56,0,50,0,50
2023-06-30T03:26:23,0,50,0,50
2023-06-30T03:38:50,0,50,0,50
2023-06-30T03:51:34,0,50,0,50
2023-06-30T04:04:02,0,50,0,50
2023-06-30T04:29:25,0,50,0,50
2023-06-30T04:42:04,0,50,0,50
2023-06-30T04:56:01,0,50,0,50
2023-06-30T05:08:29,0,50,0,50
2023-06-30T05:20:58,0,50,0,50
2023-06-30T05:33:24,0,50,0,50
2023-06-30T05:45:51,0,50,0,50
2023-06-30T05:58:17,0,50,0,50
2023-06-30T06:10:44,0,50,0,50
2023-06-30T06:23:10,0,50,0,50
2023-06-30T06:35:36,0,50,0,50
2023-06-30T06:48:06,0,50,0,50
2023-06-30T07:00:35,0,50,0,50
2023-06-30T07:13:00,0,50,0,50
2023-06-30T07:25:33,0,50,0,50
2023-06-30T07:37:57,0,50,0,50
2023-06-30T07:50:22,0,50,0,50
2023-06-30T08:02:46,0,50,0,50
2023-06-30T08:15:12,0,50,0,50
2023-06-30T08:27:37,0,50,0,50
2023-06-30T08:40:02,0,50,0,50
2023-06-30T08:52:26,0,50,0,50
2023-06-30T09:04:51,0,50,0,50
2023-06-30T09:17:14,0,50,0,50
2023-06-30T09:29:37,0,50,0,50
2023-06-30T09:42:00,0,50,0,50
2023-06-30T09:54:23,0,50,0,50
2023-06-30T10:06:47,0,50,0,50
2023-06-30T10:19:22,0,50,0,50
2023-06-30T10:31:44,0,50,0,50
2023-06-30T10:44:07,0,50,0,50
2023-06-30T10:56:31,0,50,0,50
2023-06-30T11:08:54,0,50,0,50
2023-06-30T11:21:17,0,50,0,50
2023-06-30T11:33:42,0,50,0,50
2023-06-30T11:46:05,0,50,0,50
2023-06-30T11:58:41,0,50,0,50
2023-06-30T12:11:05,0,50,0,50
2023-06-30T12:23:28,0,50,0,50
2023-06-30T12:35:52,0,50,0,50
2023-06-30T12:48:16,0,50,0,50
2023-06-30T13:00:39,0,50,0,50
2023-06-30T13:13:03,0,50,0,50
2023-06-30T13:25:26,0,50,0,50
2023-06-30T13:38:01,0,50,0,50
2023-06-30T13:50:25,0,50,0,50
2023-06-30T14:02:48,0,50,0,50
2023-06-30T14:15:12,0,50,0,50
2023-06-30T14:27:35,0,50,0,50
2023-06-30T14:39:58,0,50,0,50
2023-06-30T14:52:21,0,50,0,50
2023-06-30T15:04:44,0,50,0,50
2023-06-30T15:17:18,0,50,0,50
2023-06-30T15:29:42,0,50,0,50
2023-06-30T15:42:06,0,50,0,50
2023-06-30T15:54:30,0,50,0,50
2023-06-30T16:06:53,0,50,0,50
2023-06-30T16:19:16,0,50,0,50
2023-06-30T16:31:40,0,50,0,50
2023-06-30T16:44:03,0,50,0,50
2023-06-30T16:56:26,0,50,0,50
2023-06-30T17:08:59,0,50,0,50
2023-06-30T17:21:23,0,50,0,50
2023-06-30T17:33:46,0,50,0,50
2023-06-30T17:46:09,0,50,0,50
2023-06-30T17:58:32,0,50,0,50
2023-06-30T18:10:55,0,50,0,50
2023-06-30T18:23:18,0,50,0,50
2023-06-30T18:35:42,0,50,0,50
2023-06-30T18:48:05,0,50,0,50
2023-06-30T19:00:28,0,50,0,50
2023-06-30T19:13:04,0,50,0,50
2023-06-30T19:25:27,0,50,0,50
2023-06-30T19:37:50,0,50,0,50
2023-06-30T19:50:13,0,50,0,50
2023-06-30T20:02:37,0,50,0,50
2023-06-30T20:15:00,0,50,0,50
2023-06-30T20:27:24,0,50,0,50
2023-06-30T20:39:47,0,50,0,50
2023-06-30T20:52:10,0,50,0,50
2023-06-30T21:04:45,0,50,0,50
2023-06-30T21:17:08,0,50,0,50
2023-06-30T21:29:31,0,50,0,50
2023-06-30T21:41:54,0,50,0,50
2023-06-30T21:54:18,0,50,0,50
2023-06-30T22:06:41,0,50,0,50
2023-06-30T22:40:08,0,50,0,50
2023-06-30T22:52:33,0,50,0,50
2023-06-30T23:04:58,0,50,0,50
2023-06-30T23:17:22,0,50,0,50
2023-06-30T23:29:50,0,50,0,50
2023-06-30T23:42:14,0,50,0,50
2023-06-30T23:54:38,0,50,0,50
2023-07-01T00:07:03,0,50,0,50
2023-07-01T00:19:33,0,50,0,50
2023-07-01T00:32:00,0,50,0,50
2023-07-01T00:44:36,0,50,0,50
2023-07-01T00:57:04,0,50,0,50
2023-07-01T01:09:32,0,50,0,50
2023-07-01T01:22:01,0,50,0,50
2023-07-01T01:34:29,0,50,0,50
2023-07-01T01:46:57,0,50,0,50
2023-07-01T01:59:24,0,50,0,50
2023-07-01T02:11:51,0,50,0,50
2023-07-01T02:24:16,0,50,0,50
2023-07-01T02:36:41,0,50,0,50
2023-07-01T02:49:07,0,50,0,50
2023-07-01T03:01:30,0,50,0,50
2023-07-01T03:13:56,0,50,0,50
2023-07-01T03:26:22,0,50,0,50
2023-07-01T03:38:48,0,50,0,50
2023-07-01T03:51:22,0,50,0,50
2023-07-01T04:03:48,0,50,0,50
2023-07-01T04:27:20,0,50,0,50
2023-07-01T04:39:48,0,50,0,50
2023-07-01T04:52:15,0,50,0,50
2023-07-01T05:04:43,0,50,0,50
2023-07-01T05:17:11,0,50,0,50
2023-07-01T05:29:44,0,50,0,50
2023-07-01T05:42:15,0,50,0,50
2023-07-01T05:54:42,0,50,0,50
2023-07-01T06:07:08,0,50,0,50
2023-07-01T06:19:34,0,50,0,50
2023-07-01T06:32:00,0,50,0,50
2023-07-01T06:44:26,0,50,0,50
2023-07-01T06:56:56,0,50,0,50
2023-07-01T07:09:23,0,50,0,50
2023-07-01T07:21:49,0,50,0,50
2023-07-01T07:34:14,0,50,0,50
2023-07-01T07:46:56,0,50,0,50
2023-07-01T07:59:23,0,50,0,50
2023-07-01T08:11:49,0,50,0,50
2023-07-01T08:24:17,0,50,0,50
2023-07-01T08:36:43,0,50,0,50
2023-07-01T08:49:09,0,50,0,50
2023-07-01T09:01:36,0,50,0,50
2023-07-01T09:14:02,0,50,0,50
2023-07-01T09:26:38,0,50,0,50
2023-07-01T09:39:04,0,50,0,50
2023-07-01T09:51:31,0,50,0,50
2023-07-01T10:03:57,0,50,0,50
2023-07-01T10:16:23,0,50,0,50
2023-07-01T10:28:50,0,50,0,50
2023-07-01T10:41:15,0,50,0,50
2023-07-01T10:53:42,0,50,0,50
2023-07-01T11:06:06,0,50,0,50
2023-07-01T11:18:29,0,50,0,50
2023-07-01T11:30:52,0,50,0,50
2023-07-01T11:43:36,0,50,0,50
2023-07-01T11:55:59,0,50,0,50
2023-07-01T12:08:22,0,50,0,50
2023-07-01T12:20:45,0,50,0,50
2023-07-01T12:33:09,0,50,0,50
2023-07-01T12:45:31,0,50,0,50
2023-07-01T12:57:55,0,50,0,50
2023-07-01T13:10:17,0,50,0,50
