time,enrolled,available,waitlisted,total
2023-05-25T01:21:03,0,15,0,15
2023-05-25T01:32:39,0,15,0,15
2023-05-25T01:44:23,0,15,0,15
2023-05-25T01:55:59,0,15,0,15
2023-05-25T02:07:34,0,15,0,15
2023-05-25T02:19:11,0,15,0,15
2023-05-25T02:30:46,0,15,0,15
2023-05-25T02:42:19,0,15,0,15
2023-05-25T02:53:52,0,15,0,15
2023-05-25T03:05:25,0,15,0,15
2023-05-25T03:17:04,0,15,0,15
2023-05-25T03:29:02,0,15,0,15
2023-05-25T03:40:39,0,15,0,15
2023-05-25T03:52:15,0,15,0,15
2023-05-25T04:03:50,0,15,0,15
2023-05-25T04:23:38,0,15,0,15
2023-05-25T04:35:15,0,15,0,15
2023-05-25T04:46:51,0,15,0,15
2023-05-25T04:58:27,0,15,0,15
2023-05-25T05:10:04,0,15,0,15
2023-05-25T05:21:40,0,15,0,15
2023-05-25T05:33:17,0,15,0,15
2023-05-25T05:44:53,0,15,0,15
2023-05-25T05:56:29,0,15,0,15
2023-05-25T06:08:05,0,15,0,15
2023-05-25T06:19:40,0,15,0,15
2023-05-25T06:31:15,0,15,0,15
2023-05-25T06:42:50,0,15,0,15
2023-05-25T06:54:26,0,15,0,15
2023-05-25T07:06:01,0,15,0,15
2023-05-25T07:17:36,0,15,0,15
2023-05-25T07:29:10,0,15,0,15
2023-05-25T07:40:46,0,15,0,15
2023-05-25T07:52:22,0,15,0,15
2023-05-25T08:03:57,0,15,0,15
2023-05-25T08:15:31,0,15,0,15
2023-05-25T08:27:16,0,15,0,15
2023-05-25T08:38:49,0,15,0,15
2023-05-25T08:50:21,0,15,0,15
2023-05-25T09:01:55,0,15,0,15
2023-05-25T09:13:28,0,15,0,15
2023-05-25T09:25:00,0,15,0,15
2023-05-25T09:36:33,0,15,0,15
2023-05-25T09:48:05,0,15,0,15
2023-05-25T09:59:39,0,15,0,15
2023-05-25T10:11:23,0,15,0,15
2023-05-25T10:22:56,0,15,0,15
2023-05-25T10:34:29,0,15,0,15
2023-05-25T10:46:02,0,15,0,15
2023-05-25T10:57:44,0,15,0,15
2023-05-25T11:09:17,0,15,0,15
2023-05-25T11:20:50,0,15,0,15
2023-05-25T11:32:22,0,15,0,15
2023-05-25T11:43:55,0,15,0,15
2023-05-25T11:55:40,0,15,0,15
2023-05-25T12:07:12,0,15,0,15
2023-05-25T12:18:45,0,15,0,15
2023-05-25T12:30:18,0,15,0,15
2023-05-25T12:41:51,0,15,0,15
2023-05-25T12:53:24,0,15,0,15
2023-05-25T13:05:07,0,15,0,15
2023-05-25T13:16:39,0,15,0,15
2023-05-25T13:28:13,0,15,0,15
2023-05-25T13:39:46,0,15,0,15
2023-05-25T13:51:19,0,15,0,15
2023-05-25T14:03:03,0,15,0,15
2023-05-25T14:14:37,0,15,0,15
2023-05-25T14:26:10,0,15,0,15
2023-05-25T14:37:43,0,15,0,15
2023-05-25T14:49:16,0,15,0,15
2023-05-25T15:01:00,0,15,0,15
2023-05-25T15:12:34,0,15,0,15
2023-05-25T15:24:08,0,15,0,15
2023-05-25T15:35:43,0,15,0,15
2023-05-25T15:47:18,0,15,0,15
2023-05-25T15:58:52,0,15,0,15
2023-05-25T16:10:38,0,15,0,15
2023-05-25T16:22:13,0,15,0,15
2023-05-25T16:33:48,0,15,0,15
2023-05-25T16:45:23,0,15,0,15
2023-05-25T16:56:58,0,15,0,15
2023-05-25T17:08:35,0,15,0,15
2023-05-25T17:20:22,0,15,0,15
2023-05-25T17:31:58,0,15,0,15
2023-05-25T17:43:33,0,15,0,15
2023-05-25T17:55:09,0,15,0,15
2023-05-25T18:06:46,0,15,0,15
2023-05-25T18:18:22,0,15,0,15
2023-05-25T18:29:57,0,15,0,15
2023-05-25T18:41:42,0,15,0,15
