time,enrolled,available,waitlisted,total
2023-05-25T01:15:06,0,45,0,45
2023-05-25T01:26:42,0,45,0,45
2023-05-25T01:38:17,0,45,0,45
2023-05-25T01:50:02,0,45,0,45
2023-05-25T02:01:37,0,45,0,45
2023-05-25T02:13:14,0,45,0,45
2023-05-25T02:24:50,0,45,0,45
2023-05-25T02:36:23,0,45,0,45
2023-05-25T02:47:57,0,45,0,45
2023-05-25T02:59:30,0,45,0,45
2023-05-25T03:11:06,0,45,0,45
2023-05-25T03:22:45,0,45,0,45
2023-05-25T03:34:42,0,45,0,45
2023-05-25T03:46:18,0,45,0,45
2023-05-25T03:57:54,0,45,0,45
2023-05-25T04:17:16,0,45,0,45
2023-05-25T04:29:17,0,45,0,45
2023-05-25T04:40:54,0,45,0,45
2023-05-25T04:52:30,0,45,0,45
2023-05-25T05:04:06,0,45,0,45
2023-05-25T05:15:43,0,45,0,45
2023-05-25T05:27:19,0,45,0,45
2023-05-25T05:38:56,0,45,0,45
2023-05-25T05:50:32,0,45,0,45
2023-05-25T06:02:08,0,45,0,45
2023-05-25T06:13:44,0,45,0,45
2023-05-25T06:25:19,0,45,0,45
2023-05-25T06:36:53,0,45,0,45
2023-05-25T06:48:29,0,45,0,45
2023-05-25T07:00:04,0,45,0,45
2023-05-25T07:11:40,0,45,0,45
2023-05-25T07:23:14,0,45,0,45
2023-05-25T07:34:48,0,45,0,45
2023-05-25T07:46:25,0,45,0,45
2023-05-25T07:58:00,0,45,0,45
2023-05-25T08:09:35,0,45,0,45
2023-05-25T08:21:19,0,45,0,45
2023-05-25T08:32:54,0,45,0,45
2023-05-25T08:44:26,0,45,0,45
2023-05-25T08:55:58,0,45,0,45
2023-05-25T09:07:32,0,45,0,45
2023-05-25T09:19:05,0,45,0,45
2023-05-25T09:30:37,0,45,0,45
2023-05-25T09:42:10,0,45,0,45
2023-05-25T09:53:43,0,45,0,45
2023-05-25T10:05:16,0,45,0,45
2023-05-25T10:17:01,0,45,0,45
2023-05-25T10:28:34,0,45,0,45
2023-05-25T10:40:06,0,45,0,45
2023-05-25T10:51:39,0,45,0,45
2023-05-25T11:03:22,0,45,0,45
2023-05-25T11:14:54,0,45,0,45
2023-05-25T11:26:27,0,45,0,45
2023-05-25T11:38:00,0,45,0,45
2023-05-25T11:49:33,0,45,0,45
2023-05-25T12:01:17,0,45,0,45
2023-05-25T12:12:50,0,45,0,45
2023-05-25T12:24:22,0,45,0,45
2023-05-25T12:35:55,0,45,0,45
2023-05-25T12:47:28,0,45,0,45
2023-05-25T12:59:12,0,45,0,45
2023-05-25T13:10:44,0,45,0,45
2023-05-25T13:22:17,0,45,0,45
2023-05-25T13:33:50,0,45,0,45
2023-05-25T13:45:23,0,45,0,45
2023-05-25T13:56:57,0,45,0,45
2023-05-25T14:08:41,0,45,0,45
2023-05-25T14:20:15,0,45,0,45
2023-05-25T14:31:48,0,45,0,45
2023-05-25T14:43:20,0,45,0,45
2023-05-25T14:54:54,0,45,0,45
2023-05-25T15:06:38,0,45,0,45
2023-05-25T15:18:12,0,45,0,45
2023-05-25T15:29:47,0,45,0,45
2023-05-25T15:41:21,0,45,0,45
2023-05-25T15:52:56,0,45,0,45
2023-05-25T16:04:30,0,45,0,45
2023-05-25T16:16:16,0,45,0,45
2023-05-25T16:27:51,0,45,0,45
2023-05-25T16:39:26,0,45,0,45
2023-05-25T16:51:01,0,45,0,45
2023-05-25T17:02:38,0,45,0,45
2023-05-25T17:14:25,0,45,0,45
2023-05-25T17:26:01,0,45,0,45
2023-05-25T17:37:36,0,45,0,45
2023-05-25T17:49:12,0,45,0,45
2023-05-25T18:00:48,0,45,0,45
2023-05-25T18:12:25,0,45,0,45
2023-05-25T18:24:00,0,45,0,45
2023-05-25T18:35:45,0,45,0,45
2023-05-25T18:47:21,0,45,0,45
2023-05-25T18:58:57,0,45,0,45
2023-05-25T19:10:33,0,45,0,45
2023-05-25T19:22:09,0,45,0,45
2023-05-25T19:33:45,0,45,0,45
2023-05-25T19:45:21,0,45,0,45
2023-05-25T19:57:06,0,45,0,45
2023-05-25T20:08:42,0,45,0,45
2023-05-25T20:20:18,0,45,0,45
2023-05-25T20:31:54,0,45,0,45
2023-05-25T20:43:30,0,45,0,45
2023-05-25T20:55:05,0,45,0,45
2023-05-25T21:06:40,0,45,0,45
2023-05-25T21:18:17,0,45,0,45
2023-05-25T21:30:04,0,45,0,45
2023-05-25T21:41:40,0,45,0,45
2023-05-25T21:53:15,0,45,0,45
2023-05-25T22:04:51,0,45,0,45
2023-05-25T22:16:26,0,45,0,45
2023-05-25T22:28:01,0,45,0,45
2023-05-25T22:39:37,0,45,0,45
2023-05-25T22:51:23,0,45,0,45
2023-05-25T23:03:00,0,45,0,45
2023-05-25T23:14:37,0,45,0,45
