time,enrolled,available,waitlisted,total
2023-05-25T01:16:14,0,0,0,0
2023-05-25T01:27:50,0,0,0,0
2023-05-25T01:39:25,0,0,0,0
2023-05-25T01:51:10,0,0,0,0
2023-05-25T02:02:46,0,0,0,0
2023-05-25T02:14:21,0,0,0,0
2023-05-25T02:25:58,0,0,0,0
2023-05-25T02:37:31,0,0,0,0
2023-05-25T02:49:05,0,0,0,0
2023-05-25T03:00:37,0,0,0,0
2023-05-25T03:12:14,0,0,0,0
2023-05-25T03:24:13,0,0,0,0
2023-05-25T03:35:51,0,0,0,0
2023-05-25T03:47:26,0,0,0,0
2023-05-25T03:59:02,0,0,0,0
2023-05-25T04:18:25,0,0,0,0
2023-05-25T04:30:26,0,0,0,0
2023-05-25T04:42:02,0,0,0,0
2023-05-25T04:53:38,0,0,0,0
2023-05-25T05:05:15,0,0,0,0
2023-05-25T05:16:51,0,0,0,0
2023-05-25T05:28:28,0,0,0,0
2023-05-25T05:40:04,0,0,0,0
2023-05-25T05:51:40,0,0,0,0
2023-05-25T06:03:16,0,0,0,0
2023-05-25T06:14:52,0,0,0,0
2023-05-25T06:26:27,0,0,0,0
2023-05-25T06:38:01,0,0,0,0
2023-05-25T06:49:37,0,0,0,0
2023-05-25T07:01:12,0,0,0,0
2023-05-25T07:12:48,0,0,0,0
2023-05-25T07:24:22,0,0,0,0
2023-05-25T07:35:56,0,0,0,0
2023-05-25T07:47:33,0,0,0,0
2023-05-25T07:59:08,0,0,0,0
2023-05-25T08:10:43,0,0,0,0
2023-05-25T08:22:27,0,0,0,0
2023-05-25T08:34:01,0,0,0,0
2023-05-25T08:45:34,0,0,0,0
2023-05-25T08:57:06,0,0,0,0
2023-05-25T09:08:40,0,0,0,0
2023-05-25T09:20:13,0,0,0,0
2023-05-25T09:31:45,0,0,0,0
2023-05-25T09:43:18,0,0,0,0
2023-05-25T09:54:51,0,0,0,0
2023-05-25T10:06:24,0,0,0,0
2023-05-25T10:18:08,0,0,0,0
2023-05-25T10:29:41,0,0,0,0
2023-05-25T10:41:14,0,0,0,0
2023-05-25T10:52:57,0,0,0,0
2023-05-25T11:04:29,0,0,0,0
2023-05-25T11:16:02,0,0,0,0
2023-05-25T11:27:35,0,0,0,0
2023-05-25T11:39:07,0,0,0,0
2023-05-25T11:50:41,0,0,0,0
2023-05-25T12:02:25,0,0,0,0
2023-05-25T12:13:57,0,0,0,0
2023-05-25T12:25:30,0,0,0,0
2023-05-25T12:37:03,0,0,0,0
2023-05-25T12:48:36,0,0,0,0
2023-05-25T13:00:19,0,0,0,0
2023-05-25T13:11:52,0,0,0,0
2023-05-25T13:23:25,0,0,0,0
2023-05-25T13:34:58,0,0,0,0
2023-05-25T13:46:31,0,0,0,0
2023-05-25T13:58:05,0,0,0,0
2023-05-25T14:09:49,0,0,0,0
2023-05-25T14:21:22,0,0,0,0
2023-05-25T14:32:55,0,0,0,0
2023-05-25T14:44:28,0,0,0,0
2023-05-25T14:56:02,0,0,0,0
2023-05-25T15:07:46,0,0,0,0
2023-05-25T15:19:21,0,0,0,0
2023-05-25T15:30:55,0,0,0,0
2023-05-25T15:42:29,0,0,0,0
2023-05-25T15:54:04,0,0,0,0
2023-05-25T16:05:49,0,0,0,0
2023-05-25T16:17:24,0,0,0,0
2023-05-25T16:28:59,0,0,0,0
2023-05-25T16:40:34,0,0,0,0
2023-05-25T16:52:09,0,0,0,0
2023-05-25T17:03:46,0,0,0,0
2023-05-25T17:15:34,0,0,0,0
2023-05-25T17:27:09,0,0,0,0
2023-05-25T17:38:44,0,0,0,0
2023-05-25T17:50:20,0,0,0,0
2023-05-25T18:01:56,0,0,0,0
2023-05-25T18:13:33,0,0,0,0
2023-05-25T18:25:08,0,0,0,0
