time,enrolled,available,waitlisted,total
2023-05-25T01:19:52,0,175,0,175
2023-05-25T01:31:28,0,175,0,175
2023-05-25T01:43:12,0,175,0,175
2023-05-25T01:54:47,0,175,0,175
2023-05-25T02:06:23,0,175,0,175
2023-05-25T02:17:59,0,175,0,175
2023-05-25T02:29:34,0,175,0,175
2023-05-25T02:41:08,0,175,0,175
2023-05-25T02:52:41,0,175,0,175
2023-05-25T03:04:14,0,175,0,175
2023-05-25T03:15:52,0,175,0,175
2023-05-25T03:27:51,0,175,0,175
2023-05-25T03:39:28,0,175,0,175
2023-05-25T03:51:04,0,175,0,175
2023-05-25T04:02:39,0,175,0,175
2023-05-25T04:22:25,0,175,0,175
2023-05-25T04:34:03,0,175,0,175
2023-05-25T04:45:40,0,175,0,175
2023-05-25T04:57:15,0,175,0,175
2023-05-25T05:08:52,0,175,0,175
2023-05-25T05:20:28,0,175,0,175
2023-05-25T05:32:05,0,175,0,175
2023-05-25T05:43:41,0,175,0,175
2023-05-25T05:55:17,0,175,0,175
2023-05-25T06:06:54,0,175,0,175
2023-05-25T06:18:29,0,175,0,175
2023-05-25T06:30:04,0,175,0,175
2023-05-25T06:41:39,0,175,0,175
2023-05-25T06:53:14,0,175,0,175
2023-05-25T07:04:50,0,175,0,175
2023-05-25T07:16:25,0,175,0,175
2023-05-25T07:27:59,0,175,0,175
2023-05-25T07:39:35,0,175,0,175
2023-05-25T07:51:11,0,175,0,175
2023-05-25T08:02:46,0,175,0,175
2023-05-25T08:14:20,0,175,0,175
2023-05-25T08:26:04,0,175,0,175
2023-05-25T08:37:38,0,175,0,175
2023-05-25T08:49:10,0,175,0,175
2023-05-25T09:00:43,0,175,0,175
2023-05-25T09:12:16,0,175,0,175
2023-05-25T09:23:49,0,175,0,175
2023-05-25T09:35:22,0,175,0,175
2023-05-25T09:46:54,0,175,0,175
2023-05-25T09:58:28,0,175,0,175
2023-05-25T10:10:12,0,175,0,175
2023-05-25T10:21:45,0,175,0,175
2023-05-25T10:33:18,0,175,0,175
2023-05-25T10:44:50,0,175,0,175
2023-05-25T10:56:33,0,175,0,175
2023-05-25T11:08:06,0,175,0,175
2023-05-25T11:19:39,0,175,0,175
2023-05-25T11:31:11,0,175,0,175
2023-05-25T11:42:44,0,175,0,175
2023-05-25T11:54:18,0,175,0,175
2023-05-25T12:06:01,0,175,0,175
2023-05-25T12:17:34,0,175,0,175
2023-05-25T12:29:07,0,175,0,175
2023-05-25T12:40:40,0,175,0,175
2023-05-25T12:52:13,0,175,0,175
2023-05-25T13:03:56,0,175,0,175
2023-05-25T13:15:28,0,175,0,175
2023-05-25T13:27:01,0,175,0,175
2023-05-25T13:38:34,0,175,0,175
2023-05-25T13:50:08,0,175,0,175
2023-05-25T14:01:51,0,175,0,175
2023-05-25T14:13:26,0,175,0,175
2023-05-25T14:24:59,0,175,0,175
2023-05-25T14:36:32,0,175,0,175
2023-05-25T14:48:04,0,175,0,175
2023-05-25T14:59:48,0,175,0,175
2023-05-25T15:11:22,0,175,0,175
2023-05-25T15:22:57,0,175,0,175
2023-05-25T15:34:31,0,175,0,175
2023-05-25T15:46:06,0,175,0,175
2023-05-25T15:57:41,0,175,0,175
2023-05-25T16:09:26,0,175,0,175
2023-05-25T16:21:01,0,175,0,175
2023-05-25T16:32:36,0,175,0,175
2023-05-25T16:44:11,0,175,0,175
2023-05-25T16:55:46,0,175,0,175
2023-05-25T17:07:23,0,175,0,175
2023-05-25T17:19:10,0,175,0,175
2023-05-25T17:30:46,0,175,0,175
2023-05-25T17:42:21,0,175,0,175
2023-05-25T17:53:57,0,175,0,175
2023-05-25T18:05:34,0,175,0,175
2023-05-25T18:17:10,0,175,0,175
2023-05-25T18:28:45,0,175,0,175
2023-05-25T18:40:30,0,175,0,175
2023-05-25T18:52:06,0,175,0,175
2023-05-25T19:03:42,0,175,0,175
2023-05-25T19:15:19,0,175,0,175
2023-05-25T19:26:54,0,175,0,175
2023-05-25T19:38:30,0,175,0,175
2023-05-25T19:50:06,0,175,0,175
2023-05-25T20:01:51,0,175,0,175
2023-05-25T20:13:27,0,175,0,175
2023-05-25T20:25:03,0,175,0,175
2023-05-25T20:36:39,0,175,0,175
2023-05-25T20:48:14,0,175,0,175
2023-05-25T20:59:50,0,175,0,175
2023-05-25T21:11:26,0,175,0,175
2023-05-25T21:23:13,0,175,0,175
2023-05-25T21:34:49,0,175,0,175
2023-05-25T21:46:25,0,175,0,175
2023-05-25T21:58:00,0,175,0,175
2023-05-25T22:09:36,0,175,0,175
2023-05-25T22:21:11,0,175,0,175
2023-05-25T22:32:46,0,175,0,175
2023-05-25T22:44:33,0,175,0,175
2023-05-25T22:56:08,0,175,0,175
2023-05-25T23:07:46,0,175,0,175
2023-05-25T23:19:22,0,175,0,175
